														
														
Technique	obi Score	obi Term	chmo Score	chmo Term	ncit Score	ncit Term	bao Score	bao Term	efo Score	efo Term	mmo Score	mmo Term	edam Score	edam Term
Cephalic labial glands analysis	0.401	replicate analysis	0.466	energy-dispersive X-ray emission spectroscopy	0.433	Clonality Analysis	0.374	image analysis method	0.484	spatial analysis	0.372	urine analysis	0.459	Exome sequencing
Pheromone production analysis	0.38	mass spectrometry analysis	0.489	diffraction method	0.491	TERT Promoter Mutation Analysis	0.391	structure analysis method	0.43	data transformation	0.43	urine analysis	0.467	Exome sequencing
Bone marrow biopsy	0.979	bone marrow biopsy	0.394	only para-hydrogen spectroscopy	0.989	Bone Marrow Biopsy			0.612	bone marrow aspiration	0.355	autopsy		
Independent cohort validation	0.534	validation	0.359	angular dependent Auger electron spectroscopy	0.579	Feel Independent	0.404	CYP time-dependent inhibition assay	0.361	group assignment				
Data sampling	0.506	material sampling process	0.364	solid sampling graphite furnace atomic absorption spectrometry	0.618	Sampling Method	0.405	assay data processing method	0.496	sample pooling				
Correlation analysis	0.424	replicate analysis	0.653	correlation spectroscopy	0.64	Population Analysis	0.506	computational expression analysis	0.518	spatial analysis	0.452	urine analysis	0.557	Exome sequencing
Magnetic resonance imaging	0.956	magnetic resonance imaging assay	0.736	far-infrared magnetic resonance spectroscopy	0.979	Magnetic Resonance Imaging	0.693	nuclear magnetic resonance	0.404	magnetic affinity cell sorting	0.983	magnetic resonance imaging	0.992	MRI
Entomological surveillance	0.579	surveillance process	0.338	rheometry	0.664	Surveillance			0.313	surgical resection	0.403	bioassay	0.381	Bioimaging
mass drug administration (MDA)	0.58	oral administration	0.367	electron ionisation mass spectrometry	0.63	Medication Administration	0.377	drug interaction assay	0.346	MDA				
Genetic manipulation	0.504	genetic transformation	0.302	polarization modulation infrared reflection–adsorption spectroscopy	0.612	Genetic Population Study	0.464	genetic complementation	0.396	single cell isolation				
Stool Collection	0.545	cell collecting	0.342	reflection electron microscopy	0.961	Stool Collection			0.569	specimen collection process	0.486	body fluid collection method		
Data integration into ClinEpiDB	0.322	data vector reduction data transformation	0.368	static light scattering	0.386	Integrated Pain Scale	0.405	CLint	0.352	medical procedure				
Ethics approval			0.327	image correlation spectroscopy	0.418	Compassionate Treatment								
Project manual	0.375	manual hematocrit assay			0.542	ENABLE					0.432	manual rectal thermometry		
Sperm viability analysis	0.585	cell viability assay	0.504	thermal analysis	0.64	DNA Stability Analysis	0.523	cell viability assay	0.498	spatial analysis	0.42	urine analysis	0.517	Exome sequencing
Data integration with ClinEpiDB	0.345	data vector reduction data transformation	0.317	static light scattering	0.342	Integrated Pain Scale	0.355	CLint	0.321	data transformation				
Sampling design	0.469	material sampling process	0.337	solid sampling graphite furnace atomic absorption spectrometry	0.966	Sampling Method	0.524	assay design method	0.459	sample pooling				
Ethical conduct of human subjects research.	0.395	human subject enrollment	0.311	conductometry	0.723	Human Subject Research	0.322	substructure search	0.311	surgical resection	0.353	in vivo photography		
High-confidence TCR identification techniques	0.403	histone modification identification by ChIP-Seq assay	0.338	time-of-flight method	0.584	Confidence Question	0.392	nucleic acid identification and quantitation method						
Bayesian clustering and normalization method (Biscuit)	0.426	normalization data transformation	0.417	scattering method	0.548	CNAT Probe Normalization Method	0.479	endpoint normalization method	0.436	normalization data transformation				
Questionnaire programming			0.345	thermal desorption spectroscopy	0.681	PR Questionnaire Question								
Anthropometric Measurements	0.448	mass measurement assay	0.69	densiometry	0.574	Hepatocyte Growth Factor Receptor Measurement	0.463	simple measurement method	0.353	assay	0.563	anthropometric tape		
Pathogen testing	0.608	pathogen detection assay			0.672	Testing	0.352	pathogenic virus transduction method	0.811	pathogen test	0.31	Schirmer test		
Peripheral blood mononuclear cells isolation	0.397	isolation of adherent cells	0.315	heteronuclear correlation spectroscopy	0.623	Mononuclear Cell Count			0.432	single cell isolation	0.382	isolated cell method		
Equilibrium and nonequilibrium demographic histories	0.318	fluorescence detection assay measuring equilibrium association constant [KA] to determine direct binding of a cell-bound-MHC:ligand complex			0.566	Equilibrium Phase Spiral CT	0.736	equilibrium assay						
Experimental design	0.574	experimental disease induction	0.564	constant time method	0.963	Study Design	0.929	experimental design method					0.511	RNAi experiment
Clinical observations	0.454	observational assessment of individual	0.302	X-ray photoelectron spectroscopy	0.9	Clinical Observation	0.522	visual observation method	0.493	assay	0.409	observational fear learning apparatus method		
Plasmatic chitotriosidase activity	0.44	galactosidase activity level assay	0.375	chiral Raman spectroscopy	0.67	Chitotriosidase-1 Measurement	0.425	kinase activity assay			0.464	plasma alkaline phosphatase activity assay		
Clonal grouping algorithms	0.392	probabilistic algorithm			0.448	Stage Grouping	0.429	genetic algorithm method	0.304	clone by clone sequencing				
Clinical signs and symptoms assessment	0.412	survival assessment assay			0.643	Research or Clinical Assessment Tool	0.393	assay quality assessment method			0.383	in vivo visual assessment		
Genetic environment study using PCR mapping and DNA sequencing	0.496	DNA sequencing assay	0.383	environmental scanning electron microscopy	0.542	Gene Mapping, Human	0.376	Whole Genome Sequencing	0.551	DNA-seq			0.534	Sequencing
AMP-activated kinase	0.405	creatine kinase activity level assay	0.389	activation analysis	0.45	Activated Lymphocytes Measurement	0.585	kinase activity assay	0.376	T cell activation assay	0.499	automated serum creatine kinase activity assay		
Deletion mutant analysis	0.426	discriminant analysis	0.518	electron diffraction	0.733	Genetic Variation Analysis	0.462	computational expression analysis	0.477	data transformation	0.42	urine analysis	0.517	Exome sequencing
Cell culture	0.938	cell culture assay	0.309	characteristic energy-loss spectroscopy	0.969	Cell Culture	0.885	cell culture method	0.314	Rapture	0.359	isolated cell method		
TaqMan® molecular assay	0.504	assay detecting a molecular label	0.601	molecular mass spectrometry	0.528	Molecular Modeling	0.541	molecular entity	0.629	assay by molecule	0.604	molecular method		
Software: tierpsy tracker	0.478	compiling software			0.447	Software Validation	0.597	software						
ground cover analysis	0.424	replicate analysis	0.537	X-ray diffraction	0.517	DNA Analysis	0.454	image analysis method	0.513	data transformation	0.452	urine analysis	0.557	Exome sequencing
Immunohistochemistry	0.978	immunohistochemistry	0.383	liquid chromatography-electrochemical detection	0.981	Immunohistochemical Test	0.985	immunohistochemistry	0.331	immunosurgery	0.989	immunohistochemistry		
Malaria diagnostic tests (microscopy	0.546	microscopy assay	0.544	microscopy	0.781	Diagnostic Microscopy	0.556	microscopy	0.491	microscopy assay	0.468	in vivo microscopy	0.417	Light microscopy
Phenotypic detection of oxacillinases, metallo-?-lactamases, extended-spectrum ?-lactamases, and AmpCs			0.335	secondary electron spectroscopy	0.462	Beta Lactamase Screening Method	0.434	beta lactamase induction						
Multivariate time-series data analysis	0.528	data analysis service	0.422	activation analysis	0.722	Time Series Analysis	0.38	sequencing data analysis software	0.592	data transformation	0.385	automated serum analysis	0.453	Exome sequencing
Cohort-stratification	0.43	purification	0.374	titration	0.821	Stratification	0.414	modification method	0.338	group assignment				
urine microscopy	0.797	microscopy assay	0.794	microscopy	0.811	Microscopy	0.812	microscopy	0.717	microscopy assay	0.683	in vivo microscopy	0.61	Light microscopy
PCR for Anopheles mosquitoes	0.315	mosquito membrane feeding assay			0.353	Residual Cancer Burden Class 0			0.353	polymerase chain reaction	0.354	polymerase chain reaction assay		
data collection	0.565	cell collecting	0.354	reflection electron microscopy	0.649	Stool Collection	0.353	data based structure generation	0.589	specimen collection process	0.503	body fluid collection method		
Immunofluorescence	0.663	fluorescent immunospot assay	0.665	fluorescence spectroscopy	0.971	Immunofluorescent Staining Method	0.726	immunofluorescent labeling	0.486	FISSEQ	0.992	immunofluorescence		
RNA sequencing (RNA-seq)	0.915	RNA sequencing assay	0.481	phase cycle	0.932	Whole Transcriptome Sequencing	0.64	RNA	0.66	single-cell RNA sequencing	0.511	RNA-seq assay	0.943	RNA-Seq
Mass spectrometry	0.959	mass spectrometry assay	0.975	mass spectrometry	0.989	Mass Spectrometry	0.981	mass spectrometry	0.914	assay by mass spectrometry	0.976	mass spectrometry	0.398	NMR
Spontaneous recovery	0.494	spontaneous speech assessment	0.484	inversion recovery	0.64	Spontaneous Vertex Delivery			0.329	percutaneous kidney biopsy				
Saliva sample collection	0.566	saliva assay	0.316	vibrating-sample magnetometry	0.826	Saliva Collection			0.86	specimen collection process	0.384	body fluid collection method		
Chondrogenic differentiation	0.443	differential medium assay	0.439	differential isothermal capacitance transient spectroscopy	0.597	Differentiation Therapy	0.383	differential interference contrast microscopy	0.417	differential expression analysis data transformation	0.379	blood differential lipoprotein-cholesterol analysis		
Microarray	0.958	microarray assay	0.54	X-ray microscopy	0.986	Microarray Analysis	0.962	Microarray	0.56	microRNA profiling by array	0.969	high throughput transcription profiling by microarray	0.827	Microarray experiment
home visits			0.384	visible spectrophotometry	0.472	Home Care			0.375	Visium Spatial Gene Expression	0.31	home cage monitoring method		
Audio file compression settings manipulation					0.472	Compression Formulation Process	0.359	gene expression modulation method	0.325	single cell isolation	0.443	bone compression test		
pest removal assessment	0.57	remote patient assessment			0.667	Physical Examination	0.478	assay quality assessment method			0.466	in vivo visual assessment		
Interleukin (IL)-10 expression analysis	0.57	serial analysis of gene expression assay	0.408	X-ray diffraction	0.651	Gene Expression Analysis	0.591	computational expression analysis	0.613	cap analysis gene expression	0.503	expression assay	0.457	Exome sequencing
Minimally Invasive Tissue Sampling (MITS)					0.694	Minimally Invasive Interval Debulking Surgery	0.358	tissue binding assay	0.339	invasive mechanical ventilation				
Study protocol development	0.459	software development			0.702	Child Development Study	0.529	assay protocol	0.419	group assignment				
Census data collection	0.515	cell collecting			0.543	Stool Collection			0.493	specimen collection process	0.421	body fluid collection method		
Data extraction	0.776	extraction	0.474	extractive electrospray ionisation mass spectrometry	0.649	DNA Isolation	0.415	extraction from natural source	0.587	organ extraction	0.368	cell fractionation	0.36	Neutron diffraction
Double-blinded study	0.727	double blind study execution	0.46	tandem mass spectrometry	0.872	Double Blind Study	0.378	preclinical study	0.354	group assignment				
T cell receptor alpha chain sequencing (TCRα-NGS)	0.538	T cell receptor repertoire sequencing assay	0.341	phase cycle	0.58	T Cell Receptor Repertoire Sequencing	0.441	receptor	0.477	single cell sequencing			0.498	Sequencing
Epigenome-wide association study	0.379	study intervention	0.439	resonance ion dissociation spectroscopy	0.781	Whole Genome Association Study	0.389	epigenetic assay	0.381	sample dissociation				
T cell receptor (TCR) sequencing	0.667	T cell receptor repertoire sequencing assay	0.364	phase cycle	0.719	T Cell Receptor Repertoire Sequencing	0.547	receptor	0.591	single cell sequencing			0.618	Sequencing
Flow cytometry	0.959	flow cytometry assay	0.913	flow cytometry	0.987	Flow Cytometry	0.985	flow cytometry	0.355	CytoSeq	0.901	flow cytometry method	0.82	Cytometry
Mosquito collection using CDC light traps	0.403	cell collecting	0.314	static light scattering	0.405	Stool Collection			0.367	specimen collection process	0.314	body fluid collection method		
Transect sampling strategy	0.381	material sampling process	0.301	saturation-transfer electron spin resonance spectroscopy	0.461	Library Sequencing	0.369	transient transfection	0.364	transfection			0.311	RNA-Seq
Financial support documentation	0.446	documenting	0.318	time proportional phase incrementation	0.523	Financial Question	0.345	assay supporting method	0.319	ChIPmentation	0.363	in vivo videography with digital image analysis		
Mate-copying experiments	0.477	epitope protection experiment	0.587	nuclear Overhauser enhancement spectroscopy	0.604	Experiment	0.426	experimental design method					0.462	RNAi experiment
Immunoassays	0.489	immuno staining assay	0.437	ELISA	0.872	Immunology Test	0.86	immunoassay	0.474	immunoprecipitation assay	0.86	immunoassay	0.313	RNA immunoprecipitation
Single linkage clustering	0.724	single linkage hierarchical clustering	0.422	single-ion monitoring	0.94	Single Linkage Cluster Analysis	0.485	k means clustering	0.419	single cell sequencing				
Indoor residual spraying (IRS) of insecticide	0.493	insecticide resistance assay			0.339	Detection of Measurable Residual Disease			0.322	INSeq				
Data merging	0.42	data encoding			0.376	Analysis Project	0.465	assay data processing method	0.459	data transformation			0.3	Imaging
Sequoia LISST-Holo2 sensor					0.387	Hand Function Test	0.361	electrical sensor						
convenience sampling	0.402	material sampling process	0.309	solid sampling graphite furnace atomic absorption spectrometry	0.491	Sampling Method			0.394	sample pooling				
Data integration from Mendeley Data as flat csv files.	0.456	data vector reduction data transformation			0.419	Direct Antiglobulin Test	0.376	data based structure generation	0.402	data transformation				
Cohort study follow-up	0.364	study intervention			0.74	Cohort Study	0.365	portal vein study	0.646	follow-up				
Thick blood smear	0.521	blood assay			0.797	Thick Smear Technique	0.343	whole blood stability assay	0.402	blood draw	0.373	blood creatine kinase activity assay		
Behavioral messaging	0.308	imaging assay	0.403	chemical imaging	0.627	Behavioral Rating Scale	0.444	organism behavior assay	0.547	behavioral stimulus	0.353	body movement/behavior method	0.325	Imaging
Real-time optotracing	0.399	real time polymerase chain reaction assay	0.354	direct analysis in real time time-of-flight mass spectrometry	0.44	Real Time PCR	0.342	real-time PCR			0.323	real-time polymerase chain reaction assay		
RNA sequencing	0.953	RNA sequencing assay	0.515	phase cycle	0.972	RNA Sequence Analysis	0.576	Whole Genome Sequencing	0.767	DNA-seq	0.342	ribonucleic acid in situ hybridization assay	0.989	RNA-Seq
Autophagy induction	0.306	tolerance induction intervention experiment	0.344	flow injection solid phase extraction inductively coupled plasma atomic emission spectroscopy	0.663	Induction Therapy	0.512	CYP induction assay						
Genetic-environment association (GEA) method	0.387	genetic transformation	0.409	environmental scanning electron microscopy	0.474	Gene Therapy	0.498	genetic modification method	0.386	enzymatic dissociation	0.341	enzymatic method		
Isolation by distance	0.515	isolation of cell population	0.371	resonance ion dissociation spectroscopy	0.572	Cell Sorting	0.457	distance comparison modeling	0.525	single cell isolation	0.336	isolated bone method		
Protein folding	0.656	protein assay	0.311	1H nuclear magnetic resonance spectroscopy	0.695	Total Protein Measurement	0.919	protein folding assay	0.563	protein assay	0.484	blood protein analysis	0.405	Protein interaction experiment
Data Collection through Interviews	0.379	cell collecting	0.331	attenuated total reflectance infrared spectroscopy	0.505	Educational Intervention	0.349	concentration throughput	0.396	specimen collection process	0.342	high throughput expression assay		
Ethylene treatment	0.695	treatment			0.707	Treatment Study	0.415	gene knockdown by morpholino treatment						
Hemoglobin measurement	0.666	hemoglobin assay	0.63	pH measurement	0.954	Hemoglobin Measurement	0.545	cell movement measurement method	0.392	assay	0.59	blood hemoglobin analysis		
Structured interviews	0.406	3D structure determination assay	0.413	X-ray diffraction	0.646	Structured Clinical Interview for DSM-5	0.471	structural	0.553	Structure-Seq				
Single-cell RNA-seq	0.622	single-cell RNA sequencing assay	0.359	single-ion monitoring	0.802	Single Cell RNA Sequencing	0.431	RNA	0.83	single-cell RNA sequencing	0.396	RNA-seq assay	0.434	RNA-Seq
Transformation with Simian vacuolating virus 40 small and large T antigen	0.456	b transformation			0.345	Rubeola Antigen Measurement			0.401	data transformation				
antibody repertoire analysis	0.472	replicate analysis	0.491	X-ray diffraction	0.494	Sjogren's SS-B Antibody Measurement	0.457	antibody preparation method	0.799	Paired VH:VL Antibody Repertoire Analysis	0.418	urine analysis	0.516	Exome sequencing
Medical history evaluation	0.396	liver evaluation venous blood protein assay			0.658	Medical History Taking	0.31	statistical classification method	0.445	checkup	0.478	free radical elective evaluator photometry	0.438	Medical imaging
urine filtration	0.719	filtration	0.389	titration	0.491	Hemofiltration	0.38	rodent excretion in urine	0.612	cot filtration	0.474	gel filtration chromatography		
Consent Form Signing and Witnessing	0.34	informed consent process			0.403	Witnessing of Chief Complaint					0.309	moving tilting plane test		
Petri dish assay	0.598	assay	0.427	imaging assay	0.593	Bioassay	0.529	dish	0.597	assay				
Data Storage and Regulatory Filing	0.541	storage			0.456	Regulatory T-Lymphocyte Count	0.44	enzyme regulator	0.423	STARR-Seq				
Intention-to-treat analysis	0.385	sequence analysis data transformation	0.481	diffraction method	0.509	Genetic Variation Analysis	0.404	image analysis method	0.456	data transformation	0.402	urine analysis	0.495	Exome sequencing
Photos	0.309	phospholipid assay	0.459	photoion-photoelectron coincidence spectroscopy	0.691	Photon Beam Radiation Therapy	0.479	photodiode	0.319	enrichment of phosphorylated protein	0.573	photometry		
Institutional review board approval	0.397	reconstitution assay			0.42	Multi-Institutional Clinical Trial	0.367	reconstitution method						
Demographic surveillance system	0.537	surveillance process	0.343	thermography	0.616	Surveillance			0.345	digestive system surgery			0.318	MRI
Experimental study	0.59	experimental disease induction	0.581	constant time method	0.699	Investigational Arm	0.634	experimental design method	0.454	group assignment			0.526	RNAi experiment
Hybridization-based antibody cDNA recovery	0.424	nucleic acid hybridization	0.374	inversion recovery	0.549	Nucleic Acid Hybridization	0.426	nucleic acid hybridization-based method	0.465	in-situ hybridization assay	0.386	ribonucleic acid in situ hybridization assay		
Flat file format	0.346	quantile transformation			0.429	Multinational Association of Supportive Care in Cancer Antiemesis Tool	0.465	alternate assay format	0.405	SPLAT				
Venous blood donation	0.558	blood gas venous blood bicarbonate assay			0.426	Blood Irradiation	0.343	blood to plasma ratio assay	0.381	blood transfusion	0.364	cell fractionation		
Flow cytometry (BD FACSAria-II)	0.692	flow cytometry assay	0.658	flow cytometry	0.711	Flow Cytometry	0.71	flow cytometry	0.309	fluorescence-activated cell sorting	0.649	flow cytometry method	0.592	Cytometry
Bioinformatics algorithms	0.425	probabilistic algorithm			0.469	Cancer Bioinformatics Infrastructure Objects	0.699	bioinformatics method						
biodiversity assessment	0.456	taxonomic diversity assessment by targeted gene survey			0.652	Physical Examination	0.54	assay quality assessment method			0.422	in vivo visual assessment		
Simulated data analysis	0.574	data analysis service	0.511	X-ray diffraction	0.537	Population Analysis	0.482	simulated annealing	0.753	data transformation	0.478	automated blood analysis	0.53	Exome sequencing
Indoor residual spraying (IRS)			0.343	stimulated Raman loss spectroscopy	0.422	Residual Tumor Size Measurement								
Luminescent oligothiophenes	0.363	ATP bioluminescence assay	0.552	luminescence spectroscopy	0.35	Chemiluminescent Immunoassay	0.519	luminescence method			0.31	electrochemiluminescence immunoassay		
Deep sequencing	0.795	sequencing assay	0.497	phase cycle	0.819	Biopolymer Sequencing	0.555	Whole Genome Sequencing	0.652	DNA-seq			0.842	Sequencing
Community-based survey	0.31	epitope protection experiment based on survival			0.687	American Community Survey	0.313	optical based						
Longitudinal cohort study	0.599	longitudinal mass measurement assay	0.539	longitudinally detected electron spin resonance spectroscopy	0.855	Longitudinal Study	0.408	portal vein study	0.367	group assignment				
Illumina Novaseq6000 sequencing	0.594	sequencing assay	0.455	phase cycle	0.793	Illumina Sequencing	0.414	Whole Genome Sequencing	0.742	Illumina sequencing			0.616	Sequencing
Bleomycin-induced lung injury	0.342	lung assay	0.329	laser-induced breakdown spectroscopy	0.392	Induced Abortion Procedure	0.333	ionomycin						
Single-cell transcriptomic analysis	0.598	transcript analysis by single-end sequencing assay	0.428	single-particle energy-dispersive X-ray emission spectroscopy	0.658	Single Cell RNA Sequencing	0.402	transcriptional profiling assay	0.601	single-cell RNA sequencing	0.385	high throughput transcription profiling by array	0.448	RNA-Seq
Blood collection for microscopy	0.617	microscopy assay	0.623	ion microscopy	0.628	Microscopy	0.629	microscopy	0.582	blood draw	0.536	ex vivo electron microscopy	0.589	Electron microscopy
Biophysicochemical motif analysis	0.404	replicate analysis	0.661	electrochemical analysis	0.701	Physicochemical Property Analysis	0.665	physicochemical	0.45	high content analysis of cells by morphological and physical properties	0.386	urine analysis	0.475	Exome sequencing
Specimen data recording	0.366	single-unit recording			0.444	Specimen Weight Measurement	0.306	assay data processing method	0.46	specimen collection process	0.404	volume pressure recording		
Sperm DNA integrity analysis	0.407	mass spectrometry analysis	0.473	thermal analysis	0.656	DNA Analysis	0.508	integrated pathway analysis	0.467	spatial analysis	0.394	urine analysis	0.485	Exome sequencing
Gut contents analysis	0.424	replicate analysis	0.537	X-ray diffraction	0.718	DNA Image Cytometry	0.454	image analysis method	0.635	high content analysis of cells	0.452	urine analysis	0.557	Exome sequencing
Collection of epidemiological data	0.379	cell collecting	0.312	electrochemical detection	0.604	Epidemiological Method	0.37	electrophysiological method	0.396	specimen collection process	0.424	bioassay	0.396	Bioimaging
Susceptibility tests	0.305	cell viability assay	0.685	magnetometry	0.726	Microbial Susceptibility Test	0.316	intestinal fluid stability assay						
Dried blood spot collection	0.431	cell collecting			0.603	Blood Product Collection	0.317	spot detector	0.633	blood draw	0.409	body fluid collection method		
ELISA	0.45	ELISA measuring epitope specific RANTES production by T cells	0.951	ELISA	0.988	ELISA	0.997	ELISA			0.98	enzyme linked immunosorbent assay		
Universal LLIN campaigns							0.414	screening campaign						
Flower production measurements	0.432	mass measurement assay	0.614	desorption measurements	0.494	Fibrin Degradation Products Measurement	0.436	assay measurement type	0.34	assay	0.389	nociception measurement method		
Local maxima and minima in the environment	0.436	exposure of material to environment	0.481	environmental scanning electron microscopy	0.425	Environmental Justice Screening and Mapping Tool	0.366	local minimum search						
Written consent or assent	0.373	informed consent process	0.333	constant-current chronopotentiometric stripping	0.38	Cast Present Or Absent	0.333	assay readout content	0.348	high content screen				
Hydroxyproline contents analysis	0.338	replicate analysis	0.428	X-ray diffraction	0.662	Hydroxyproline Measurement	0.362	image analysis method	0.505	high content analysis of cells	0.458	urine analysis	0.443	Exome sequencing
Staining with phalloidin	0.582	staining	0.391	negative-staining transmission electron microscopy	0.591	Staining Method	0.379	vital dye staining	0.352	cytokine secretion assay				
Pap testing	0.388	HCV nucleic acid testing	0.308	colorimetric test	0.823	Testing			0.341	pathogen test	0.38	Schirmer test		
Informed consent forms	0.732	informed consent process			0.414	BRIEF Parent Form Questionnaire	0.357	protein conformation assessment						
RB0020 collection	0.528	cell collecting	0.331	reflection electron microscopy	0.607	Stool Collection			0.551	specimen collection process	0.47	body fluid collection method		
Anthropometry assessments	0.409	dysmetria assessment	0.338	spectroscopy	0.585	Physical Examination	0.442	assay quality assessment method	0.333	assay by mass spectrometry	0.482	anthropometric tape	0.325	Cytometry
Review of medical charts					0.856	Medical Chart Review			0.387	medical procedure			0.468	Medical imaging
Vascular and molecular analyses	0.47	assay detecting a molecular label	0.669	molecular mass spectrometry	0.743	Molecular Analysis	0.607	molecular entity	0.571	blood vessel replacement	0.673	molecular method		
Salmonella typhi diagnostic tests (PCR)	0.401	WHO cone kit diagnostic assay			0.605	Diagnostic Procedure			0.301	polymerase chain reaction	0.301	polymerase chain reaction assay		
Case report forms (CRFs)	0.369	reporter gene assay			0.71	Case Study	0.349	reporter gene assay			0.358	in situ recombinase reporter assay		
Stereotactic ablative radiotherapy (SAbR)					0.917	Stereotactic Ablative Radiotherapy			0.302	cardiac ablation				
Cellular metabolism analysis	0.415	cell lysis	0.459	X-ray diffraction	0.591	Cellular Compartment Analysis	0.468	drug metabolism assay	0.439	data transformation	0.386	urine analysis	0.476	Exome sequencing
Case-control study	0.397	study intervention	0.347	phase contrast microscopy	0.813	Case-Control Study	0.394	Dose Response Study	0.376	group assignment				
Attitudinal survey analysis	0.577	longitudinal data analysis	0.505	X-ray diffraction	0.544	Survival Analysis	0.424	image analysis method	0.49	spatial analysis	0.426	urine analysis	0.525	Exome sequencing
Chest x-ray testing	0.351	statistical hypothesis test	0.386	colorimetric test	0.703	Testing			0.35	EST sequencing	0.37	Schirmer test		
Stem cell therapy			0.516	scanning transmission electron microscopy	0.996	Stem Cell Therapy			0.368	Pharmacotherapy	0.315	cell proliferation assay		
Pair sampling strategy	0.434	material sampling process	0.318	vibrating-sample magnetometry	0.479	Library Sequencing			0.442	PAIR				
Structured data upload sheet	0.386	Lead structure mapping assay	0.339	X-ray diffraction	0.437	Structure Type is Target Structure or Organ at Risk	0.525	data based structure generation	0.495	Structure-Seq				
Informed consent	0.822	informed consent process	0.313	confocal infrared microscopy	0.397	Have Made an Informed Choice	0.342	protein conformation assessment						
Collecting	0.857	cell collecting	0.352	multiple collector inductively coupled plasma mass spectrometry	0.707	Whole Blood or Product Procurement	0.304	E-selectin	0.559	specimen collection process	0.449	body fluid collection method		
Index case identification	0.468	histone modification identification by ChIP-Seq assay	0.325	refractive index detection	0.669	Lesion Identification	0.487	nucleic acid identification and quantitation method	0.338	label-free quantification				
Binding assays	0.834	binding assay	0.483	imaging assay	0.69	Ligand Binding Assay	0.867	binding assay	0.498	assay				
Logistic regression analysis	0.696	regression analysis method	0.459	X-ray diffraction	0.799	Regression Method	0.503	computational expression analysis	0.52	cap analysis gene expression	0.386	urine analysis	0.476	Exome sequencing
Plasmid analysis	0.478	replicate analysis	0.605	X-ray diffraction	0.582	DNA Analysis	0.573	plasmid DNA	0.577	data transformation	0.64	plasma urea analysis	0.627	Exome sequencing
Viability, metabolic flux, and p53-LC3-B expression measurement	0.381	cell viability assay	0.459	sorption measurement	0.554	IgG Expression Measurement	0.634	viability measurement method	0.329	metabolomic profiling	0.463	metabolic cage urine volume measurement method		
Mass cytometry	0.833	cytometry assay	0.708	mass spectrometry	0.988	Mass Cytometry	0.645	flow cytometry	0.584	assay by mass spectrometry	0.604	mass spectrometry	0.82	Cytometry
Binding association analysis	0.531	binding assay	0.515	laser desorption-ionisation mass spectrometry	0.566	Whole Genome Association Study	0.537	binding assay	0.443	spatial analysis	0.386	urine analysis	0.476	Exome sequencing
Genetic testing	0.473	genetic transformation			0.984	Genetic Testing	0.411	gene	0.32	high content screen of cells in a gene deletion library	0.321	Schirmer test		
Data obfuscation	0.471	data vector reduction data transformation	0.31	oxidation–reduction titration	0.348	Pharmacotherapy Initiation	0.375	data based structure generation	0.439	data transformation				
Case-Control Study	0.397	study intervention	0.347	phase contrast microscopy	0.813	Case-Control Study	0.394	Dose Response Study	0.376	group assignment				
Prospective study	0.397	study intervention	0.324	extractive electrospray ionisation mass spectrometry	0.985	Prospective Study	0.394	preclinical study	0.376	group assignment				
Standardized Interviews	0.31	standard deviation calculation	0.381	standard atomic force infrared microscopy	0.534	Interview	0.386	standard deviation	0.331	medical procedure	0.314	standard blood chemistry panel	0.589	Echography
