_id	Name	Description	Model	Predictions
ReframeDB_A00541	Calu-3 48hr CTG Toxicity Assay	Secondary assay to identify compounds with cytotoxicity in uninfected Calu-3 cells after 48hrs. Purpose Secondary assay to identify compounds with cytotoxicity in uninfected Calu-3 cells after 48hrs using Cell-titer Glo and a luminescent readout.  This will be used as a counterscreen for compounds identified in the Calu3 SARS-CoV-2 HCI assay as having antiviral activity in order to triage compounds that are adversely affecting the cells.  Protocol Compounds are pre-spotted to 1536w plates before seeding 500 Calu-3 cells/well in 5uL media with 2% FBS.  After 48hrs cell viability is determined using Cell-Titer Glo (CTG).  2uL of 50% CTG is added to the plates and allowed to incubate for 10minutes at room temperature before reading luminescence on the EnVision Plate Reader (Perkin Elmer). The positive control is 30uM Puromycin and the neutral control DMSO. Readout Luminescence, normalized to neutral control or compounds minus inhibitor Detection Method luminescence measured using an envision plate reader (perkin elmer). Detection Reagents Cell-titer Glo (Promega) Components Human airway epithelial Calu-3 cell line, Cell-titer Glo (Promega) Drug Concetration Not used for primary screening	gpt-3.5-turbo	['Cell viability assay', 'Luminescence readout', 'High-content imaging assay', 'Screening assay', 'Counterscreening assay']
ReframeDB_A00507	Development of preclinical candidates for the treatment of NTM disease	In vitro high-throughput phenotypic screen to identify small molecule inhibitors with activity against both Mycobacterium abscessus and Mycobacterium avium species, ideally also active against Mycobacterium tuberculosis. Purpose This is an in vitro high-throughput phenotypic screen to identify new orally bioavailable preclinical development candidate compounds for the treatment of non-tuberculous mycobacteria (NTM) lung disease caused by both Mycobacterium abscessus and Mycobacterium avium species. NTM are diverse and ubiquitous in the environment and are increasingly being identified globally in association with serious, usually opportunistic, infections in humans. M. abscessus, one of the most commonly identified NTM species responsible for severe respiratory, skin and mucosal infections in humans, is intrinsically resistant to available antibiotics, underscoring the need to identify novel therapeutic strategies for the treatment of NTM lung disease. Protocol Mid-log (OD600 = 0.4-0.6) cultures of M. abscessus Bamboo and M. avium 11 grown in Middlebrook 7H9 liquid medium are diluted to OD600 = 0.05 prior to incubation in the presence of the compounds at 37Â°C with shaking at 110 rpm for 3 and 4 days, respectively. Following incubation, percentage growth inhibition is calculated by normalization to Day 0 data and DMSO negative controls as reference. Compounds displaying >85% growth inhibition against both M. abscessus Bamboo and M. avium 11 species are followed up in secondary dose-response screens to identify those with the most potent activity against both organisms. Following selection of the most promising candidate compounds, carried out in consultation with Calibr, further in vitro and in vivo characterization is carried out to facilitate target deconvolution and to determine efficacy in the mouse model of NTM infection.  Readout Read out will measure cell growth as a function of absorbance at OD600; data are normalized to the DMSO carrier in the absence of compound. Detection Method absorbance measured at od600; clarithromycin is used as a positive control; dmso is the negative control, used for normalization of bacterial cell growth. Components M. abscessus Bamboo; M. avium 11 Drug Concetration 40nL for 20uL assay volume at 20 Ã‚ÂµM	gpt-3.5-turbo	['In vitro high-throughput phenotypic screen', 'Cell culture', 'Incubation', 'Shake incubation', 'Growth inhibition calculation', 'Dose-response screen', 'In vitro characterization', 'In vivo characterization', 'Target deconvolution', 'Efficacy determination', 'Absorbance measurement', 'Normalization', 'Positive control', 'Negative control', 'Drug concentration']
ReframeDB_A00095	M. tuberculosis growth inhibition	Inhibition of M. tuberculosis proliferation in standard 7H9 medium supplemented with oleic acid, albumin, dextrose, catalase, tyloxapol, and glycerol Purpose Mycobacterium tuberculosis represents an immense global public health problem, which has been exacerbated by the emergence of strains resistant to multiple antibiotics. This assay seeks to identify novel small molecules that restrict the growth of M. tuberculosis. This assay is specific to the Mtb strain H37Ra grown in standard Middlebrook 7H9 medium (no host cells) supplemented with OADC. Protocol Compounds are dry spotted into white 1536-well microtiter plates at 10uM screening concentration for primary screening at 20uM top concentration for dose-response reconfirmation. For the assay, 6uL of diluted H37Ra bacteria at a final OD600 of 0.025 is dispensed into pre-spotted assay plates. Cultures are allowed to grow for 72h at 37C. After incubation, viability is determined by measuring ATP content. 2 uL of BacTiter-Glo is added to wells and incubated 5 minutes. Luminescence is read on Perkin Elmer Viewlux. Readout Luminescence; normalized to neutral control minus inhibitor. Detection Method luminescence; rifampicin is used as a positive control and dmso is used as the neutral control. signal is normalized by neutral controls minus inhibitors. Detection Reagents BacTiter-Glo Components M. tuberculosis H37Ra in standard 7H9 medium; Bactiter-Glo Drug Concetration 10  Ã‚ÂµM	gpt-3.5-turbo	['Growth inhibition assay', 'High-throughput screening', 'Luminescence measurement', 'Viability assay']
ReframeDB_A00272	Measuring cell sickling times to screen for drugs that treat sickle cell disease by inhibiting hemoglobin S polymerization.	A sensitive kinetic assay is being used to screen for compounds that can be drugs for treating sickle cell disease.  The assay measures the sickling time distribution of red cells from sickle cell trait, the heterozygous condition. Purpose The root cause of the pathology of sickle cell disease is the polymerization of the mutant hemoglobin S upon deoxygenation in the tissues to form fibers that distort ("sickle") and stiffen red cells.  The less flexible cells may not pass through the narrowest vessels of the tissues, thereby causing vaso-occlusion, which results in chronic organ damage and intermittent episodes of pain so severe that they are called "sickle cell crises". There are six distinct mechanisms to inhibit sickling with anti-polymerization drugs for treating the disease (outlined in detail in WA Eaton and HF Bunn, Blood, 129: 2719-2726, 2017). Our assay screens for all but fetal hemoglobin induction, but will be key for monitoring the sickling of blood from patients in clinical trials taking drugs that inhibit polymerization by inducing fetal hemoglobin or by any of the other five mechanisms. By far the most sensitive assay for testing the inhibitory effect of potential drugs is to measure its effect on the sickling time, which is the delay time prior to fiber formation in intact red cells. The assay is also the most patho-physiologically relevant, since increasing the delay time allows more cells to escape the narrow vessels of the tissues before fibers form, thereby lowering the probability of vaso-occlusion. Protocol Blood from donors with sickle cell trait, the heterozygous condition, is diluted 3000-fold into a physiological buffer at pH 7.35 consisting of 20 mM phosphate, 134 mM NaCl, 1 g/L dextrose. 10 microliters of this red cell suspension is added to each well of the 384 well plate. 252 wells are spotted with 100 picomoles of compounds from the reFRAME library. Of the remaining 132 wells, 32 (columns 3 and 22) contain only the red cell suspension and serve as neutral (negative) controls, while 32 (columns 2 and 23) contain a red cell suspension in a buffer of 180 millimolar and serve as inhibitor (positive) controls, since the increase in volume at the decreased osmolarity dilutes the intracellular hemoglobin sufficiently to prevent sickling. The 68 wells that line the edge of the plate contain controls, but are not considered in the analysis because of possible edge effects. The plate is inserted into a humidified thermostated chamber in air of the Biotek â€œLionheartâ€ microscope system for two hours at 37 C followed by deoxygenation with 100% nitrogen for up to 12 hours at 37 C, with images collected every 15 minutes (the time required to collect an image from all 384 wells). Compounds that increase the sickling times to an extent that is therapeutic will be selected for studies of the concentration dependence on sickle trait cells to determine the lowest concentration at which they have therapeutic potential. For compounds that are known to be non-toxic at the concentration predicted to be therapeutic, sickling time measurements will be performed using the same assay on cells from patients with homozygous sickle cell disease, but with 5% oxygen to slow sickling. Readout A compound will be labeled a "hit" if it results in a percent sickled relative to neutral control (with 70-80% sickled, the maximum of the Z-factor) of 50% or less. This is the upper limit of the percent sickled expected for trait cells in which 50% of the total hemoglobin in trait cells has been replaced by hemoglobin C, mimicking SC disease, which is known to be a milder form of sickle cell disease (explained in detail in Li et al, PNAS 2017). Detection Method the image of 100-200 cells in each well on a ccd camera is collected every 15 minutes, the time required to collect an image from all 384 wells during deoxygenation. sickling times are determined by monitoring several metrics of the cell image to determine during which 15-minute interval the cell has sickled. this analysis is accomplished using our in-house developed, robust image analysis software (described in detail in li et al., pnas 114: e689-e696, 2017). these metrics include the eccentricity (deviation from the circular projection of the unsickled biconcave disc shape), the ratio of the optical density at the periphery of the cell to that at the cell center (unsickled cells are more transparent in the center), and the projected area of the cell (sickled cells have a smaller projection than unsickled cells). Detection Reagents none Components Red blood cells from donors with sickle cell trait and, for hits, from patients with homozygous sickle cell disease Drug Concetration 10 nL cmpd (10 mM) into 10 ÂµL assay buffer.  10 ÂµM final concentration	gpt-3.5-turbo	['The techniques used to generate the dataset are:', 'Kinetic assay', 'Microscopy imaging', 'Image analysis software']
ReframeDB_A00489	SARS-CoV2 Entry Inhibitor	Identification of SARS-CoV2 spike mediated inhibitors by luminescence assay. Purpose Entry of coronaviruses requires the sequential functions of two subunits of spike protein (S), S1 and S2 on the viral surface. S1 subunit or more precisely a smaller domain in this region called receptor binding domain (RBD) is primarily responsible for binding to functional receptors on target cells. S2 subunit facilitates the fusion of cell membrane with viral membrane, and its efficiency is determined by priming steps by cellular proteases as well as following conformational change. SARS2-CoV, the same as SARS-CoV, uses angiotensin-converting enzyme 2 (ACE2) as a functional receptor for entry. Cleavage of S2’ site in S2 subunit by a serine protease named TMPRSS2 demonstrated a priming function and leads to a more efficient entry mediated by SARS2-CoV S. Therefore, inhibitors that either block the interaction of S1 or RBD with cellular receptors or the fusion mediated by S2 domain could inhibit entry of the virus. This 1536 well assay will identify inhibitors of the S-mediated entry by monitoring the decrease in a firefly luciferase-based reporter delivered by a pseudotyped viral system. The luminescence signal is dependent on entry efficiency mediated by S, therefore a decrease in signal will indicate inhibition.  Protocol Compounds and controls will be pre-spotted on to white 1536-well plates at 10mM for primary screening at 10uM final concentration.  HEK293 ACE2 expressing cells will be seeded at 2000 cells in 2.5uL of media into each well containing compounds and controls. After 1 hour incubation the pseudo virus particles will be seeded at 2.5uL/well in complete media. After 48 hour incubation, 5 uL of One Glo Firefly luciferase substrate will be added to each well and incubated for 10 minutes before luminescence reading on Perkin ViewLux.  Readout One Glo (Promega) substrate will be used to measure Firefly luciferase luminescence. Activity of the reporter will be measured by Firefly luciferase reporter output. Values will be normalized based on Fluc signal from cells plus media plus DMSO (positive) vs. cells plus MLV-SARS2-S Fmut virus infection +DMSO (negative).  Detection Method luminescence  Detection Reagents One Glo (Promega) Components HEK293T-hACE2 cells, Furin-mutated SARS2-S pseudotyped MLV virus Drug Concetration 5nL at 10mM	gpt-3.5-turbo	['Luminescence assay', 'Luciferase assay', 'Pseudotyped viral system', 'High-throughput screening', 'Reporter gene assay', 'Cell culture', 'Transfection']
ReframeDB_A00640	Inhibition of Bodipy-GTP binding to small g-protein Rac-1 from Multiplex	A microsphere-based screen that simultaneously interrogates GTP binding to a set of small G-proteins. Eight GST~G-proteins are coupled to bead sets of varying fluorescence intensity. Flow Cytometry is used to discriminate individual bead bound G-proteins and evaluate Bodipy-GTP binding. Purpose Small GTPases that include the Ras and Rho families regulate a wide range of cell signaling pathways by alternating between GTP-bound and GDP-bound states. In normal physiological conditions, their activities are tightly controlled and aberrant behavior related to an increased presence of GTP-bound forms contributes to tumorigenesis and other diseases. For this reason, the identification of small, cell-permeable molecules capable of modulating GTP-binding in a specific and reversible manner could prove therapeutically useful. This 384-well flow cytometric assay is capable of measuring Bodipy-GTP binding to nine small G-proteins simultaneously  (KRas WT, G13D, G12V, G12D, Q61H; Rac1 WT, CDC42 WT; Rab7 WT; RhoA). Chimeric GST~fusion proteins are bound to glutathione bead sets that are discriminated by differing intensities of red fluorescence of a fixed wavelength. Bodipy-GTP binding is detected using a separate green-wavelength channel. This format allows for the potential identification of selective modulators of GTP binding to particular G-proteins. Both increased and decreased fluorescence of bound Bodipy-GTP can be quantified.    Data listed in this assay shows specifically Kras-WT from the multiplex. Please view the following assays for the other g-binding proteins: Kras-WT (A00647), Kras-G13D (A00645), Kras-G12V (A00646), Kras-G12D (A00643), Kras-Q61H (A00641), CDC-42 WT (A00642), Rab-7 WT (A00639), and Rho-A (A00644) Protocol Bead sets (4ÂµM) that have been pre-coupled with GST~GTPase constructs overnight are washed to remove unbound proteins and are kept on ice until use. Assay plates with pre-spotted compounds (10ÂµM for the primary screen, 100ÂµM top concentration for the concentration-dependent analyses) and DMSO controls are assembled by adding 5ÂµL of assay buffer followed by 5ÂµL of the coupled bead set mixtures. The final concentration of each bead set is 200 beads/ÂµL. Compounds are incubated with GTPase~coupled beads for 30 minutes followed by the addition 100 nL of Bodipy-GTP to a final concentration of 10 nL followed by incubation for 1 hour. Assay plates are sampled using a high-throughput flow cytometry platform that delivers air-separated samples to a flow cytometer. Data from individual assay plates are acquired as single files that are subsequently parsed into individual bins with associated fluorescence signatures.    Readout Bodipy-GTP fluorescence associated with each individual bead set is measured after one hour of incubation. Positive and negative control wells are used to calculate Zâ€™ statistics and active hit compounds are selected based on % signal deviation from control well averages.   Detection Method flow cytometry Detection Reagents Bodipy-GTP Components GSH-modified 4 uM beads; GST-GTPase fusion proteins; Bodipy-GTP Drug Concetration 10ÂµM, 10nL.	gpt-3.5-turbo	['Microsphere-based screen', 'Flow cytometry', 'High-throughput flow cytometry platform']
ReframeDB_A00200	Acinetobacter (1536w) 24h BTG Meropenem Potentiation - HUMC1 serum	Viability assay for virulent XDR Acinetobacter baumannii strain HUMC1 Purpose A. baumannii infections, such as nosocomial pneumonia and bacteremia, are a serious public concern, with drug resistant isolates a significant problem for treatment. Carbapenems, such as meropenem, are important therapeutic options for these infections, but resistant isolates have increasingly been reported. This is an assay to identify potentiators of meropenem antibiotic activity towards the carbapenem resistant Acinetobacter baumannii HUMC1 strain, an extensively drug-resistant (XDR), highly virulent clinical bloodstream isolate. HUMC1 has been well characterized in mouse models of infection by the Sternberg lab (USC), facilitating follow up of screen hits in vivo. This screen is carried out in defined cell culture medium, mimicking in vivo growth conditions of the bacteria during infection. Protocol Compounds are acoustically transferred via Echo into 1536-well white plates (20 uM for primary screen and 40 uM top concentration for dose-response, with 10 uM of meropenem throughout). Overnight cultures of bacteria are subcultured, diluted in assay media (a defined cell culture medium with high concentration of normal mouse serum), and dispensed into plates. Following a 24 hour incubation with compounds of interest, BacTiter-Glo Luminescent Microbial Cell Viability Assay is used to measure bacterial viability. Readout BacTiter-Glo Luminescent Microbial Cell Viability Assay is used to measure ATP as a surrogate marker for bacterial viability. Colistin and doxycycline are used as positive controls and DMSO is used as the neutral control. Signal is normalized by Neutral Controls Minus Inhibitors. Detection Method luminescent signal intensity Detection Reagents BacTiter-Glo (Promega) Components A. baumannii strain HUMC1 Drug Concetration 20  Ã‚ÂµM	gpt-3.5-turbo	['Viability assay', 'Antibiotic potentiator assay', 'Acoustic transfer', 'Subculture', 'Dilution', 'Dispensing', 'Incubation', 'Luminescent microbial cell viability assay', 'ATP measurement', 'Normalization', 'Detection of luminescent signal intensity']
ReframeDB_A00209	Crypto-HCT-8 Host Cells (Sterling Lab C. parvum)	Cell-based assay which allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity using high-content imaging detection. Purpose Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a concomitant readout from the high-content imaging-based high-throughput screen of the full deck against the protozoan pathogen Cryptosporidium parvum (A00093). HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity. Protocol This specific ID is for HCT-8 host cells infected with the Sterling Parasitology Lab strain of C. parvum (IOWA), which has been routinely passaged through neonatal calves to propagate. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing. Readout High-content imaging; normalized to neutral control minus inhibitor. Detection Method high-content imaging; puromycin is used as a positive control, and dmso is the neutral control. selected object counts are normalized by neutral controls minus inhibitors. Detection Reagents DAPI 386/440 Components C. parvum-infected HCT-8 host cells; Detection reagent Drug Concetration 2  Ã‚ÂµM	gpt-3.5-turbo	['Cell-based assay', 'High-content imaging detection', 'High-throughput screening', 'Passaging through neonatal calves', 'FITC-tagged Vicia Villosa lectin staining', 'DAPI nuclear staining', 'SpotDetector algorithm', 'High-content imaging analysis', 'Image acquisition with CX5 Cellomics imager']
ReframeDB_A00198	TB Deconstructed Granuloma	Screening of ReFRAME library +/- isoniazid (INH) for synergistic activity against tetracycline-inducible mKO fluorescent reporter strain of Mycobacterium tuberculosis (Erdman) in the deconstructed granuloma model (DGr). Purpose High through-put assaying of ReFRAME library for activity against Mycobacterium tuberculosis in the deconstructed granuloma model (DGr) in the presence of INH. To maximize the richness of a screen for compounds that impact progression of Mtb growth through host-directed targets we have developed a screen based on including all the cells present in active murine tuberculosis granulomas.  Protocol In brief, mice are infected with mCherry-expressing Mtb Erdman (103 organisms intranasally) and left for 21 days. At this time point the immune response is in transition. The innate response is still active and the acquired response is developing.  In addition, this is the time of highest bacterial burden.  We hypothesize that this is an ideal time-point because the infection is at its most plastic and all cell types that could impact disease progression (both positively and negatively) are present. To provide a comparison against this assay with the cell type we have utilized before, we have run this with J774 cells in parallel to the DGr-ReFrame. At 21 days the mice are sacrificed and the lungs excised. The tissue is broken down by homogenization and digestion with a cocktail of enzymes including collagenase and DNase1. Large fibrous aggregates are removed by centrifugation and the single cell suspension washed. An aliquot of the suspension is fixed for analysis by flow cytometry. The remainder is seeded into 384 well plates @ 100,000 cells/well (30uL), infected with a second Mtb strain, this time carrying the tetracycline inducible mKO protein (10uL @ 0.2 OD600). The plates are given either DMEM or DMEM with sub-MIC INH (0.0125ug/mL), and the test drug compounds (5uM in 10uL) in parallel. The plates are incubated, and 10uL ATc (final conc. 200ng/mL) is added at day 4 and read by fluorescent plate reader on day 6 and 7 to measure the signal from growing/surviving bacteria. At the conclusion of incubation the gain in signal is calculated by the median measurement across the plate.  Readout Fluorescence; Normalized to neutral control minus inhibitor Detection Method fluorescence is read to measure the signal from growing/surviving bacteria. both mtb growth inhibitors and activators are considered.  activity readout: replication inhibition/ organism death/ accelerated organism growth assay readout: fluorescence assay hit: antagonist, agonist, inverse agonist both mtb growth inhibitors and also activators curve direction, up or down with increasing compound concentration  Detection Reagents Anhydrotetracycline Components 6wo mice, infected for 21 days with mCherry Mtb, lungs homogenized into single cell suspension. Mycobacterium tuberculosis with tetracycline inducible P606 driven mKO – Erdman strain (Kanamycin resistant) Drug Concetration 75nL from 10mM source plate with 425nL DMSO backfill	gpt-3.5-turbo	['High-throughput screening', 'Flow cytometry', 'Homogenization', 'Digestion', 'Centrifugation', 'Cell seeding', 'Infection', 'Incubation', 'Fluorescent plate reader analysis']
ReframeDB_A00482	COVID-19 Papain-like protease assay	Biochemical assay on recombinant cystine protease. Enzyme activity is determined by cleavage of a fluorogenic peptid. Purpose COVID-19 Papain-like protease is a cystine protease with an activity comparable to human deubiqutinase enzymes. The papain-like protease allows the virus to evade immune response by interfering with the pathways responsible for the production of interferon-gamma. Inhibitors of this protein may be useful in treating the symptoms of COVID-19 and encourage a more robust immune response.  This assay employs a fluorogenic substrate of the papain like protease, inhibitors are determined as compounds which reduce fluorescence. This assay is also a useful counterscreen for the SARS-CoV2 target C3-Like protease as they are both cystine proteases but do not share any similarity are their active sites. Protocol Plates are received pre spotted with compound (30 nL). Using a multidrop 20 uL enzyme in assay buffer (50 mM Tris, 150 mM NaCl, 2 mM DTT, 1 mM EDTA, 0.05% (v/v) tween) is dispensed to all wells, and incubated for 60 min at RT. The assay is started with the addition of substrate in assay buffer (10 uL) using a multidrop. The enzyme is allowed to react with substrate for 60 min. The assay is stopped by addition of 10 uL of 0.5 mM N-Ethylmaleimide. Fluorescence is determined using a Pherastar FSX plate reader Readout Fluorescence of a fluorogenic peptide (e.g. Ubiquitin-Rhodamine, [5-TAMRA]-VRLRGG-[lys(BHQ2)]-acid), where an increase in fluorescence is correlated with enzyme activity. This is normalized to percentage inhibition by comparison to a 100% inhibition control (200 uM N-Ethylmaleimide/PMSF) and 0% inhibition control (vehicle treatment) Detection Method fluorescence Detection Reagents Cleavable fluorogenic peptide Components Inhibitor, Enzyme, Substrate, STOP solution Drug Concetration 30 nL	gpt-3.5-turbo	['Biochemical assay', 'Recombinant protein expression', 'Enzyme activity assay', 'Fluorescence measurement', 'High-throughput screening', 'Plate reader analysis']
ReframeDB_A00457	COVID-19 S-protein-ACE2 interaction HTRF Assay	Biochemical assay on recombinant protein-protein interaction. Interaction is quantified by an increase in HTRF signal. COVID-19 S protein is labelled with Terbium Chelate and ACE2 is labelled with Alexa Fluor 647/488 Purpose COVID-19 S-protein facilitates entry to the host cell via interaction with the host receptor ACE2. The first stage of viral entry is the protein-protein interaction between the S-protein and ACE2 therefore inhibitors of this interaction will be useful to treat infection. The two proteins are labelled with one of the HTRF pair, terbium and Alexfluor 488/647. If the two proteins are bound upon excitation of the terbium, rather than fluorescing, energy is transferred to the alexfluor dye and light is emitted at a longer wavelength. Protocol Plates are received pre spotted with compound (75 nL). Using a multidrop 15 uL of premixed proteins in assay buffer (50 mM Tris, 150 mM NaCl, 1 mM EDTA, 0.05% (v/v) tween) is dispensed to all wells (bar +ve control for inhibition, in which premixed proteins + excess of unlabeled protein is dispensed), and incubated overnight at RT to equilibrate. Fluorescence is determined using a Pherastar FSX plate reader. Readout Fluorescence of a HTRF fluorophore pair (e.g. Terbium and Alexafluor 657/488), where increased HTRF is correlated with protein binding. This is normalized to percentage inhibition by comparison to a 100% inhibition control (excess ACE2) and 0% inhibition control (vehicle treatment) Detection Method fluorescence â€“ htrf filter set & protocol Detection Reagents HTRF pair Components Assay Premix (COVID-19 S-protein, ACE2 (+excess unlabeled ACE2 for +ve control)) Drug Concetration 75 nL	gpt-3.5-turbo	['High-throughput screening (HTRF Assay)', 'Biochemical assay', 'Recombinant protein-protein interaction', 'Labeling with Terbium Chelate and Alexa Fluor 647/488', 'Assay buffer preparation', 'Plate reader fluorescence detection', 'Protein binding analysis', 'Fluorescence detection using HTRF filter set & protocol']
ReframeDB_A00413	Toxicity screen on Hit compounds for DENV transmission blocking molecules	Secondary assay for A00378. High Throughput luciferase interference screening for Hit compounds from the primary screen on U4.4_DENV1 stable cell line (mosquito cell line)  Purpose We aim to screen the hit compounds from the primary screen (done previously) to identify the false positives. For this purpose, cytotoxicity assay will be used as the deselection assay. The screen will be carried out in Aedes albopictus U4.4 cells (Argo knockout) expressing DENV1 replicon with a Nanoluciferase based reporter. The U4.4-DENV1 replicon cell line has been stably and successfully maintained for over 30 passages without significant loss of reporter signal. Screen will be done on a 384-well plate using cryopreserved cells, frozen at the same passage. This will save time on culturing cells throughout the screen and will reduce any variations that may be caused due to different cell passages. Fluorescent signal generated by conversion of Resazurin to resoflurin will be used as the measure of viability of the cells. Toxicity assay will be carried out as a dose response screen after the primary single point viral inhibition screen.  Protocol 8 point dose response screen (Hits only): Prespotted assay plates including the positive and negative controls on solid black 384- wells plate ( Catalog number: Greiner Bio-one, 781086). X nl of compound to a final concentration ranging from 10 ÂµM- 3 nM is added to each plate in a final volume of 40 Âµl. U4.4_DENV1 cryopreserved cells are added to each well (5000 cells/40Âµl). Plates are incubated at 26Â°C for 48 hours. 20Âµl of Resazurin substrate is added to each well and fluorescence is measured after 24 hours incubation at 26Â°C. Readout 20Âµl of 2100ÂµM Resazurin solution is added to each well and fluorescence is measured after 24 hours incubation at 26Â°C. Data is normalized to cycloheximide, which is used as the toxicity control. Z prime is calculated for each assay plate to verify the robustness of the assay.  Detection Method fluorescence Detection Reagents 2100ÂµM Resazurin solution Components Resazurin, U4.4_DENV1 cells Drug Concetration Dose response screen: 10 ÂµM-3 nM for a final volume of 40 Âµl	gpt-3.5-turbo	['High throughput luciferase interference screening', 'Cytotoxicity assay', 'Dose response screen', 'Fluorescence measurement', 'Cryopreservation of cells', 'Viability assay']
ReframeDB_A00191	Intramacrophage Mycobacterium tuberculosis	A high content microscopy assay to determine drug activity against intracellular Mycobacterium tuberculosis Purpose Mycobacterium tuberculosis, the causative agent of tuberculosis, exists in a complex set of environments both intracellularly and extracellularly in the host. Most drug screening for tuberculosis has been performed on extracellular bacteria. We are screening for drugs that inhibit M. tuberculosis growth inside macrophages, a primary cell type in which the bacteria reside. This is a high-content image-based assay. Total fluorescence intensity of DsRed-producing M. tuberculosis and nucleic acid-stained macrophages are readouts of growth or survival. Protocol RAW 264.7 cells are propagated in RMPI ( RPMI-1640, 10% FBS, 2 mM Glutagro, 1 mM sodium pyruvate medium) in a humidified atmosphere of 37°C, 5% CO2. RAW 264.7 cells are infected with M. tuberculosis (H37Rv DREAM8 strain which constitutively expresses DsRed) at multiplicity of infection of 1.0 overnight. Compounds are diluted in RPMI-1640, 5% FBS with Glutagro and 1 mM sodium pyruvate. Infected RAW 264.7 cells are harvested with Accumax solution, washed twice with PBS to remove extracellular bacilli and resuspended in RPMI-1640 with Glutagro and sodium pyruvate (no FBS). Infected cells are  seeded in 384-well plates containing compounds at 3.3 x 10^3 cells per well, resulting in a final assay concentration of 2.5% FBS. After a 72 hour incubation period, SYBR Green I dye is diluted in PBS and added to a final concentration of 5x to stain macrophage nuclei. Cells are imaged on an ImageXpress Micro with a 4x objective. Macrophage nuclei are imaged using a FITC filter set and M. tuberculosis are imaged using a Texas Red filter set. This method has been published: https://www.sciencedirect.com/science/article/pii/S1046202316303619?via%3Dihub Readout Images were analyzed by setting a lower bound for pixel intensity for each channel to define nuclei and bacteria above background.The integrated pixel intensity of each channel above this threshold was then determined as a measure of macrophage or M. tuberculosis  growth. Raw data were normalized to the average integrated intensity value from DMSO treated wells and expressed as % growth. Detection Method high content imaging  Detection Reagents SYBR Green dye, DsRed Components RAW 264.7 cells, M. tuberculosis (H37Rv DREAM8 strain) Drug Concetration 10  Ã‚ÂµM	gpt-3.5-turbo	['High content microscopy assay', 'Image analysis', 'Cell culture', 'Infection', 'Confocal microscopy', 'Fluorescence imaging', 'Drug screening', 'Data normalization']
