	_id	clean_pred	measurementTechnique	jsim
53	gse168192	RNAseq	Expression profiling by high throughput sequencing	0.0
52	gse77962	Microarray analysis	Expression profiling by array	0.0
50	gse212104	Promoter capture HiC (High-throughput chromosome conformation capture)	Other	0.0
49	gse212104	ChIP (Chromatin immunoprecipitation)	Other	0.0
48	gse212104	Open chromatin analysis	Other	0.0
65	gse170953	DNase-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
66	gse89744	Mutant FoxP3 allele analysis	Expression profiling by array	0.0
67	gse89744	Mutant FoxP3 allele analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
68	gse89744	Transcription factor analysis	Expression profiling by array	0.0
69	gse89744	Transcription factor analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
70	gse89744	Differentiation analysis	Expression profiling by array	0.0
71	gse89744	Differentiation analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
72	gse89744	Accumulation analysis	Expression profiling by array	0.0
73	gse89744	Accumulation analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
75	gse159211	Chromium Single Cell 3ʹ Reagent Kit v3	Expression profiling by high throughput sequencing	0.0
76	gse159211	Pooling mice	Expression profiling by high throughput sequencing	0.0
77	gse159211	Diabetic treatment	Expression profiling by high throughput sequencing	0.0
78	gse96578	RNA-Seq analysis	Expression profiling by high throughput sequencing	0.0
79	gse99566	ATAC-Seq (Assay for Transposase-Accessible Chromatin using sequencing)	Genome binding/occupancy profiling by high throughput sequencing	0.0
80	gse225776	RNA interference (RNAi)	Expression profiling by array	0.0
81	gse225776	DNA microarray analysis	Expression profiling by array	0.0
83	gse225776	Replicates	Expression profiling by array	0.0
47	gse212104	Gene expression analysis	Other	0.0
45	gse202238	Lineage labeling	Expression profiling by high throughput sequencing	0.0
171	gse118402	Hi-C	Genome binding/occupancy profiling by high throughput sequencing	0.0
9	gse53862	RNA-seq	Expression profiling by high throughput sequencing	0.0
15	gse51484	Microarray analysis	Expression profiling by array	0.0
14	gse53862	siRNA silencing	Genome binding/occupancy profiling by high throughput sequencing	0.0
13	gse53862	siRNA silencing	Expression profiling by high throughput sequencing	0.0
12	gse53862	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
11	gse53862	ChIP-seq	Expression profiling by high throughput sequencing	0.0
10	gse53862	RNA-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
8	gse88224	shRNA knockdown	Expression profiling by high throughput sequencing	0.0
44	gse202238	CRISPR/Cas9	Expression profiling by high throughput sequencing	0.0
7	gse88224	RNA-seq	Expression profiling by high throughput sequencing	0.0
6	gse108631	RNA-Seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
5	gse108631	Hi-C	Genome binding/occupancy profiling by high throughput sequencing	0.0
4	gse108631	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
3	gse57323	Data normalization	Expression profiling by RT-PCR	0.0
2	gse57323	Reverse transcription-quantitative PCR (RT-qPCR)	Expression profiling by RT-PCR	0.0
16	gse51484	RNA isolation	Expression profiling by array	0.0
17	gse51484	RNA analysis	Expression profiling by array	0.0
19	gse51484	TriIzol® Reagent	Expression profiling by array	0.0
20	gse51484		Expression profiling by array	0.0
21	gse141878	Whole-genome DNA methylation analysis	Expression profiling by high throughput sequencing	0.0
27	gse141878	RNA-seq	Expression profiling by high throughput sequencing	0.0
28	gse141878	RNA-seq	Methylation profiling by high throughput sequencing	0.0
30	gse160787	pluripotent stem cell culture	Expression profiling by high throughput sequencing	0.0
31	gse160787	chondrogenic differentiation	Expression profiling by high throughput sequencing	0.0
32	gse160787	bioinformatics analysis	Expression profiling by high throughput sequencing	0.0
34	gse41538	Transcript expression analysis	Non-coding RNA profiling by high throughput sequencing	0.0
35	gse41538	Deep-sequencing	Expression profiling by high throughput sequencing	0.0
36	gse41538	Deep-sequencing	Non-coding RNA profiling by high throughput sequencing	0.0
37	gse41538	RNA transfection	Expression profiling by high throughput sequencing	0.0
39	gse41538	RNA collection	Expression profiling by high throughput sequencing	0.0
41	gse55382	CHiP-Seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
43	gse202238	RNAseq	Expression profiling by high throughput sequencing	0.0
84	gse225776	Frataxin silencing	Expression profiling by array	0.0
86	gse173004	DNase-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
87	gse39113	siRNA treatment	Expression profiling by high throughput sequencing	0.0
134	gse94302	Next-generation shRNA screen	Expression profiling by array	0.0
141	gse33163	Chromatin immuno-precipitation (ChIP)	Genome binding/occupancy profiling by high throughput sequencing	0.0
140	gse157461	RNA purification	Expression profiling by high throughput sequencing	0.0
139	gse157461	PolyA RNA isolation	Expression profiling by high throughput sequencing	0.0
138	gse157461	RNA-seq	Expression profiling by high throughput sequencing	0.0
137	gse94302	Illumina HT12 v 4 arrays analysis	Expression profiling by array	0.0
136	gse94302	RNA harvesting	Expression profiling by array	0.0
133	gse51802	Microarray analysis	Genome binding/occupancy profiling by genome tiling array	0.0
89	gse83003	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
132	gse51802	ChIP on Chip analysis	Genome binding/occupancy profiling by genome tiling array	0.0
131	gse51802	Cell survival assay	Genome binding/occupancy profiling by genome tiling array	0.0
130	gse51802	Migration assay	Genome binding/occupancy profiling by genome tiling array	0.0
129	gse51802	Invasion assay	Genome binding/occupancy profiling by genome tiling array	0.0
128	gse51802	Transfection	Genome binding/occupancy profiling by genome tiling array	0.0
127	gse51802	Unfolded protein response	Genome binding/occupancy profiling by genome tiling array	0.0
143	gse92160	eCLIP	Other	0.0
144	gse91709	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
145	gse153099	Gene therapy	Expression profiling by high throughput sequencing	0.0
146	gse153099	Induced pluripotent stem cells (iPSCs)	Expression profiling by high throughput sequencing	0.0
147	gse153099	In vitro modeling	Expression profiling by high throughput sequencing	0.0
148	gse153099	Retinal organoids	Expression profiling by high throughput sequencing	0.0
149	gse153099	Histology	Expression profiling by high throughput sequencing	0.0
152	gse153099	AAV vector delivery	Expression profiling by high throughput sequencing	0.0
153	gse153099	Single cell RNA-sequencing	Expression profiling by high throughput sequencing	0.0
154	gse968	Neutrophil culture	Expression profiling by array	0.0
155	gse968	Transcript abundance analysis	Expression profiling by array	0.0
159	gse86031	Genetic perturbations	Expression profiling by high throughput sequencing	0.0
160	gse86031	CRISPR/Cas9 genome editing	Expression profiling by high throughput sequencing	0.0
163	gse118402	Chromatin immunoprecipitation sequencing (ChIP-seq)	Other	0.0
166	gse118402	RNA sequencing (RNA-seq)	Other	0.0
169	gse118402	Assay for transposase-accessible chromatin using sequencing (ATAC-seq)	Other	0.0
170	gse118402	Hi-C	Expression profiling by high throughput sequencing	0.0
126	gse225785	RNA-seq data analysis	Expression profiling by high throughput sequencing	0.0
123	gse98006	Xenograft models	Genome binding/occupancy profiling by high throughput sequencing	0.0
122	gse98006	Gene expression analysis	Genome binding/occupancy profiling by high throughput sequencing	0.0
105	gse162842	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
90	gse119163	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
91	gse119163	genomic characterization	Genome binding/occupancy profiling by high throughput sequencing	0.0
92	gse119163	high-affinity Fe2+ exporter	Genome binding/occupancy profiling by high throughput sequencing	0.0
93	gse119163	immunoprecipitation	Genome binding/occupancy profiling by high throughput sequencing	0.0
94	gse119163	ectopic copy integration.	Genome binding/occupancy profiling by high throughput sequencing	0.0
95	gse132843	Flow cytometry	Expression profiling by array	0.0
96	gse132843	Mass cytometry	Expression profiling by array	0.0
97	gse132843	single-cell RNA sequencing (scRNAseq)	Expression profiling by array	0.0
98	gse132843	RNA velocity analysis	Expression profiling by array	0.0
99	gse132843	Clonal analysis	Expression profiling by array	0.0
100	gse132843	Chromatin studies	Expression profiling by array	0.0
102	gse154493	Knock-out (KO)	Genome binding/occupancy profiling by high throughput sequencing	0.0
103	gse154493	RNA interference (RNAi)	Genome binding/occupancy profiling by high throughput sequencing	0.0
104	gse154493	Enrichment	Genome binding/occupancy profiling by high throughput sequencing	0.0
106	gse162842	Immunoprecipitation	Genome binding/occupancy profiling by high throughput sequencing	0.0
121	gse98006	Zebrafish embryo culture system	Genome binding/occupancy profiling by high throughput sequencing	0.0
107	gse162842	Western blotting	Genome binding/occupancy profiling by high throughput sequencing	0.0
108	gse162842	RNA Polymerase II transcription assays	Genome binding/occupancy profiling by high throughput sequencing	0.0
109	gse81972	Fixation with paraformaldehyde	Expression profiling by high throughput sequencing	0.0
110	gse81972	Nuclei purification	Expression profiling by high throughput sequencing	0.0
111	gse81972	Lysis	Expression profiling by high throughput sequencing	0.0
112	gse81972	Sonication	Expression profiling by high throughput sequencing	0.0
113	gse81972	RNA pull-down	Expression profiling by high throughput sequencing	0.0
114	gse81972	Antisense DNA biotinylated oligonucleotide probes	Expression profiling by high throughput sequencing	0.0
115	gse81972	Streptavidin-magnetic beads	Expression profiling by high throughput sequencing	0.0
116	gse81972	Hybridization reaction	Expression profiling by high throughput sequencing	0.0
117	gse81972	Magnetic capture	Expression profiling by high throughput sequencing	0.0
118	gse81972	RNA isolation	Expression profiling by high throughput sequencing	0.0
119	gse98006	ChIP-seq	Genome binding/occupancy profiling by high throughput sequencing	0.0
120	gse98006	Chemical genetic screen	Genome binding/occupancy profiling by high throughput sequencing	0.0
339	reframedb_a00386	Optical density measurement	phenotypic	0.0
340	reframedb_a00386	Optical density measurement	cell-based	0.0
341	reframedb_a00213	High-content imaging detection	cell based	0.0
553	reframedb_a00457	High-throughput screening (HTRF Assay)	biochemical	0.0
560	reframedb_a00457	Fluorescence detection using HTRF filter set & protocol	biochemical	0.0
559	reframedb_a00457	Protein binding analysis	biochemical	0.0
558	reframedb_a00457	Plate reader fluorescence detection	biochemical	0.0
557	reframedb_a00457	Assay buffer preparation	biochemical	0.0
556	reframedb_a00457	Labeling with Terbium Chelate and Alexa Fluor 647/488	biochemical	0.0
555	reframedb_a00457	Recombinant protein-protein interaction	biochemical	0.0
552	reframedb_a00482	Plate reader analysis	biochemical	0.0
542	reframedb_a00198	Centrifugation	cell based	0.0
551	reframedb_a00482	High-throughput screening	biochemical	0.0
550	reframedb_a00482	Fluorescence measurement	biochemical	0.0
549	reframedb_a00482	Enzyme activity assay	biochemical	0.0
548	reframedb_a00482	Recombinant protein expression	biochemical	0.0
546	reframedb_a00198	Fluorescent plate reader analysis	cell based	0.0
545	reframedb_a00198	Incubation	cell based	0.0
561	reframedb_a00413	High throughput luciferase interference screening	cell based assay	0.0
563	reframedb_a00413	Dose response screen	cell based assay	0.0
564	reframedb_a00413	Fluorescence measurement	cell based assay	0.0
565	reframedb_a00413	Cryopreservation of cells	cell based assay	0.0
567	reframedb_a00191	High content microscopy assay	cell-based	0.0
569	reframedb_a00191	Image analysis	cell-based	0.0
570	reframedb_a00191	Image analysis	high content imaging	0.0
571	reframedb_a00191	Cell culture	cell-based	0.0
572	reframedb_a00191	Cell culture	high content imaging	0.0
573	reframedb_a00191	Infection	cell-based	0.0
574	reframedb_a00191	Infection	high content imaging	0.0
575	reframedb_a00191	Confocal microscopy	cell-based	0.0
576	reframedb_a00191	Confocal microscopy	high content imaging	0.0
577	reframedb_a00191	Fluorescence imaging	cell-based	0.0
579	reframedb_a00191	Drug screening	cell-based	0.0
580	reframedb_a00191	Drug screening	high content imaging	0.0
581	reframedb_a00191	Data normalization	cell-based	0.0
544	reframedb_a00198	Infection	cell based	0.0
541	reframedb_a00198	Digestion	cell based	0.0
343	reframedb_a00213	Cell-based assay	cell based	0.0
514	reframedb_a00200	ATP measurement	cell based	0.0
520	reframedb_a00209	Cell-based assay	cell based	0.0
519	reframedb_a00200	Detection of luminescent signal intensity	viability	0.0
518	reframedb_a00200	Detection of luminescent signal intensity	cell based	0.0
517	reframedb_a00200	Normalization	viability	0.0
516	reframedb_a00200	Normalization	cell based	0.0
515	reframedb_a00200	ATP measurement	viability	0.0
511	reframedb_a00200	Incubation	viability	0.0
540	reframedb_a00198	Homogenization	cell based	0.0
510	reframedb_a00200	Incubation	cell based	0.0
509	reframedb_a00200	Dispensing	viability	0.0
508	reframedb_a00200	Dispensing	cell based	0.0
507	reframedb_a00200	Dilution	viability	0.0
506	reframedb_a00200	Dilution	cell based	0.0
505	reframedb_a00200	Subculture	viability	0.0
521	reframedb_a00209	Cell-based assay	high-content imaging	0.0
522	reframedb_a00209	High-content imaging detection	cell based	0.0
524	reframedb_a00209	High-throughput screening	cell based	0.0
525	reframedb_a00209	High-throughput screening	high-content imaging	0.0
526	reframedb_a00209	Passaging through neonatal calves	cell based	0.0
527	reframedb_a00209	Passaging through neonatal calves	high-content imaging	0.0
528	reframedb_a00209	FITC-tagged Vicia Villosa lectin staining	cell based	0.0
529	reframedb_a00209	FITC-tagged Vicia Villosa lectin staining	high-content imaging	0.0
530	reframedb_a00209	DAPI nuclear staining	cell based	0.0
531	reframedb_a00209	DAPI nuclear staining	high-content imaging	0.0
532	reframedb_a00209	SpotDetector algorithm	cell based	0.0
533	reframedb_a00209	SpotDetector algorithm	high-content imaging	0.0
534	reframedb_a00209	High-content imaging analysis	cell based	0.0
536	reframedb_a00209	Image acquisition with CX5 Cellomics imager	cell based	0.0
537	reframedb_a00209	Image acquisition with CX5 Cellomics imager	high-content imaging	0.0
538	reframedb_a00198	High-throughput screening	cell based	0.0
539	reframedb_a00198	Flow cytometry	cell based	0.0
582	reframedb_a00191	Data normalization	high content imaging	0.0
583	reframedb_a00508	Cell-based assay	cell based	0.0
584	reframedb_a00508	Luminescence viability assay	cell based	0.0
637	reframedb_a00190	High content screening	cell based	0.0
645	reframedb_a00190	Mitochondrial elongation analysis	cell based	0.0
643	reframedb_a00190	Mitochondrial content analysis	cell based	0.0
642	reframedb_a00190	Image analysis	high content imaging	0.0
641	reframedb_a00190	Image analysis	cell based	0.0
640	reframedb_a00190	Cell-based assay	high content imaging	0.0
639	reframedb_a00190	Cell-based assay	cell based	0.0
636	reframedb_a00197	Data analysis	cell based	0.0
585	reframedb_a00508	Transfection	cell based	0.0
635	reframedb_a00197	Image analysis	cell based	0.0
634	reframedb_a00197	Fluorescence imaging	cell based	0.0
630	reframedb_a00197	Antibody staining	cell based	0.0
629	reframedb_a00197	High throughput screening	cell based	0.0
628	reframedb_a00240	Data analysis	high content	0.0
627	reframedb_a00240	Data analysis	cell based	0.0
646	reframedb_a00190	Mitochondrial elongation analysis	high content imaging	0.0
647	reframedb_a00190	Mitochondrial health analysis	cell based	0.0
648	reframedb_a00190	Mitochondrial health analysis	high content imaging	0.0
649	reframedb_a00190	Mouse primary neuron isolation	cell based	0.0
650	reframedb_a00190	Mouse primary neuron isolation	high content imaging	0.0
655	reframedb_a00443	High-throughput screening	enzyme-based fluorometric assay	0.0
657	reframedb_a00443	Detection of enzyme activity	enzyme-based fluorometric assay	0.0
658	reframedb_a00443	Detection of fluorescence signal	enzyme-based fluorometric assay	0.0
659	reframedb_a00383	High-throughput phenotypic screen	cell based	0.0
661	reframedb_a00383	In vitro screening	cell based	0.0
662	reframedb_a00383	In vitro screening	phenotypic	0.0
663	reframedb_a00383	Dose-response screening	cell based	0.0
664	reframedb_a00383	Dose-response screening	phenotypic	0.0
665	reframedb_a00383	In vitro characterization	cell based	0.0
666	reframedb_a00383	In vitro characterization	phenotypic	0.0
667	reframedb_a00383	In vivo characterization	cell based	0.0
668	reframedb_a00383	In vivo characterization	phenotypic	0.0
626	reframedb_a00240	Staining	high content	0.0
625	reframedb_a00240	Staining	cell based	0.0
624	reframedb_a00240	Fixation	high content	0.0
604	reframedb_a00647	bead coupling	ligand binding	0.0
586	reframedb_a00508	Luciferase assay	cell based	0.0
587	reframedb_a00508	High-throughput screening	cell based	0.0
588	reframedb_a00508	Incubation	cell based	0.0
591	reframedb_a00225	Drug screening	cell based	0.0
592	reframedb_a00225	Drug screening	viability	0.0
593	reframedb_a00225	Luminescence detection	cell based	0.0
594	reframedb_a00225	Luminescence detection	viability	0.0
596	reframedb_a00225	Cell seeding	viability	0.0
598	reframedb_a00225	Cell lysis	viability	0.0
599	reframedb_a00225	Plate reading	cell based	0.0
600	reframedb_a00225	Plate reading	viability	0.0
601	reframedb_a00647	Flow cytometry	biochemical	0.0
602	reframedb_a00647	Flow cytometry	ligand binding	0.0
603	reframedb_a00647	bead coupling	biochemical	0.0
605	reframedb_a00647	fluorescence intensity measurement	biochemical	0.0
623	reframedb_a00240	Fixation	cell based	0.0
606	reframedb_a00647	fluorescence intensity measurement	ligand binding	0.0
607	reframedb_a00647	high-throughput screening.	biochemical	0.0
608	reframedb_a00647	high-throughput screening.	ligand binding	0.0
609	reframedb_a00240	High-content screening	cell based	0.0
610	reframedb_a00240	High-content screening	high content	0.0
612	reframedb_a00240	Cell culture	high content	0.0
614	reframedb_a00240	Infection assay	high content	0.0
615	reframedb_a00240	Fluorescence microscopy	cell based	0.0
616	reframedb_a00240	Fluorescence microscopy	high content	0.0
617	reframedb_a00240	Image analysis	cell based	0.0
618	reframedb_a00240	Image analysis	high content	0.0
619	reframedb_a00240	Automated liquid handling	cell based	0.0
620	reframedb_a00240	Automated liquid handling	high content	0.0
622	reframedb_a00240	Cell counting	high content	0.0
504	reframedb_a00200	Subculture	cell based	0.0
503	reframedb_a00200	Acoustic transfer	viability	0.0
502	reframedb_a00200	Acoustic transfer	cell based	0.0
389	reframedb_a00394	GFP reporter assay	cell based	0.0
398	reframedb_a00338	Cell culture	viability	0.0
396	reframedb_a00338	Acoustic transfer via Echo	viability	0.0
395	reframedb_a00338	Acoustic transfer via Echo	cell based	0.0
393	reframedb_a00394	Photometric measurement	cell based	0.0
392	reframedb_a00394	Cell viability assay	photometric measurement	0.0
390	reframedb_a00394	GFP reporter assay	photometric measurement	0.0
388	reframedb_a00394	MTT assay	photometric measurement	0.0
423	reframedb_a00462	High-throughput screening	cell based	0.0
387	reframedb_a00394	MTT assay	cell based	0.0
386	reframedb_a00394	Cell-based assay	photometric measurement	0.0
385	reframedb_a00394	Cell-based assay	cell based	0.0
384	reframedb_a00394	High throughput screening (HTS)	photometric measurement	0.0
383	reframedb_a00394	High throughput screening (HTS)	cell based	0.0
382	reframedb_a00642	Fluorescence measurement	ligand binding	0.0
401	reframedb_a00338	Luminescent signal intensity detection	cell based	0.0
402	reframedb_a00338	Luminescent signal intensity detection	viability	0.0
403	reframedb_a00338	BacTiter-Glo assay	cell based	0.0
404	reframedb_a00338	BacTiter-Glo assay	viability	0.0
405	reframedb_a00496	High throughput screening	cell based	0.0
406	reframedb_a00496	Human pluripotent stem cell-derived colonic organoids	cell based	0.0
407	reframedb_a00496	Small molecule identification	cell based	0.0
408	reframedb_a00496	Luciferase assay	cell based	0.0
410	reframedb_a00496	Luminescence detection	cell based	0.0
411	reframedb_a00442	High-throughput screening	the assay is phenotype-based (in particular	0.0
412	reframedb_a00442	High-throughput screening	formation of mammospheres)	0.0
413	reframedb_a00442	Fluorescence imaging	the assay is phenotype-based (in particular	0.0
414	reframedb_a00442	Fluorescence imaging	formation of mammospheres)	0.0
418	reframedb_a00442	Automated assay	formation of mammospheres)	0.0
419	reframedb_a00442	Imaging cytometer	the assay is phenotype-based (in particular	0.0
420	reframedb_a00442	Imaging cytometer	formation of mammospheres)	0.0
421	reframedb_a00442	Binary output analysis	the assay is phenotype-based (in particular	0.0
381	reframedb_a00642	Fluorescence measurement	biochemical	0.0
380	reframedb_a00642	Data parsing	ligand binding	0.0
379	reframedb_a00642	Data parsing	biochemical	0.0
360	reframedb_a00171	Incubation	cell viability	0.0
344	reframedb_a00213	Cell-based assay	high-content imaging	0.0
345	reframedb_a00213	High-throughput screening	cell based	0.0
346	reframedb_a00213	High-throughput screening	high-content imaging	0.0
347	reframedb_a00213	Fluorescence microscopy	cell based	0.0
348	reframedb_a00213	Fluorescence microscopy	high-content imaging	0.0
349	reframedb_a00213	Staining procedure validation	cell based	0.0
350	reframedb_a00213	Staining procedure validation	high-content imaging	0.0
351	reframedb_a00171	Assay design	cell based	0.0
352	reframedb_a00171	Assay design	cell viability	0.0
355	reframedb_a00171	Plaque assay	cell based	0.0
356	reframedb_a00171	Plaque assay	cell viability	0.0
357	reframedb_a00171	Compound pre-spotted	cell based	0.0
358	reframedb_a00171	Compound pre-spotted	cell viability	0.0
359	reframedb_a00171	Incubation	cell based	0.0
361	reframedb_a00171	Luminescence reading	cell based	0.0
378	reframedb_a00642	Data acquisition	ligand binding	0.0
362	reframedb_a00171	Luminescence reading	cell viability	0.0
363	reframedb_a00171	Detection of ATP	cell based	0.0
364	reframedb_a00171	Detection of ATP	cell viability	0.0
367	reframedb_a00642	Microsphere-based screen	biochemical	0.0
368	reframedb_a00642	Microsphere-based screen	ligand binding	0.0
369	reframedb_a00642	Flow cytometry	biochemical	0.0
370	reframedb_a00642	Flow cytometry	ligand binding	0.0
371	reframedb_a00642	High-throughput flow cytometry	biochemical	0.0
372	reframedb_a00642	High-throughput flow cytometry	ligand binding	0.0
373	reframedb_a00642	Screening assay	biochemical	0.0
374	reframedb_a00642	Screening assay	ligand binding	0.0
375	reframedb_a00642	Bead coupling	biochemical	0.0
376	reframedb_a00642	Bead coupling	ligand binding	0.0
377	reframedb_a00642	Data acquisition	biochemical	0.0
422	reframedb_a00442	Binary output analysis	formation of mammospheres)	0.0
424	reframedb_a00462	Fluorescence read-out	cell based	0.0
501	reframedb_a00200	Antibiotic potentiator assay	viability	0.0
474	reframedb_a00095	Luminescence measurement	viability	0.0
481	reframedb_a00272	Microscopy imaging	cell based	0.0
480	reframedb_a00272	Kinetic assay	phenotypic	0.0
479	reframedb_a00272	Kinetic assay	cell based	0.0
478	reframedb_a00272	The techniques used to generate the dataset are:	phenotypic	0.0
477	reframedb_a00272	The techniques used to generate the dataset are:	cell based	0.0
475	reframedb_a00095	Viability assay	cell-based	0.0
473	reframedb_a00095	Luminescence measurement	cell-based	0.0
425	reframedb_a00462	High-content imaging	cell based	0.0
472	reframedb_a00095	High-throughput screening	viability	0.0
471	reframedb_a00095	High-throughput screening	cell-based	0.0
470	reframedb_a00095	Growth inhibition assay	viability	0.0
469	reframedb_a00095	Growth inhibition assay	cell-based	0.0
468	reframedb_a00507	Drug concentration	phenotypic	0.0
467	reframedb_a00507	Drug concentration	cell based	0.0
482	reframedb_a00272	Microscopy imaging	phenotypic	0.0
483	reframedb_a00272	Image analysis software	cell based	0.0
484	reframedb_a00272	Image analysis software	phenotypic	0.0
485	reframedb_a00489	Luminescence assay	cell based	0.0
486	reframedb_a00489	Luciferase assay	cell based	0.0
487	reframedb_a00489	Pseudotyped viral system	cell based	0.0
488	reframedb_a00489	High-throughput screening	cell based	0.0
489	reframedb_a00489	Reporter gene assay	cell based	0.0
491	reframedb_a00489	Transfection	cell based	0.0
492	reframedb_a00640	Microsphere-based screen	biochemical	0.0
493	reframedb_a00640	Microsphere-based screen	ligand binding	0.0
494	reframedb_a00640	Flow cytometry	biochemical	0.0
495	reframedb_a00640	Flow cytometry	ligand binding	0.0
496	reframedb_a00640	High-throughput flow cytometry platform	biochemical	0.0
497	reframedb_a00640	High-throughput flow cytometry platform	ligand binding	0.0
498	reframedb_a00200	Viability assay	cell based	0.0
500	reframedb_a00200	Antibiotic potentiator assay	cell based	0.0
466	reframedb_a00507	Negative control	phenotypic	0.0
465	reframedb_a00507	Negative control	cell based	0.0
464	reframedb_a00507	Positive control	phenotypic	0.0
447	reframedb_a00507	Growth inhibition calculation	cell based	0.0
427	reframedb_a00462	Virus inoculation	cell based	0.0
428	reframedb_a00462	Antiviral assay	cell based	0.0
429	reframedb_a00541	Cell viability assay	cell-based	0.0
431	reframedb_a00541	Luminescence readout	cell-based	0.0
432	reframedb_a00541	Luminescence readout	viability assay	0.0
433	reframedb_a00541	High-content imaging assay	cell-based	0.0
435	reframedb_a00541	Screening assay	cell-based	0.0
437	reframedb_a00541	Counterscreening assay	cell-based	0.0
439	reframedb_a00507	In vitro high-throughput phenotypic screen	cell based	0.0
442	reframedb_a00507	Cell culture	phenotypic	0.0
443	reframedb_a00507	Incubation	cell based	0.0
444	reframedb_a00507	Incubation	phenotypic	0.0
445	reframedb_a00507	Shake incubation	cell based	0.0
446	reframedb_a00507	Shake incubation	phenotypic	0.0
448	reframedb_a00507	Growth inhibition calculation	phenotypic	0.0
463	reframedb_a00507	Positive control	cell based	0.0
449	reframedb_a00507	Dose-response screen	cell based	0.0
450	reframedb_a00507	Dose-response screen	phenotypic	0.0
451	reframedb_a00507	In vitro characterization	cell based	0.0
452	reframedb_a00507	In vitro characterization	phenotypic	0.0
453	reframedb_a00507	In vivo characterization	cell based	0.0
454	reframedb_a00507	In vivo characterization	phenotypic	0.0
455	reframedb_a00507	Target deconvolution	cell based	0.0
456	reframedb_a00507	Target deconvolution	phenotypic	0.0
457	reframedb_a00507	Efficacy determination	cell based	0.0
458	reframedb_a00507	Efficacy determination	phenotypic	0.0
459	reframedb_a00507	Absorbance measurement	cell based	0.0
460	reframedb_a00507	Absorbance measurement	phenotypic	0.0
461	reframedb_a00507	Normalization	cell based	0.0
462	reframedb_a00507	Normalization	phenotypic	0.0
613	reframedb_a00240	Infection assay	cell based	0.0
