	Class ID	Preferred Label	Synonyms	Definitions	Obsolete	Semantic Types	Parents
179304	C16340	Biomedical Ethics	Biomedical Ethics|Bioethics	The branch of ethics that studies moral values in the biomedical sciences.	False		C39796
179306	C16347	Biostatistics	Biometry and Biostatistics|Biometry and Statistics|biostatistics|Biostatistics|Biometrics|Biometry|biometrics|biometry	The application of statistical methods to biological studies.	False		C17167
179866	C142636	Pharmacoeconomics	Pharmacoeconomics|pharmacoeconomics	A scientific discipline, and subdivision of Health Economics, that compares one pharmaceutical product or treatment to another with respect to various cost comparison measures.	False		C16527
180421	C18231	Communication Methods	Communication Methods		False		C19367
180455	C19366	Infection Control Nursing	Infectious Disease / Infection Control Nursing|Infection Control Nursing	A nursing specialty devoted to control and elimination of nosocomial infection risk in a clinical setting.  They do this through risk assessment, risk management, and staff education.	False		C20868
180879	C16902	Nephrology	Nephrology	A branch of medicine concerned with the development, anatomy, function, and dysfunction of the kidney.	False		C16749
180885	C16908	Neurology	Neurology	A branch of medicine concerned with the development, anatomy, function, and dysfunction of the nervous system.	False		C17153
181099	C18937	Pharmacology-Drug Structure	Pharmacology-Drug Structure	The relation of a drug structure to its activity.	False		C20634
181100	C18934	Pesticide Toxicology	Pesticide Toxicology	The toxicology of pesticides	False		C17206
181413	C16497	Dentistry	Dentistry	A clinical specialty responsible for the maintenance of teeth and the oral cavity, and for the medical management of any diseases or disorders associated with these tissues.	False		C17153
183181	C201963	Developmental and Behavioral Pediatrics	Developmental and Behavioral Pediatrics|Developmental Behavior Specialty	A subspecialty of pediatrics concerned with the prevention, diagnosis, and management of developmental difficulties and problematic behaviors in children, and in family dysfunctions that compromise a child's development.	False		C16962
183864	C19164	Experimental Pathology	Experimental Pathology	Experimental pathology; the study of disease processes by the manipulation of the natural state of an organism.	False		C18189
183868	C19165	Cancer Histology	Cancer Histology		False		C18666
183962	C18700	Clinical Endocrinology	Clinical Endocrinology	The clinical specialty of endocrinology that focuses on the endocrine organs and their role in physiology and pathology.	False		C16543
