"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Aspergillus wentii</i> DTO 134E9 Genome Sequence and Annotation","2016-12-08","Apollo","Ronald P. de Vries","Westerdijk Fungal Biodiversity Institute","FungiDB rel. 66, 2023-NOV-28","33","Genomes","awenDTO134E9_primary_genome_RSRC","DS_792274fe95","<i>Aspergillus wentii</i> DTO 134E9<br>","28196534","N/A","Ronald P. de Vries","Genome sequence and annotation for <i>Aspergillus wentii</i> DTO 134E9","genome","12659"
"Global transcriptional response to various environmental stresses, alone and in combinations","2015-08-03","Apollo","Alistair J. P. Brown","University of Aberdeen","FungiDB rel. 60, 2022-NOV-09","60","RNASeq","calbSC5314_Brown_Calbicans_2015_ebi_rnaSeq_RSRC","DS_79549674a3","<i>Candida albicans</i> SC5314<br>","N/A","N/A","Brown et al. 2015","Global transcriptional response of Candida albicans to various environmental stresses, alone and in combinations.","transcript_expression","N/A"
"<i>Histoplasma capsulatum</i> G184AR Genome Sequence and Annotation","2021-03-29","N/A","Anita Sil","Department of Microbiology and Immunology, University of California, USA","FungiDB rel. 60, 2022-NOV-09","60","Genomes","hcapG184AR_primary_genome_RSRC","DS_79fd5caa74","<i>Histoplasma capsulatum</i> G184AR<br>","35089059","N/A","Anita Sil","Genome Sequence and Annotation of <i>Histoplasma capsulatum</i> G184AR","genome","12723"
"<i>Aphanomyces euteiches</i> MF1 Genome Sequence and Annotation","2022-01-19","Apollo","Andrei Kiselev","Laboratoire de Recherche en Sciences Végétales (LRSV), Université de Toulouse, CNRS, UPS, Toulouse INP, 31320 Toulouse, France","FungiDB rel. 63, 2023-MAY-03","63","Genomes","aeutMF1_primary_genome_RSRC","DS_7a040983d7","<i>Aphanomyces euteiches</i> MF1<br>","35050028","N/A","Andrei Kiselev","Genome Sequence and Annotation of <i>Aphanomyces euteiches</i> MF1","genome","21894"
"<i>Colletotrichum higginsianum</i> IMI 349063 Genome Sequence and Annotation","2016-06-21","Apollo","Ken Shirasu","RIKEN Center for Sustainable Resource Science Plant Immunity Research Group","FungiDB rel. 64, 2023-JUL-12","64","Genomes","chigIMI349063_primary_genome_RSRC","DS_7a35b404c6","<i>Colletotrichum higginsianum</i> IMI 349063<br>","22885923, 31028389","N/A","Ken Shirasu","Genome Sequence and Annotation of <i>Colletotrichum higginsianum</i> IMI 349063","genome","14651"
"<i>Amauroascus mutatus</i> isolate UAMH 3576 Genome Sequence","2015-11-03","N/A","Emily Whiston","University of California, Berkeley","FungiDB rel. 51, 2021-MAR-16","43","Genomes","amutUAMH3576_primary_genome_RSRC","DS_7aa9de4305","<i>Amauroascus mutatus</i> isolate UAMH 3576<br>","26613950","N/A","Emily Whiston","Genome sequence for <i>Amauroascus mutatus</i> isolate UAMH 3576.","genome","N/A"
"<i>Kwoniella bestiolae</i> CBS 10118 Genome Sequence and Annotation","2016-07-20","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","42","Genomes","kbesCBS10118_primary_genome_RSRC","DS_7acdb4b9a1","<i>Kwoniella bestiolae</i> CBS 10118<br>","N/A","N/A","Christina Cuomo","Genome sequence and annotation for <i>Kwoniella bestiolae</i> CBS 10118.","genome","9270"
"Gene expression during conidia germination in Neurospora crassa on different media","2017-07-13","Apollo","Jeffrey Townsend","School of Public Health, Yale University","FungiDB rel. 63, 2023-MAY-03","63","RNASeq","ncraOR74A_Wang_NC_2019_ebi_rnaSeq_RSRC","DS_7b3238ce05","<i>Neurospora crassa</i> OR74A<br>","N/A","N/A","Wang et al. 2019","mRNA were sampled and compared from four time points across conidia germination in <i>Neurospora crassa</i> on different media.","transcript_expression","N/A"
"Transcriptomics of banana pathogen Fusarium odoratissimum strain race 4","2015-07-22","Apollo","Lijia Guo","Key Laboratory of Monitoring and Control of Tropical Agricultural and Forest Invasive Alien Pests, Ministry of Agriculture, Environment and Plant Protection Institute, Chinese Academy of Tropical Agricultural Sciences","FungiDB rel. 42, 2019-MAR-07","42","RNASeq","foxyrace4_Guo_Macumina_infection_ebi_rnaSeq_RSRC","DS_7c543bb3d8","<i>Fusarium odoratissimum</i> strain race 4<br>","24743270","N/A","Guo et al. 2014","Strand specific RNA-Seq analysis of <i>Fusarium odoratissimum</i> strain race 4 infecting <i>Musa acuminata</i> at 0h and 48h.","transcript_expression","N/A"
"Gene expression variation in response to biologically relevant stresses","2020-01-06","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","51","RNASeq","cneoH99_Yu_Temp_Stress_ebi_rnaSeq_RSRC","DS_7ce8a791f1","<i>Cryptococcus neoformans</i> var. grubii H99<br>","31860441","N/A","Yu et al. 2020","Global transcriptomic changes in the pathogen <i>Crypococcus neoformans</i> occurring in response to host temperature stress.","transcript_expression","N/A"
"Global translational landscape of the Candida albicans morphological transition","2021-02-09","Apollo","David Kadosh","Department of Microbiology, Immunology and Molecular Genetics, University of Texas Health Science Center at San Antonio","FungiDB rel. 60, 2022-NOV-09","60","RNASeq","calbSC5314_Mundodi_2020_Calb_RNA_ebi_rnaSeq_RSRC","DS_7da7acc835","<i>Candida albicans</i> SC5314<br>","33585865","N/A","Mundodi et al. 2020","Global translational landscape during morphological transition","transcript_expression","N/A"
"<i>Globisporangium iwayamae</i> DAOM BR242034 Genome Sequence and Annotation","2013-08-09","Apollo","C. Robin Buell","Department of Plant Biology, Michigan State University, East Lansing, Michigan, USA","FungiDB rel. 51, 2021-MAR-16","23","Genomes","piwaDAOMBR242034_primary_genome_RSRC","DS_7df9f499e2","<i>Globisporangium iwayamae</i> DAOM BR242034<br>","24124466","N/A","C. Robin Buell","Genome sequence and annotation for <i>Globisporangium iwayamai</i> DAOM BR242034.","genome","14874"
"<i>Phytopythium vexans</i> DAOM BR484 Genome Sequence and Annotation","2016-03-02","Apollo","C. Robin Buell","Department of Plant Biology, Michigan State University, East Lansing, Michigan, USA","FungiDB rel. 51, 2021-MAR-16","23","Genomes","pvexDAOMBR484_primary_genome_RSRC","DS_7e6216301c","<i>Phytopythium vexans</i> DAOM BR484<br>","24124466","N/A","C. Robin Buell","Genome sequence and annotation for  <i>Phytopythium vexans</i> DAOM BR484.","genome","11991"
"SNP calls on WGS of Neurospora discreta crosses","2020-03-31","Apollo","Kwangwon Lee","Department of Biology, Rutgers, The State University of New Jersey","FungiDB rel. 62, 2023-MAR-09","62","Genetic variation","ndisFGSC8579_HTS_SNP_Ndiscreta_cross_PRJNA594422_RSRC","DS_7e69303d47","<i>Neurospora discreta</i> FGSC 8579<br>","32017762","N/A","Waters et al. 2020","Genotyping-By-Sequencing for identifying SNPs in Neurospora species.","isolates","N/A"
"<i>Neurospora discreta</i> FGSC 8579 Genome Sequence and Annotation","1","Apollo","John Taylor","University of California, Berkeley","FungiDB rel. 2.3, 2013-SEP-25","19","Genomes","ndisFGSC8579_primary_genome_RSRC","DS_7e98caf398","<i>Neurospora discreta</i> FGSC 8579<br>","N/A","N/A","John Taylor","Genome sequence and annotation for <i>Neurospora discreta</i> FGSC 8579.","genome","10345"
"Transcriptional responses to macrophage phagocytosis","2021-12-21","Apollo","Michael C. Lorenz","Department of Microbiology & Molecular Genetics, University of Texas Health Science Center at Houston","FungiDB rel. 63, 2023-MAY-03","63","RNASeq","leloNRRLYB-4239_Lelongisporus_Pountain_2021_ebi_rnaSeq_RSRC","DS_7f53f25f26","<i>Lodderomyces elongisporus</i> NRRL YB-4239<br>","34903044","N/A","Pountain et al. 2021","Transcriptional responses to macrophage phagocytosis by Lodderomyces elongisporus","transcript_expression","N/A"
"<i>Fusarium oxysporum</i> Fo47 Genome Sequence and Annotation","2014-08-11","N/A","Li-Jun Ma","Department of Biochemistry and Molecular Biology, University of Massachusetts Amherst, Amherst, MA 01003","FungiDB rel. 51, 2021-MAR-16","36","Genomes","foxyFo47_primary_genome_RSRC","DS_7f555aad50","<i>Fusarium oxysporum</i> Fo47<br>","N/A","N/A","Li-Jun Ma","<i>Fusarium oxysporum</i> Fo47 Genome Sequence and Annotation","genome","18556"
"Examination of the Calcineurin-Crz1 stress response network","2017-04-04","Apollo","Joe Heitman","Department of Molecular Genetics and Microbiology, Duke University Medical Center, Durham, North Carolina, USA","FungiDB rel. 64, 2023-JUL-12","64","RNASeq","cneoH99_Chow_Cneo_2017_ebi_rnaSeq_RSRC","DS_7f5e5653d5","<i>Cryptococcus neoformans</i> var. grubii H99<br>","28376087","N/A","Chow et al. 2017","mRNA expression profiles of Cryptococcus neoformans of WT, cna1Δ, crz1Δ, and knockout-complemented strains in the H99 background, grown at 24C and 37C (temperature stress).","transcript_expression","N/A"
"<i>Pneumocystis wakefieldiae</i> 2A Genome Sequence and Annotation","2021-03-09","Apollo","Joseph A. Kovacs","NIH Clinical Center, Bethesda, MD USA","FungiDB rel. 56, 2022-FEB-15","56","Genomes","pwak2A_primary_genome_RSRC","DS_8037a33828","<i>Pneumocystis wakefieldiae</i> 2A<br>","33686174","N/A","Joseph A. Kovacs","Genome Sequence and Annotation of <i>Pneumocystis wakefieldiae</i> 2A","genome","3223"
"<i>Pseudocercospora fijiensis</i> CIRAD86 Genome Sequence and Annotation","2015-03-19","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 68, 2024-MAY-07","68","Genomes","pfijCIRAD86_primary_genome_RSRC","DS_8116a8b3fd","<i>Pseudocercospora fijiensis</i> CIRAD86<br>","23236275","N/A","Igor V. Grigoriev","Genome Sequence and Annotation of <i>Pseudocercospora fijiensis</i> CIRAD86","genome","13131"
"<i>Phytophthora plurivora</i> AV1007 Genome Sequence","2017-08-11","N/A","Vetukuri Ramesh","Department of Plant Protection Biology, Swedish University of Agricultural Sciences, Alnarp, Sweden","FungiDB rel. 51, 2021-MAR-16","42","Genomes","ppluAV1007_primary_genome_RSRC","DS_812930c840","<i>Phytophthora plurivora</i> AV1007<br>","30060094","N/A","Vetukuri Ramesh","Genome sequence for <i>Phytopthora plurivora</i> AV1007","genome","N/A"
"The Database of Expressed Sequence Tags (dbEST)","N/A","Apollo","GenBank","NCBI","FungiDB rel. 1.0, 01-JAN-05","0","N/A","_GenbankEST_RSRC$","DS_815bd9f4dd","<i>Aspergillus ellipticus</i> CBS 707.79<br><i>Aspergillus flavus</i> NRRL3357<br><i>Aspergillus homomorphus</i> CBS 101889<br><i>Aspergillus ibericus</i> CBS 121593<br><i>Aspergillus sclerotiicarbonarius</i> CBS 121057<br><i>Blumeria hordei</i> strain RACE1<br><i>Chaetothyriales sp.</i> CBS 132003<br><i>Colletotrichum higginsianum</i> IMI 349063<br><i>Curvularia clavata</i> yc1106<br><i>Fonsecaea multimorphosa</i> CBS 102226<br><i>Fusarium fujikuroi</i> IMI 58289<br><i>Fusarium vanettenii</i> 77-13-4<br><i>Globisporangium ultimum</i> DAOM BR144<br><i>Histoplasma capsulatum</i> G217B<br><i>Lentinus tigrinus</i> ALCF2SS1-7<br><i>Madurella mycetomatis</i> mm55<br><i>Malassezia pachydermatis</i> CBS 1879<br><i>Mucor lusitanicus</i> CBS 277.49<br><i>Nannizzia gypsea</i> CBS 118893<br><i>Paecilomyces variotii</i> CBS 101075<br><i>Penicillium digitatum</i> Pd1<br><i>Penicillium expansum</i> d1<br><i>Phialophora attinorum</i> CBS 131958<br><i>Phycomyces blakesleeanus</i> NRRL 1555(-)<br><i>Phytophthora cactorum</i> 10300<br><i>Phytophthora cinnamomi</i> GKB4<br><i>Phytophthora infestans</i> T30-4<br><i>Phytophthora sojae</i> strain P6497<br><i>Plenodomus lingam</i> JN3<br><i>Pneumocystis murina</i> B123<br><i>Podosphaera aphanis</i> DRCT72020<br><i>Pseudocercospora fijiensis</i> CIRAD86<br><i>Pyricularia pennisetigena</i> Br36<br><i>Pyronema omphalodes</i> CBS 100304<br><i>Schizophyllum commune</i> H4-8<br><i>Sordaria macrospora</i> k-hell<br><i>Trichophyton equinum</i> CBS 127.97<br><i>Trichophyton rubrum</i> CBS 118892<br><i>Xylaria arbuscula</i> CBS 124340<br>","N/A","N/A","GenBank","ESTs from dbEST.","EST","N/A"
"Aspergillus fumigatus transcription factor KO collection","2020-05-05","N/A","Norman van Rhijn","Manchester Fungal Infection Group, The University of Manchester, UK","FungiDB rel. 48, 2020-AUG-27","48","Phenotype","afumA1163_TF_KO_Image_NAFeaturePhenotypeImage_RSRC","DS_81bfcfedb6","<i>Aspergillus fumigatus</i> A1163<br>","31969561","N/A","van Rhijn et al., 2020","Part of COFUN the Aspergillus fumigatus gene-wide knock out collection.","phenotype","N/A"
"Population genomics transcriptomes","2010-12-10_gus4","Apollo","John Taylor","University of California, Berkeley","FungiDB rel. 3.0, 2014-MAY-08","21","RNASeq","ncraOR74A_Ellison_PopulationGenomics_ebi_rnaSeq_RSRC","DS_81f4e87069","<i>Neurospora crassa</i> OR74A<br>","21282627","N/A","Ellison et al. 2011","Whole-transcriptome sequencing of 48 wild isolates to identify single nucleotide polymorphisms","transcript_expression","N/A"
"<i>Blumeria graminis</i> f. sp. triticale THUN-12 Genome Sequence and Annotation","2021-06-14","N/A","University of Zurich, Switzerland","N/A","FungiDB rel. 66, 2023-NOV-28","62","Genomes","bgrasp.triticaleTHUN12_primary_genome_RSRC","DS_822f80a1d2","<i>Blumeria graminis</i> f. sp. triticale THUN-12<br>","30388298","N/A","University of Zurich, Switzerland","Genome Sequence and Annotation of <i>Blumeria graminis</i> f. sp. triticale THUN-12","genome","7993"
"<i>Rhizophagus irregularis</i> C2 Genome Sequence and Annotation","2021-12-07","N/A","Nicolas Corradi","University of Ottawa","FungiDB rel. 59, 2022-AUG-30","59","Genomes","rirrC2_primary_genome_RSRC","DS_82669379aa","<i>Rhizophagus irregularis</i> C2<br>","34747029","N/A","Nicolas Corradi","Genome Sequence and Annotation of <i>Rhizophagus irregularis</i> C2","genome","25634"
"Genome-wide binding profiles of C-terminally S-tagged NctA protein","2020-01-22","Apollo","Michael Bromley","Manchester Fungal Infection Group, The University of Manchester, UK","FungiDB rel. 48, 2020-AUG-27","48","CHIP Seq","afumAf293_Furukawa_Binding_NctA_chipSeq_RSRC","DS_827c906ace","<i>Aspergillus fumigatus</i> Af293<br>","31969561","N/A","Furukawa et al. 2020","Genome-wide binding profiles of NctA protein in the absence and the presence of itraconazole.","transcript_expression","N/A"
"In vitro infections of mouse BMDMs with Rhizopus delemar","2018-08-20","Apollo","Georgios Chamilos","Department of Medicine, University of Crete, Foundation for Research and Technology","FungiDB rel. 65, 2023-SEP-14","65","RNASeq","rdelRA99-880_Andrianaki_2018_mmusC57BL6J_ebi_rnaSeq_RSRC","DS_82931086e2","<i>Rhizopus delemar</i> RA 99-880<br>","30127354","N/A","Andrianaki et al. 2018","Mouse bone-marrow derived macrophages (BMDMs) were infected the pathogenic mold, <i>Rhizopus delemar</i>, for 1, 4 or 18 hours and then subject to RNA-seq analysis to determine the transcriptional response of both the fungus and the host to infection.","transcript_expression","N/A"
"SNP calls on WGS of Botrytis cinerea isolates","2019-04-02","Apollo","Daniel J. Kliebenstein","Department of Plant Sciences, University of California","FungiDB rel. 60, 2022-NOV-09","60","Genetic variation","bcinB05-10_HTS_SNP_Atwell_2018_Botrytis_PRJNA525902_RSRC","DS_8360a983e6","<i>Botrytis cinerea</i> B05.10<br>","N/A","N/A","Atwell et al. 2018","SNP calls on WGS of field isolates of <i>Botrytis cinerea</i>, largely collected from a local set of plant species.","isolates","N/A"
"<i>Emergomyces pasteurianus</i> Ep9510 Genome Sequence and Annotation","2016-11-18","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 55, 2021-DEC-02","55","Genomes","epasEp9510_primary_genome_RSRC","DS_84d147e42f","<i>Emergomyces pasteurianus</i> Ep9510<br>","28176377","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Emergomyces pasteurianus</i> Ep9510","genome","9078"
"<i>Colletotrichum graminicola</i> M1.001 Genome Sequence and Annotation","2016-07-24","Apollo","Richard J OConnell","Max Planck Institute for Plant Breeding Research, Cologne, Germany","FungiDB rel. 52, 2021-MAY-20","52","Genomes","cgraM1-001_primary_genome_RSRC","DS_850d056486","<i>Colletotrichum graminicola</i> M1.001<br>","22885923","N/A","Richard J OConnell","Genome Sequence and Annotation of <i>Colletotrichum graminicola</i> M1.001","genome","12400"
"Fresh whole blood infected with Candida auris","2022-12-13","Apollo","Bernhard Hube","Department of Microbial Pathogenicity Mechanisms, Leibniz Institute for Natural Product Research and Infection Biology, Hans-Knoell-Institute","FungiDB rel. 65, 2023-SEP-14","65","RNASeq","caurB8441_Allert_Cauris_2022_ebi_rnaSeq_RSRC","DS_851a76046c","<i>Candida auris</i> strain B8441<br>","35142597","N/A","Allert et al. 2022","Candida transcriptome was studied using ex vivo whole blood infection model.","transcript_expression","N/A"
"<i>Coprinopsis cinerea</i> #326 Genome Sequence and Annotation","2021-01-25","N/A","Hoi Shan Kwan","School of Life Sciences, The Chinese University of Hong Kong","FungiDB rel. 55, 2021-DEC-02","55","Genomes","ccin326_primary_genome_RSRC","DS_856ead0bd3","<i>Coprinopsis cinerea</i> #326<br>","26510163, 30902897, 33253902","N/A","Hoi Shan Kwan","Genome Sequence and Annotation of <i>Coprinopsis cinerea</i> #326","genome","15250"
"<i>Fusarium odoratissimum</i> strain race 4 Genome Sequence and Annotation","2015-03-21","Apollo","Junsheng Huang","Key Laboratory of Monitoring and Control of Tropical Agricultural and Forest Invasive Alien Pests, Ministry of Agriculture, Environment and Plant Protection Institute, Chinese Academy of Tropical Agricultural Sciences","FungiDB rel. 51, 2021-MAR-16","38","Genomes","foxyrace4_primary_genome_RSRC","DS_8671b6f798","<i>Fusarium odoratissimum</i> strain race 4<br>","24743270","N/A","Junsheng Huang","<i>Fusarium odoratissimum</i> strain race 4 Genome Sequence and Annotation","genome","14596"
"Conidial surface-associated proteome","2023-08-22","Apollo","Gustavo H. Goldman","Departamento de Ciências Farmacêuticas, Universidade de São Paulo","FungiDB rel. 68, 2024-MAY-07","68","Protein expression","alenIFM54703_massSpec_Conidial_Surface_Associated_RSRC","DS_86881a3912","<i>Aspergillus lentulus</i> strain IFM 54703<br>","37662192","N/A","Valero et a l. 2023","Surface proteome of germinating <i>A. lentulus</i> conidia.","protein_expression","N/A"
"RNAP II ChIP-seq data","2021-08-06","Apollo","Koon Ho Wong","MoE Frontiers Science Center for Precision Oncology, University of Macau","FungiDB rel. 57, 2022-APR-21","57","CHIP Seq","tmarATCC18224_PolIIChip_conidia_Wang_chipSeq_RSRC","DS_87b5c26e2a","<i>Talaromyces marneffei</i> ATCC 18224<br>","34183813","N/A","Wang et al. 2021","RNAP II ChIP-Seq in Talaromyces marneffei","transcript_expression","N/A"
"<i>Saprolegnia parasitica</i> CBS 223.65 Genome Sequence and Annotation","2015-03-23","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","21","Genomes","sparCBS223-65_primary_genome_RSRC","DS_8881bf4d42","<i>Saprolegnia parasitica</i> CBS 223.65<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Saprolegnia parasitica</i> CBS 223.65.","genome","20435"
"<i>Hortaea werneckii</i> EXF-2000 Genome Sequence and Annotation","2017-05-11","Apollo","Jason E. Stajich","Department of Plant Pathology and Microbiology, University of California, Riverside","FungiDB rel. 58, 2022-JUN-23","58","Genomes","hwerEXF-2000_primary_genome_RSRC","DS_88df210e7f","<i>Hortaea werneckii</i> EXF-2000<br>","28500048","N/A","Jason E. Stajich","Genome Sequence and Annotation of <i>Hortaea werneckii</i> EXF-2000","genome","15649"
"<i>Phanerochaete chrysosporium</i> RP-78 Genome Sequence and Annotation","2.2","Apollo","Daniel Rokhsar","DoE Joint Genome Institute","FungiDB rel. 51, 2021-MAR-16","19","Genomes","pchrRP-78_primary_genome_RSRC","DS_88ee4b5dc4","<i>Phanerochaete chrysosporium</i> RP-78<br>","15122302","N/A","Daniel Rokhsar","Genome sequence and annotation for <i>Phanerochaete chrysosporium</i> RP-78.","genome","13602"
"Phosphopeptide enriched sample (strain A1166)","2014-11","Apollo","Mark Marten","Department of Chemical, Biochemical and Environmental Engineering, UMBC","FungiDB rel. 31, 2017-MAR-09","31","Protein expression","anidFGSCA4_massSpec_Marten_phosphoproteome_RSRC","DS_88ee7df4f1","<i>Aspergillus nidulans</i> FGSC A4<br>","25116090","N/A","Ramsubramaniam et al.","<i>Aspergillus nidulans</i> Phosphoproteome","protein_expression","N/A"
"RNA-Seq Trichophyton rubrum and HaCat Keratinocyte Co-Culture","2018-07-19","Apollo","Ana Lúcia Fachin","Biotechnology Unit, University of Ribeirão Preto-UNAERP","FungiDB rel. 63, 2023-MAY-03","63","RNASeq","trubCBS118892_Petrucelli_Trubrum_2001_ebi_rnaSeq_RSRC","DS_89881c5ea0","<i>Trichophyton rubrum</i> CBS 118892<br>","30029541","N/A","Petrucelli et al. 2018","The transcriptional profile of <i>T. rubrum</i> and keratinocytes co-culture was assessed using the RNA-sequencing technique in order to provide new insights about fungal-host interaction.","transcript_expression","N/A"
"<i>Saccharomyces paradoxus</i> CBS432 Genome Sequence and Annotation","2020-02-03","Apollo","Gianni Liti","Université Côte d'Azur, CNRS, INSERM, IRCAN, Nice, France","FungiDB rel. 61, 2022-DEC-15","61","Genomes","sparCBS432_primary_genome_RSRC","DS_8a651348e2","<i>Saccharomyces paradoxus</i> CBS432<br>","22830625, 28416820","N/A","Gianni Liti","Genome Sequence and Annotation of <i>Saccharomyces paradoxus</i> CBS432","genome","5803"
"<i>Cenococcum geophilum</i> 1.58 Genome Sequence and Annotation","2016-07-26","Apollo","Francis Martin","INRA, France","FungiDB rel. 51, 2021-MAR-16","45","Genomes","cgeo1.58_primary_genome_RSRC","DS_8ad8c5bb42","<i>Cenococcum geophilum</i> 1.58<br>","27601008","N/A","Francis Martin","Genome sequence and annotation for <i>Cenococcum geophilum</i> 1.58.","genome","14745"
"<i>Mucor circinelloides</i> 1006PhL Genome Sequence and Annotation","2015-03-22","Apollo","Joe Heitman","Department of Molecular Genetics and Microbiology, Duke University Medical Center, Durham, North Carolina, USA","FungiDB rel. 51, 2021-MAR-16","46","Genomes","mcir1006PhL_primary_genome_RSRC","DS_8b08c1c31d","<i>Mucor circinelloides</i> 1006PhL<br>","25006230","N/A","Joe Heitman","Genome sequence and annotation for <i>Mucor circinelloides</i> 1006PhL.","genome","12410"
"<i>Neurospora tetrasperma</i> FGSC 2508 Genome Sequence and Annotation","2015-03-13","Apollo","John Taylor","University of California, Berkeley","FungiDB rel. 51, 2021-MAR-16","19","Genomes","ntetFGSC2508_primary_genome_RSRC","DS_8b83d30c89","<i>Neurospora tetrasperma</i> FGSC 2508<br>","21750257","N/A","John Taylor","Genome sequence and annotation for <i>Neurospora tetrasperma</i> FGSC 2508.","genome","10380"
"<i>Puccinia striiformis</i> strain 93-210 Genome Sequence and Annotation","2018-02-06","Apollo","Jorge Dubcovsky","Department of Plant Sciences, University of California Davis, Davis, USA","FungiDB rel. 68, 2024-MAY-07","51","Genomes","pstr93-210_primary_genome_RSRC","DS_8c9d407527","<i>Puccinia striiformis</i> strain 93-210<br>","21909385, 23607900","N/A","Cantu et al. 2011","Genome Sequence and Annotation for <i>Puccinia striiformis</i> strain 93-210","genome","15090"
"Manually curated phenotypes from MagnaGenes database","2022-09-02","Apollo","Nick Talbot","The Sainsbury Laboratory, UK","FungiDB rel. 60, 2022-NOV-09","60","Phenotype","mory70-15_phenotype_Magnaporthe_Pheno_RSRC","DS_8cb36b3135","<i>Pyricularia oryzae</i> 70-15<br>","N/A","N/A","Foster et al. 2021","MagnaGenes (v.1.0)","phenotype","N/A"
"<i>Cryptococcus gattii VGI</i> NT10 Genome Sequence and Annotation","2015-03-05","N/A","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","41","Genomes","cgatNT10_primary_genome_RSRC","DS_8d24f658c0","<i>Cryptococcus gattii</i> NT-10<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Cryptococcus gattii</i> NT-10.","genome","6987"
"<i>Penicillium expansum</i> d1 Genome Sequence and Annotation","2014-10-28","Apollo","Toni Gabaldón","Centre for Genomic Regulation, The Barcelona Institute of Science and Technology","FungiDB rel. 68, 2024-MAY-07","68","Genomes","pexpd1_primary_genome_RSRC","DS_8d5877eec8","<i>Penicillium expansum</i> d1<br>","25338147","N/A","Toni Gabaldón","Genome Sequence and Annotation of <i>Penicillium expansum</i> d1","genome","11023"
"<i>Aspergillus fischeri</i> NRRL 181 Genome Sequence and Annotation","2016-07-14","Apollo","Barbara Robbertse","J. Craig Venter Institute","FungiDB rel. 61, 2022-DEC-15","19","Genomes","afisNRRL181_primary_genome_RSRC","DS_8ddc55305a","<i>Aspergillus fischeri</i> NRRL 181<br>","18404212","N/A","Barbara Robbertse","Genome sequence and annotation for <i>Aspergillus fischeri</i> NRRL 181.","genome","10668"
"Aspergillus fumigatus response to hypoxia","2012-02-06","Apollo","Bridget Barker","Pathogen and Microbiome Institute, Northern Arizona University, Flagstaff, Arizona, USA","FungiDB rel. 52, 2021-MAY-20","52","Protein expression","afumAf293_quantitativeMassSpec_Barker_Hypoxia_Response_RSRC","DS_8e0eb24d7d","<i>Aspergillus fumigatus</i> Af293<br>","22309491","N/A","Barker et al. 2012","<i>A. fumigatus</i> adaptation to hypoxic environment.","protein_expression","N/A"
"<i>Cryptococcus neoformans</i> var. grubii H99 Genome Sequence and Annotation","2015-04-01","Apollo","Fred Dietrich","Duke University","FungiDB rel. 58, 2022-JUN-23","15","Genomes","cneoH99_primary_genome_RSRC","DS_8f0322af73","<i>Cryptococcus neoformans</i> var. grubii H99<br>","24743168","N/A","Fred Dietrich","Genome sequence and annotation for <i>Cryptococcus neoformans</i> var. <i>grubii</i> H99.","genome","8338"
"Aligned SNPs - Aspergillus fumigatus Af1163 strain","2010-10-14","Apollo","J. Craig Venter Institute","J. Craig Venter Institute","FungiDB rel. 3.2, 2015-JAN-14","23","Genetic variation","afumAf293_HTS_SNP_JCVI_HTS_SNP_PE_RSRC","DS_8f297c8245","<i>Aspergillus fumigatus</i> Af293<br>","N/A","N/A","J. Craig Venter Institute","Whole genome paired end Illumina sequencing of <i>A. fumigatus</i> Af1163 strain","isolates","N/A"
"Phosphoproteome in non-limiting conditions","2013-06-19","Apollo","Chris Rampitsch","Agriculture and Agri-Food Canada","FungiDB rel. 34, 2017-SEP-07","34","Protein expression","fgraPH-1_massSpec_non-limiting_conditions_phosphoproteome_RSRC","DS_8fde6fa47c","<i>Fusarium graminearum</i> PH-1<br>","22522806","N/A","Rampitsch et al.","<i>Fusarium graminearum</i> phosphoproteome in non-limiting conditions.","protein_expression","N/A"
"<i>[Candida] auris</i> 6684 Genome Sequence and Annotation","2017-08-04","N/A","Utpal S. Tatu","Indian Institute of Science, Bangalore","FungiDB rel. 51, 2021-MAR-16","51","Genomes","caur6684_primary_genome_RSRC","DS_90d3beea9a","<i>Candida auris</i> strain 6684<br>","26346253","N/A","Utpal S. Tatu","Genome Sequence and Annotation for <i>Candida auris</i> strain 6684","genome","8301"
