Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
60-mer oligos,1,Apollo,Andrew Waters,"Department of Parasitology, Leiden University","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pberANKA_microarrayPlatform_WatersDOZIOligos_RSRC,DS_5bf3402c2a,<i>Plasmodium berghei</i> ANKA<br>,N/A,N/A,Andrew Waters,Probe sequences from the <i>P. berghei </i> 60-mer oligos. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
<i>Plasmodium chabaudi</i> chabaudi Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 9.0, 2012-MAY-18",0,Genomes,pchachabaudi_primary_genome_RSRC,DS_5dab6e4a9f,<i>Plasmodium chabaudi</i> chabaudi<br>,"25359557, 28165471",N/A,GeneDB,<i>P. chabaudi</i> AS genome sequence and annotation,genome,5371,
Female and male gametocyte,8/21/2017,Apollo,Stuart Ralph,University of Melbourne,"PlasmoDB rel. 35, 2017-DEC-01",35,RNASeq,pberANKA_Female_Male_Gametocyte_ebi_rnaSeq_RSRC,DS_5dacfed867,<i>Plasmodium berghei</i> ANKA<br>,28923023,N/A,Yeoh et al.,Female and male gametocyte RNA-Seq,transcript_expression,N/A,
Whole genome sequencing of P. vivax-like isolates,4/13/2016,Apollo,Virginie Rougeron,"French National Centre for Scientifici Research, Montpellier, France","PlasmoDB rel. 42, 2019-MAR-07",42,Genetic variation,pvivP01_HTS_SNP_Gilabert_P_vivax-like_RSRC,DS_60f232b2f3,<i>Plasmodium vivax</i> P01<br>,30142149,N/A,Gilabert and Otto et al.,A total of 11 <i>P. vivax-like</i> samples were obtained from infected chimpanzee blood samples and an infected mosquito collected in Gabon.,isolates,N/A,
EST library,9/26/2008,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pfal3D7_EST_Watanabe_EstLibrary_sequences_RSRC,DS_628a66b195,<i>Plasmodium falciparum</i> 3D7<br>,17151081,N/A,Junichi Watanabe,Cultured <i>P. falciparum</i> 3D7 EST library.,EST,N/A,
Transcriptomes of PcAS and PcCB from mosquito transmitted or serial blood passaged mouse infections.,10/17/2018,Apollo,Jean Langhorne,"Division of Parasitology, MRC National Institute for Medical Research (NIMR), Mill Hill","PlasmoDB rel. 46, 2019-NOV-06",46,RNASeq,pchachabaudi_Li_PcAS_PcCB_isolates_ebi_rnaSeq_RSRC,DS_63422f3924,<i>Plasmodium chabaudi</i> chabaudi<br>,30542666,N/A,Lin et al.,"Transcriptomes (RNA sequence) of <i>P. chabaudi</i> AS or CB isolates at the trophozoite stage from mice infected via serial blood 
      passage or mosquito transmission.",transcript_expression,N/A,
Plasmodium vinckei resequenced strains,5/31/2017,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,Genetic variation,pvinvinckeiCY_HTS_SNP_Ramaprasad_WGS_Isolates_DNASeq_RSRC,DS_649c2a1004,<i>Plasmodium vinckei</i> vinckei CY<br>,33888092,N/A,Ramaprasad et al,"Whole genome resequencing data of ten isolates belonging to the five subspecies of <i>Plasmodium vinckei</i>. These include <i>P. vinckei</i> vinckei (CY), <i>P. vinckei</i> brucechwatti (DA and DB), <i>P. vinckei</i> petteri (CR and BS), <i>P. vinckei</i> lentum (DE and DS) and P. vinckei baforti (EH, EL and EE). Data were aligned to the reference genome and used to call single nucleotide polymorphisms.",isolates,N/A,
Comparison of in vitro versus aseptic mosquito produced sporozoites by RNA-seq,12/7/2022,Apollo,Stephen L. Hoffman,Sanaria Inc,"PlasmoDB rel. 62, 2023-MAR-09",62,RNASeq,pfal3D7_pfal3D7_invitro_versus_mosquito_produced_sporozoite_RNASeq_ebi_rnaSeq_RSRC,DS_6573eba8f8,<i>Plasmodium falciparum</i> 3D7<br>,36477528,N/A,Eappen et al. 2022,RNA-Seq transcriptomes of <i>in vitro</i> sporozoites (produced without mosquitoes) and sporozoites manufactured in mosquitoes.,transcript_expression,N/A,
P. knowlesi A1H1 essential genes via piggyBac screen,2024-04,N/A,John Adams,University of South Florida,"PlasmoDB rel. 68, 2024-MAY-07",68,Phenotype,pknoA1H1_phenotype_piggyBac_mutagenesis_MIS_MFS_RSRC,DS_66b6e821e7,<i>Plasmodium knowlesi</i> strain A1H1<br>,N/A,N/A,Oberstaller et al.,<i>Plasmodium knowlesi</i> A1H1 essential genes determined by supersaturation transposon insertion mutagenesis,generic_profiles,N/A,
Transcriptomes of 7 sexual and asexual life stages,2011-11-16_gus4,Apollo,Xin-zhuan Su,"National Institute of Allergy and Infectious Diseases, NIH","PlasmoDB rel. 9.2, 2012-NOV-15",16,RNASeq,pfal3D7_Su_seven_stages_rnaSeq_RSRC,DS_66f9e70b8a,<i>Plasmodium falciparum</i> 3D7<br>,22129310,N/A,Lopez-Barragan et al.,"Illumina-based sequencing of <i>P.falciparum</i> 3D7 mRNA from two gametocyte stages (II and V), 
      ookinete, and four time points of erythrocytic stages representing ring, early trophozoite, late 
      trophozoite, and schizont.",transcript_expression,N/A,
Cytoadherent and wild-type P. knowlesi (experiment 1),9/2/2022,Apollo,Osamu Kaneko,"Department of Protozoology, Institute of Tropical Medicine (NEKKEN), Nagasaki University","PlasmoDB rel. 68, 2024-MAY-07",68,RNASeq,pknoH_pknoH_Chuang_Cytoadherant_RNASeq_stranded_ebi_rnaSeq_RSRC,DS_6706dff006,<i>Plasmodium knowlesi</i> strain H<br>,36056126,N/A,Chuang et al. 2022,RNA Seq transcriptome analysis of P. knowlesi lines with increased iRBC cytoadhesion activity selected by repeated panning against human umbilical vein endothelial cells (HUVECs).,transcript_expression,N/A,
PfCRK4 regulated proteome at 29 and 37 hpi (quantitative),2/17/2017,Apollo,Manoj Duraisingh,Harvard T.H. Chan School of Public Health,"PlasmoDB rel. 54, 2021-SEP-08",54,Protein expression,pfal3D7_quantitativeMassSpec_Ganter_Regulated_Proteome_RSRC,DS_67256b45a3,<i>Plasmodium falciparum</i> 3D7<br>,28211852,N/A,Ganter et al.,"Proteome determined at 29- and 37- hour post infection in <i>Plasmodium falciparum</i> using a clone in which PfCRK4 was conditionally destabilized. (+Shield = stable PfCRK4, -Shield = destabilized PfCRK4)",protein_expression,N/A,
"Ex-erythrocytic stage transcriptomes (sporozoite, liver time course and detached cells)",9/24/2019,Apollo,Volker Heussler,"Institute of Cell Biology, University of Bern","PlasmoDB rel. 52, 2021-MAY-20",52,RNASeq,pberANKA_Caldelari_Ex-Erythrocytic_Stage_ebi_rnaSeq_RSRC,DS_67483bf778,<i>Plasmodium berghei</i> ANKA<br>,31551073,N/A,Caldelari et al.,"RNA-seq analyses of various exo-erythrocytic stages of <i>Plasmodium berghei</i> including sporozoites, a time-course of liver stage development and detached cells",transcript_expression,N/A,
SCR Malaria oligos,1,Apollo,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pyoeyoelii17X_microarrayPlatform_Affy-scrMalaria_RSRC,DS_678a74ef5c,<i>Plasmodium yoelii</i> yoelii 17X<br>,N/A,N/A,Stefan Kappe,Probe sequences from the <i>P. yoelii</i> SCR Malaria oligos. Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
<i>Plasmodium vinckei</i> petteri CR 2020 Genome Sequence and Annotation,8/6/2020,N/A,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,Genomes,pvinpetteriCR2020_primary_genome_RSRC,DS_679e1e4f4c,<i>Plasmodium vinckei</i> petteri CR 2020<br>,33888092,N/A,Arnab Pain,Genome Sequence and Annotation of <i>Plasmodium vinckei</i> petteri CR 2020,genome,5388,
The Database of Expressed Sequence Tags (dbEST),N/A,Apollo,GenBank,NCBI,"PlasmoDB rel. 1.0, 01-JAN-05",0,EST,_dbEST_RSRC$,DS_6889a51dab,<i>Haemoproteus tartakovskyi</i> strain SISKIN1<br><i>Hepatocystis sp.</i> ex Piliocolobus tephrosceles 2019<br><i>Plasmodium adleri</i> G01<br><i>Plasmodium berghei</i> ANKA<br><i>Plasmodium billcollinsi</i> G01<br><i>Plasmodium blacklocki</i> G01<br><i>Plasmodium brasilianum</i> strain Bolivian I<br><i>Plasmodium chabaudi</i> chabaudi<br><i>Plasmodium coatneyi</i> Hackeri<br><i>Plasmodium cynomolgi</i> strain M<br><i>Plasmodium falciparum</i> 3D7<br><i>Plasmodium fragile</i> strain nilgiri<br><i>Plasmodium gaboni</i> strain SY75<br><i>Plasmodium gallinaceum</i> 8A<br><i>Plasmodium inui</i> San Antonio 1<br><i>Plasmodium knowlesi</i> strain H<br><i>Plasmodium malariae</i> UG01<br><i>Plasmodium ovale</i> curtisi GH01<br><i>Plasmodium praefalciparum</i> strain G01<br><i>Plasmodium reichenowi</i> CDC<br><i>Plasmodium relictum</i> SGS1-like<br><i>Plasmodium vinckei</i> vinckei CY<br><i>Plasmodium vivax-like</i> Pvl01<br><i>Plasmodium vivax</i> P01<br><i>Plasmodium yoelii</i> yoelii 17X<br>,N/A,N/A,GenBank,ESTs from dbEST.,EST,N/A,
<i>Plasmodium cynomolgi</i> strain M Genome Sequence and Annotation,10/23/2017,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 51, 2021-MAR-16",36,Genomes,pcynM_primary_genome_RSRC,DS_68b476f200,<i>Plasmodium cynomolgi</i> strain M<br>,28748222,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium cynomolgi</i> strain M,genome,6831,
Aligned genomic sequence reads - Field Isolates,1,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pvivP01_HTS_SNP_Broad_HTS_Isolates_RSRC,DS_6a99014266,<i>Plasmodium vivax</i> P01<br>,22863733,N/A,Daniel E. Neafsey,"Whole genome resequencing data from  <i>P. vivax</i> strains Brazil I, India VII, Mauritania I, North Korean were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
Nucleosome Occupancy during life cycle (FAIRE),11/24/2009,Apollo,Karine LeRoch,"Department of Molecular, Cell and Systems Biology, University of California, Riverside","PlasmoDB rel. 1.0, 01-JAN-05",0,CHIP Seq,pfal3D7_Le_Roch_faire_chipSeq_RSRC,DS_6b0d98e712,<i>Plasmodium falciparum</i> 3D7<br>,20054063,N/A,LeRoch et al.,Nucleosome occupancy across the <i>P. falciparum</i> 3D7 life cycle determined by ChIP-sequencing (FAIRE),transcript_expression,N/A,
Gametocyte proteomics,2/19/2016,Apollo,Richard Bartfai,"Department of Molecular Biology, Radboud University, ,","PlasmoDB rel. 30, 2017-FEB-03",30,Protein expression,pfal3D7_massSpec_Lasonder_Bartfai_Gametocytes_RSRC,DS_6c7d1a3134,<i>Plasmodium falciparum</i> 3D7<br>,27298255,N/A,Lasonder et al.,"Proteomics data for the male, female and mixed <i>P. falciparum</i> gametocytes",protein_expression,N/A,
Microsatellite Markers,1,Apollo,Xin-zhuan Su,"National Institute of Allergy and Infectious Diseases, NIH","PlasmoDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",pfal3D7_genomeFeature_Su_Microsatellite_Markers_GFF2_RSRC,DS_6d536c4054,<i>Plasmodium falciparum</i> 3D7<br>,10558988,N/A,Xin-zhuan Su,Genomic location of microsatellite sequences in <i>P. falciparum</i>,feature,N/A,
Gametocyte stages I-V transcriptomes,10/19/2009,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_Winzeler_WBCGametocyte_RSRC,DS_6d6cf09eae,<i>Plasmodium falciparum</i> 3D7<br>,16005087,N/A,Young et al.,Gametocyte (stage I-V) transcriptomes for <i>P. falciparum</i> 3D7.,transcript_expression,N/A,
P. knowlesi H essential genes via piggyBac screen,2024-03,Apollo,Kourosh Zarringhalam,"Department of Mathematics, University of Massachusetts Boston, Boston, MA, USA","PlasmoDB rel. 68, 2024-MAY-07",68,Phenotype,pknoH_phenotype_piggyBac_mutagenesis_HME_MIS_OIS_RSRC,DS_6d7ee15b4a,<i>Plasmodium knowlesi</i> strain H<br>,N/A,N/A,Kourosh Zarringhalam,<i>Plasmodium knowlesi</i> essential genome determined by high density transposon insertion mutagenesis,generic_profiles,N/A,
P. falciparum 3D7 mixed asexual erythrocyte stages long read RNA-Seq,2023_05,Apollo,Stuart Ralph,University of Melbourne,"PlasmoDB rel. 66, 2023-NOV-28",66,LongReadRNASeq,pfal3D7_Stuart_Ralph_nanopore_rnaSeqNextflow_RSRC,DS_6f3633dc4e,<i>Plasmodium falciparum</i> 3D7<br>,33688018,N/A,Lee et al.,Transcriptome (Nanopore RNA-Seq) of <i>P. falciparum</i> 3D7 from iRBCs.,longRead_transcript_expression,N/A,
"Cytoplasmic and nuclear fractions from rings, trophozoites and schizonts (3D7)",9/11/2011,Apollo,Till Voss,"Department of Medical Parasitology and Infection Biology, Swiss Tropical and Public Health Institute; University of Basel","PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Voss_RSRC,DS_70ed3047ba,<i>Plasmodium falciparum</i> 3D7<br>,23181666,N/A,Oehring et al.,"<i>P. falciparum</i> nuclear and cytosolic proteomes for the ring, trophozoite and schizont stages of intra-erythrocytic development.",protein_expression,N/A,
Intraerythrocytic cycle transcriptome (3D7),2014-07-18_gus4,Apollo,Wieteke Hoeijmakers,"Radboud University Nijmegen, The Netherlands","PlasmoDB rel. 13.0, 2015-JAN-14",23,RNASeq,pfal3D7_Bartfai_time_series_rnaSeq_RSRC,DS_715bf2deda,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Hoeijmakers et al.,RNA-Seq analysis of 8 time points during the <i>P. falciparum</i> 3D7 intraerythrocytic cycle.,transcript_expression,N/A,
Two Sir2 KO lines expression profiling,1,Apollo,Alan Cowman,The Walter and Eliza Hall Institute of Medical Research,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_E-TABM-438_sir2KO_RSRC,DS_7349a4c6a5,<i>Plasmodium falciparum</i> 3D7<br>,19402747,N/A,Tonkin et al.,"Expression profiling at ring, trophozoite 
      and schizont stages of wild type <i>P. falciparum</i> 3D7 and two Sir2 knockouts determined by microarray.",transcript_expression,N/A,
Predicted full length transcripts (ESTs),11/2/2006,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pberANKA_EST_WatanabePbANKA_sequences_RSRC,DS_73c284b54d,<i>Plasmodium berghei</i> ANKA<br>,17151081,N/A,Junichi Watanabe,<i>P. berghei</i> ANKA predicted full length transcript sequences.,EST,N/A,
Sporozoite proteome in P. berghei,3/21/2021,Apollo,Carine Marinach,N/A,"PlasmoDB rel. 53, 2021-JUL-21",53,Protein expression,pberANKA_massSpec_Hamada_Sporozoite_Proteome_RSRC,DS_74b55e5a49,<i>Plasmodium berghei</i> ANKA<br>,33452840,N/A,Hamada et al,Proteome of Plasmodium berghei ANKA sporozoites using the highly sensitive timsTOF PRO mass spectrometer. This study used three different methods of sporozoite purification to obtain a comprehensive proteome.,protein_expression,N/A,
IDC in constant temperature and darkness (2020),6/2/2020,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 55, 2021-DEC-02",55,RNASeq,pfal3D7_pf3d7_IDC2020_Subudhi_ebi_rnaSeq_RSRC,DS_74bf6512eb,<i>Plasmodium falciparum</i> 3D7<br>,32488076,N/A,Subudhi et al. 2020,RNA seq analysis of intraerythrocytic development cycle in <i>P. falciparum</i> II3 cells. Duplicate samples taken at 2 hour intervals for 48 hours.,transcript_expression,N/A,
<i>Plasmodium vinckei</i> lentum DE Genome Sequence and Annotation,8/6/2020,N/A,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,Genomes,pvinlentumDE_primary_genome_RSRC,DS_759b3f6731,<i>Plasmodium vinckei</i> lentum DE<br>,33888092,N/A,Arnab Pain,Genome Sequence and Annotation of <i>Plasmodium vinckei</i> lentum DE,genome,5351,
"Gametocytogenesis: trophozoite vs early or late gametocytes (3D7, NF54)",7/1/2009,Apollo,Edwin Lasonder,"School of Biomedical and Healthcare Sciences, Plymouth University","PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pfal3D7_massSpec_Lasonder_Blood_Stages_RSRC,DS_762993bd47,<i>Plasmodium falciparum</i> 3D7<br>,20332084,N/A,Silvestrini et al.,Proteomics analysis gametocyte stages of <i>P. falciparum</i> analyzing trophozoites and early and mature gametocytes.,protein_expression,N/A,
<i>Plasmodium falciparum</i> GB4 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalGB4_primary_genome_RSRC,DS_76a6761cc5,<i>Plasmodium falciparum</i> GB4<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> GB4,genome,5637,
"H3K4me3, H3K9me3, HP1, H4K31me1 & H4K31ac histone post-translational modifications",5/12/2017,Apollo,Mohamed-Ali Hakimi,"Team Host-pathogen interactions and immunity to infection, University of Grenoble Alpes, Inserm, CNRS, IAB, Grenoble, France","PlasmoDB rel. 43, 2019-APR-25",43,CHIP Seq,pfal3D7_Hakimi_HistonePostTransMod_chipSeq_RSRC,DS_76d32b8164,<i>Plasmodium falciparum</i> 3D7<br>,29101771,N/A,Sindikubwabo et al.,"H3K4me3, H3K9me3, HP1, H4K31me1 & H4K31ac histone post-translational modifications",transcript_expression,N/A,
PlasmoAP motif for protein export to the apicoplast.,1,Apollo,Geoff McFadden,"Plant Cell Biology Research Centre, School of Botany, University of Melbourne","PlasmoDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",pfal3D7_cellularLocation_ApicoplastTargeting_RSRC,DS_777e0200e5,<i>Plasmodium falciparum</i> 3D7<br>,12560551,N/A,Geoff McFadden,Putative apicoplast proteins in the <i>P. falciparum</i> genome.,aa_feature,N/A,
Ap2-G2 ChIP-seq,10/1/2015,Apollo,Masao Yuda,Mie University,"PlasmoDB rel. 33, 2017-JUN-30",33,CHIP Seq,pberANKA_Yuda_Ap2_G2_chipSeq_RSRC,DS_793e7c4f61,<i>Plasmodium berghei</i> ANKA<br>,26417110,N/A,Yuda et al.,AP2-G2 target genes predicted by ChIP-sequencing,transcript_expression,N/A,
Oocyst and salivary gland sporozoite transcriptome comparison in P. yoelii,10/31/2019,Apollo,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pyoeyoelii17X_Lindner_Oocyst_Salivary_Sporo_ebi_rnaSeq_RSRC,DS_79a9eb3a98,<i>Plasmodium yoelii</i> yoelii 17X<br>,31673027,N/A,Lindner et al.,"Transcriptomic analysis of <i>Plasmodium yoelii</i> salivary gland sporozoites and oocyst sporozoites by RNA sequencing.  RNA sequence data are aligned to <a href=\/a/app/record/dataset/TMPTX_pyoeyoelii17X\""><i>Plasmodium yoelii</i> yoelii 17X Genome Sequence and Annotation</a>""",transcript_expression,N/A,
<i>Plasmodium falciparum</i> NF166 Genome Sequence and Annotation,12/17/2019,N/A,Joana Carneiro da Silva,University of Maryland School of Medicine,"PlasmoDB rel. 55, 2021-DEC-02",55,Genomes,pfalNF166_primary_genome_RSRC,DS_79b9bff715,<i>Plasmodium falciparum</i> NF166<br>,31915075,N/A,Joana Carneiro da Silva,Genome Sequence and Annotation of <i>Plasmodium falciparum</i> NF166,genome,5584,
Isolate genotyping: 189 cultures on 3K SNP chip,1/6/2010,Apollo,Jianbing Mu,"National Institute of Allergy and Infectious Diseases, National Institutes of Health","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNP_XSu_gff_RSRC,DS_79e7c4f6a2,<i>Plasmodium falciparum</i> 3D7<br>,20101240,N/A,Jianbing Mu,SNPs based on 189 culture-adapted <i>P. falciparum</i> parasites analyzed by microarray on at 3K SNP chip.,SNP,N/A,
<i>Plasmodium ovale</i> wallikeri PowCR01 Genome Sequence and Annotation,6/15/2018,N/A,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 65, 2023-SEP-14",64,Genomes,povaCR01_primary_genome_RSRC,DS_7ac217da8c,<i>Plasmodium ovale</i> wallikeri PowCR01<br>,28117441,N/A,Thomas Dan Otto,Genome Sequence and Annotation of <i>Plasmodium ovale</i> wallikeri PowCR01,genome,7047,
P. berghei transcriptome during inducible gametocytogenesis,2/6/2018,Apollo,Katarzyna K. Modrzynska,"Institute of Infection, Immunity and Inflammation, University of Glasgow, Glasgow, UK","PlasmoDB rel. 46, 2019-NOV-06",46,RNASeq,pberANKA_Kent_Induce_Gameto_ebi_rnaSeq_RSRC,DS_7b1bac6cd1,<i>Plasmodium berghei</i> ANKA<br>,30177743,N/A,Kent and Modrzynska et al.,Transcriptome during inducible gametocytogenesis in P. berghei,transcript_expression,N/A,
<i>Plasmodium billcollinsi</i> G01 Genome Sequence and Annotation,6/10/2020,Apollo,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 61, 2022-DEC-15",36,Genomes,pbilG01_primary_genome_RSRC,DS_7bd8ffb906,<i>Plasmodium billcollinsi</i> G01<br>,29784978,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium billcollinsi</i> G01,genome,5199,
Liver stage proteomes (17X),7/18/2008,Apollo,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pyoeyoelii17X_massSpec_LiverStage_Kappe_RSRC,DS_7d383d13ec,<i>Plasmodium yoelii</i> yoelii 17X<br>,18172196,N/A,Tarun et al.,Proteomes of <i>P yoeli</i> 17NXL parasites isolated from infected mice at 40 and 50 hours post-infection.,protein_expression,N/A,
"H3K9ac, H3K4me3 and H2A.Z genome-wide localization during iRBC cycle",5/11/2010,Apollo,Henk Stunnenberg,"Radboud University Nijmegen, The Netherlands","PlasmoDB rel. 1.0, 01-JAN-05",0,CHIP Seq,pfal3D7_Stunnenberg_ChIPSeq_chipSeq_RSRC,DS_7d787aaaaf,<i>Plasmodium falciparum</i> 3D7<br>,21187892,N/A,Henk Stunnenberg,"Genome-wide localization of two histone H3 modifications (K9ac/K4me3) and a histone variant, H2A.Z, 
      during <i>P. falciparum</i> 3D7 iRBC development assayed by ChIP-Seq.",transcript_expression,N/A,
Transcriptome during early and mid-stage P. berghei liver infection,2/4/2020,Apollo,Emily Derbyshire,"Department of Chemistry, Duke University","PlasmoDB rel. 51, 2021-MAR-16",51,RNASeq,pberANKA_Moreno_Pb_Liver_Infection_ebi_rnaSeq_RSRC,DS_7dae78ae0b,<i>Plasmodium berghei</i> ANKA<br>,32019802,N/A,Toro-Moreno and Sylvester et al.,"Transcriptome sequencing (RNA-Seq) analysis throughout the <i>Plasmodium berghei</i> liver stage, covering as early as 2 hours post-infection (hpi) and extending to 48 hpi in HuH7 and HepG2 cells",transcript_expression,N/A,
African Ape Plasmodium vivax isolates,8/1/2018,Apollo,Beatrice H. Hahn,University of Pennsylvania,"PlasmoDB rel. 42, 2019-MAR-07",42,Genetic variation,pvivP01_HTS_SNP_Hahn_African_Ape_Isolates_RSRC,DS_7df59d2fa4,<i>Plasmodium vivax</i> P01<br>,30127015,N/A,Loy and Plenderleith et al.,Genome sequence data of P. vivax strains infecting six chimpanzees,isolates,N/A,
Lysine acetylation proteomics,1/27/2016,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 33, 2017-JUN-30",33,Protein expression,pfal3D7_massSpec_Lysine_Acetylation_Proteomics_RSRC,DS_7e2bd6d15f,<i>Plasmodium falciparum</i> 3D7<br>,26813983,N/A,Cobbold et al.,"Peptide fractions from <i>P. falciparum</i> synchronous cultures (trophozoite stage) were enriched for acetylated lysine and 
       analyzed by mass spectrometry.",protein_expression,N/A,
Glass slide array probe sequences,1,Apollo,Akhil B. Vaidya,Drexel University College of Medicine,"PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pyoeyoelii17X_microarrayPlatform_Vaidya_Bergman_oligos_RSRC,DS_7eaa6488a4,<i>Plasmodium yoelii</i> yoelii 17X<br>,N/A,N/A,Akhil B. Vaidya,Probe sequences of the <i>P. yoelii</i> Version 1 array from Vaidya/Bergman (Drexel). Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
EST library,11/2/2006,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pvivP01_EST_WatanabePv_EstLibrary_sequences_RSRC,DS_8009774067,<i>Plasmodium vivax</i> P01<br>,17151081,N/A,Junichi Watanabe,<i>P. vivax</i> EST library.,EST,N/A,
Proteomic Analysis of Plasmodium berghei Merosomes,7/23/2019,Apollo,Melanie J Shears,"University of Washington, Seattle, WA","PlasmoDB rel. 48, 2020-AUG-27",48,Protein expression,pberANKA_massSpec_Shears_Merosomes_Liver_RSRC,DS_801da9f2e9,<i>Plasmodium berghei</i> ANKA<br>,31335145,N/A,Shears et al.,Proteomic Analysis of Plasmodium berghei Merosomes,protein_expression,N/A,
"Treatment-time to reinfection cohort from Kisumu area, Kenya collected in 2003",July_2013_gus4,Apollo,James W. Kazura,Case Western Reserve University,"PlasmoDB rel. 26, 2015-OCT-10",26,Immunology,pfal3D7_microarrayAntibody_Kazura_Reinfection_RSRC,DS_8106d16029,<i>Plasmodium falciparum</i> 3D7<br>,"25883384, 26259938",N/A,Dent et al.,Protein microarrays were probed with plasma from residents of a community in Kenya monitored for 12 weeks for reinfection and symptomatic malaria after administration of antimalarial drugs.,putative_function,N/A,
Salivary gland sporozoite total and surface proteome (17XNL2023),12/16/2016,N/A,Scott E. Lindner,Pennsylvania State University,"PlasmoDB rel. 67, 2024-FEB-21",67,Protein expression,pyoeyoelii17XNL2023_massSpec_Sporozoite_Surface_Proteome2023_RSRC,DS_818910db53,<i>Plasmodium yoelii</i> yoelii 17XNL 2023<br>,"23325771, 27714937, 31673027",N/A,El-Manzalawy et al.,<i>P yoelii</i> 17XNL sporozoite total and surface proteomes (2013) as well as PlasmoSEP surface proteomes (2016),protein_expression,N/A,
Isolate genotypes generated from a 75K SNP chip,3/6/2009,Apollo,Dyann F. Wirth,"Harvard School of Public Health, Harvard University","PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,pfal3D7_SNPChip_Broad75KGenotyping_RSRC,DS_826ab8e41c,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Dyann F. Wirth,75k SNP chip data from the Broad with approximately 17500 informative SNPs.,isolates,N/A,
Dual transcriptomes of malaria-infected Gambian children (Study Explorer),2024-01,N/A,Aubrey Cunnington,"Section of Paediatrics, Imperial College","PlasmoDB rel. 68, 2024-MAY-07",68,N/A,ISASimple_EDA_leegambian_RSRC,DS_82dc5abc7f,<br>,29950443,N/A,Lee et al.,Clinical and WGCNA analysis variables for the dual transcriptomic (human and parasite) analysis of blood of 46 Gambian children diagnosed with severe or uncomplicated malaria.,population_biology,N/A,
