Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
Diurnal biting of malaria mosquitoes in the Central African Republic indicates residual transmission may be &#8220;out of control&#8221;,2022,N/A,Diego Ayala,"MIVEGEC, Univ. Montpellier, CNRS, IRD, Montpellier, 34394 France and Centre International de Recherches Médicales de Francevil e, BP 769 Franceville, Gabon","VectorBase rel. 58, 2022-JUN-23",58,N/A,ISATab_VBP0000812_RSRC,DS_898f26b45f,<br>,N/A,Diego Ayala,"Mosquito collections 48-h around the clock, both indoors and outdoors, in urban Bangui, Central African Republic.",population_biology,N/A,,,,
Evolution of sex-biased gene expression aaraDongola,7/26/2017,Apollo,Francesco Papa,"Department of Experimental Medicine, Section of Genomics and Genetics, University of Perugia","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP083856_ebi_rnaSeq_RSRC,DS_89a416854f,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,28747381,Papa et al 2017,"Male and female sex-tissues vs carcass transcriptomes.  3-4 day old adult males and 48 hour blood-fed females. Reproductive tissues collected from females included the ovaries and the common oviduct and for males included the testis and accessory glands. The remaining carcass (CA) included the head, thorax and abdomen.",transcript_expression,N/A,,,,
Antennal expression following a blood meal,Jan-20,Apollo,David C Rinker,"Center for Human Genetics Research, Vanderbilt University Medical Center","VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP051402_ebi_rnaSeq_RSRC,DS_89c1f6f48a,<i>Anopheles gambiae</i> PEST<br>,23630291,Rinker et al 2013,"Time course antennal transcriptiome from post blood fed and non-blood fed female mosquitoes <i> Anopheles gambiae </i> mosquitoes [(SUA 2La/2La), an M-form isolate originating from Suakoko, Liberia.] Over the 2 d following blood feeding, ∼200 female mosquitoes were collected from each cohort at each of the five sequential, post–blood-feeding time points (1, 12, 24, 36, and 48 h) and antennae were resected for RNA isolation.",transcript_expression,N/A,,,,
<i>Anopheles nili</i> AnilCM1 Genome Sequence and Annotation,2/24/2023,Apollo,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VectorBase rel. 68, 2024-MAY-07",66,Genomes,anilAnilCM1_primary_genome_RSRC,DS_89dcd52262,<i>Anopheles nili</i> AnilCM1<br>,N/A,Mara Lawniczak,Genome Sequence and Annotation of <i>Anopheles nili</i> AnilCM1,genome,12354,,,,
Exit trap collections from southern Mozambique,10/13/2020,N/A,Jacques Charlwood,"DBL Centre for Health, Research & Development","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000686_RSRC,DS_89ee913df5,<br>,N/A,Jacques Charlwood,Mosquito abundance in southern Mozambique (MapVEu VBP0000686),population_biology,N/A,,,,
North Carolina ovitrap survey of container Aedes mosquitoes (centroids),1/25/2019,N/A,Michael H Reiskind,"Department of Entomology and Plant Pathology, North Carolina State University, Raleigh, NC","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000368_RSRC,DS_8a0941e18a,<br>,N/A,Michael H Reiskind,A statewide survey of container Aedes mosquitoes (Diptera':' Culicidae) in North Carolina. This subset of the data has centroid GPS points. (MapVEu VBP0000368),population_biology,N/A,,,,
<i>Glossina austeni</i> TTRI Genome Sequence and Annotation,GausT1,Apollo,Geoffrey Attardo,"University of California, Davis, CA, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,gausTTRI_primary_genome_RSRC,DS_8a10de5891,<i>Glossina austeni</i> TTRI<br>,31477173,Geoffrey Attardo,Genome Sequence and Annotation for <i>Glossina austeni</i> TTRI,genome,20098,,,,
"Mosquito surveillance in Manatee County, Florida, USA. 2014",4/6/2018,N/A,Barbara Beyer,Manatee County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000254_RSRC,DS_8a759f29de,<br>,N/A,Barbara Beyer,Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000254),population_biology,N/A,,,,
Insecticide resistance status of the malaria mosquitoes: Anopheles gambiae and Anopheles funestus in eastern and northern Uganda,6/20/2018,N/A,Michael Okia,"USAID Uganda Indoor Residual Spraying Project Phase II, Abt Associates Inc., Kampala, Uganda","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000276_RSRC,DS_8b5b9d7cc5,<br>,29625585,Michael Okia,"The susceptibility status of An. gambiae and An. funestus to bendiocarb, permethrin and deltamethrin was determined using the CDC bottle bioassay. (MapVEu VBP0000276)",population_biology,N/A,,,,
Preliminary assessment of the potential role of urbanization in the distribution of carbamate and organophosphate resistant populations of Culex species in Ghana,11/21/2016,N/A,A A Kudom,"Center for International Health, Ludwig-Maximilians-Universität Munich, Germany; Department of Entomology and Wildlife, University of Cape Coast, Ghana","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000147_RSRC,DS_8b8ff4a92e,<br>,N/A,A A Kudom,"Mosquito larvae were sampled from various land use and ecological settings and in different seasons. In adults, susceptibility to organophosphates (fenitrothion, malathion) and carbamates (propoxur, bendiocarb) were determined. Mixed function oxidase (MFO) and &#945;- and &#946;-esterase assays, as well as a PCR diagnostic assay to determine ace1 mutation were performed in individual mosquitoes. (MapVEu VBP0000147)",population_biology,N/A,,,,
V1016G kdr mutation genotyping of Aedes albopictus in Europe,2022,N/A,Verena Pichler,Sapienza University of Rome,"VectorBase rel. 57, 2022-APR-21",57,N/A,ISATab_VBP0000793_RSRC,DS_8b9c878ed0,<br>,N/A,Verena Pichler,"The project allowed the genotyping 2,530 Ae. albopictus specimens from 69 sampling sites in 19 European countries.",population_biology,N/A,,,,
"Probing functional polymorphisms in the dengue vector, Aedes aegypti",1/29/2014,N/A,Mariangela Bonizzoni,"Department of Molecular Biology and Biochemistry, University of California, Irvine, CA 92697, USA","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000015_RSRC,DS_8badd94641,<br>,24168143,Mariangela Bonizzoni,Characterisation of SNP markers in three strains of Aedes aegypti (MapVEu VBP0000015),population_biology,N/A,,,,
"Pooled male and female larvae, pupae, and adults",1/2/2015,Apollo,Broad Institute,Broad Institute,"VectorBase rel. 61, 2022-DEC-15",61,RNASeq,afunidAnoFuneDA416_04_SRP021067_ebi_rnaSeq_RSRC,DS_8c16914554,<i>Anopheles funestus</i> AfunGA1<br>,25554792,Neafsey et al 2015,"Produced from pooled male and female larvae, pupae, and adults (one An. funestus sample).",transcript_expression,N/A,,,,
"Insecticide resistance development in Culex quinquefasciatus (Say), Aedes aegypti (L.) and Aedes albopictus (Skuse) larvae against malathion, permethrin and temephos",4/23/2014,N/A,H. Hamdan,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000022_RSRC,DS_8c39451bb4,<br>,16880753,H. Hamdan,Insecticide resistance study imported from IRBase. (MapVEu VBP0000022),population_biology,N/A,,,,
Sequencing voltage-sensitive sodium channel cDNA,Jan-20,Apollo,Shinji Kasai,"Department of Medical Entomology, National Institute of Infectious Diseases (Japan)","VectorBase rel. 62, 2023-MAR-09",62,RNASeq,aalbFPA_DRP004786_ebi_rnaSeq_RSRC,DS_8c5dce18ab,<i>Aedes albopictus</i> Foshan FPA<br>,30722810,Kasai et al 2019,The aim of this project is to sequence VGSC cDNA of pyrethroid-resistant asian-tiger mosquitoes (<i>Aedes albopictus</i>) and discover novel resistant associated mutations.,transcript_expression,N/A,,,,
"Species composition and insecticide resistance status of Anopheles gambiae (s.l.) (Culicidae) in Kome, southern Chad and the implications for malaria control",2/12/2017,N/A,Samuel Dadzie,Noguchi Memorial Institute of Medical Research,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000153_RSRC,DS_8c7d1330d6,<br>,27553245,Samuel Dadzie,"Mosquito larvae were collected from temporary rain-filled and semi-permanent breeding places at two sites and reared in a laboratory. Emerging Anopheles gambiae (senso lato) (s.l.) adults were morphologically identified, sorted and evaluated for susceptibility to WHOPES recommended insecticides. Standardized biomolecular and biochemical methods were used to determine sibling species and molecular forms: knockdown resistant alleles (kdr-w) for pyrethroids and DDT; acetylcholinesterase-1 resistant alleles for organophosphate and carbamates; biochemical resistance through measurement of the levels of non-specific esterase (&#945; and &#946;), oxidase and glutathione-s-transferases activities. (MapVEu VBP0000153)",population_biology,N/A,,,,
Climate and Urbanization Drive Mosquito Preference for Humans,10/6/2020,N/A,Noah H Rose,"Department of Ecology & Evolutionary Biology, Princeton University, Princeton, NJ 08544, USA","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000685_RSRC,DS_8ca2366f4a,<br>,32707056,Noah H Rose,Collections of African populations of Ae. aegypti. (MapVEu VBP0000685),population_biology,N/A,,,,
Male reproductive organs,Jan-20,N/A,Richard Emes,"School of Veterinary Medicine and Sciences., University of Nottingham","VectorBase rel. 47, 2020-APR-07",47,RNASeq,amerMAF_SRP155215_ebi_rnaSeq_RSRC,DS_8cdff79849,<i>Anopheles merus</i> MAF<br>,30623175,Izquierdo et al 2019,Gene expression was determined for Male accessory gland and testes,transcript_expression,N/A,,,,
Comparative insecticidal power of three pyrethroids on netting.,10/15/2014,N/A,KJ Adams,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000109_RSRC,DS_8d3575206f,<br>,N/A,KJ Adams,Insecticide resistance study imported from IRBase. Study undertaken for the PSI/Malawi/ITN project as part of the Blantyre Integrated Malaria Initiative using standard polyester bednets. (MapVEu VBP0000109),population_biology,N/A,,,,
"Mosquito surveillance in Anastasia, Saint Johns County, Florida, USA. 2008",6/21/2018,N/A,Richard Weaver,Anasatasia Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000282_RSRC,DS_8d83410ee1,<br>,N/A,Richard Weaver,Mosquito surveillance from the Anastasia Mosquito Control District program to survey mosquito populations. (MapVEu VBP0000282),population_biology,N/A,,,,
"Origin of a High-Latitude Population of Aedes aegypti in Washington, DC",11/22/2017,N/A,Andrea Gloria-Soria,"21 Sachem Street, Room 168 ESC, Yale University, New Haven, CT 06520-8105 USA","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000201_RSRC,DS_8d9a8fc629,<br>,N/A,Andrea Gloria-Soria,"An overwintering population of Aedes aegypti has been documented in the Capitol Hill neighborhood of
 Washington, DC, since 2011. Mitochondrial cytochrome oxidase I (mtCOI) sequence data presented in a previous
 study traced the origin to the New World. Here, we use microsatellite and SNP chip data along with more
mitochondrial DNA (mtDNA) sequences on Washington Ae. aegypti samples and samples from potential sources to
 further narrow the origin of this population. Genetically, Washington Ae. aegypti are closest to populations in
Florida, meaning this is the most likely source. Florida experienced the first mosquito-borne transmission of dengue
in the United States after decades of absence of this disease, as well as local transmission of chikungunya and Zika
in recent years. This indicates that the Capitol Hill, Washington, DC population of Ae. aegypti is capable of
 transmitting viruses such as dengue, chikungunya, and Zika in modern US city environments. (MapVEu VBP0000201)",population_biology,N/A,,,,
Females physiological stress,Jan-20,Apollo,The Pirbright Institute,The Pirbright Institute,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,agamPEST_ERP006797_ebi_rnaSeq_RSRC,DS_8e463fef85,<i>Anopheles gambiae</i> PEST<br>,N/A,The Pirbright Institute,"Overall, the study aims at obtaining a comprehensive picture of the African malaria mosquito, Anopheles gambiae, transcriptome using high-coverage RNA-Seq of sexed whole-insect samples.  This experiment focuses on transcriptomes of females subjected to physiological stress. The samples include adult females collected at different time intervals subject to sub-optimal relative humidity, after exposure to sublethal dose of deltamethrin, or following blood-feeding. Females kept at standard laboratory conditions without exposure to stressors, were collected at the same time intervals as control samples.",transcript_expression,N/A,,,,
"Mosquito surveillance in Manatee County, Florida, USA. 2015",4/6/2018,N/A,Barbara Beyer,Manatee County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000255_RSRC,DS_8eb0b2c95d,<br>,N/A,Barbara Beyer,Mosquito surveillance from the Manatee County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000255),population_biology,N/A,,,,
Molecular mechanisms associated with increased tolerance to the neonicotinoid insecticide imidacloprid in the dengue vector Aedes aegypti,3/31/2012,Apollo,Stéphane Reynaud,"Laboratoire d'Ecologie Alpine, UMR CNRS-Université","VectorBase rel. 47, 2020-APR-07",47,DNA Microarray Assay,aaegLVP_AGWG_microarrayExpression_E-MTAB-616_imidacloprid_resistance_RSRC,DS_8ee9a5cc3d,<i>Aedes aegypti</i> LVP_AGWG<br>,23058251,Riaz et al.,"Gene expression in larvae and adults of the Imida-R imidacloprid insecticide resistant strain of Aedes aegypti is compared with expression in a susceptible strain, Bora-Bora, using an Agilent technologies microarray with 60mer probes targeting 14192 genes.",transcript_expression,N/A,,,,
"Mosquito surveillance in Salt Lake County, Utah, USA. 2018",6/3/2020,N/A,White Gregory,Salt Lake City Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000646_RSRC,DS_8efcb8dbb1,<br>,N/A,White Gregory,Mosquito surveillance from the Salt Lake City Mosquito Abatement District program to survey mosquito populations. (MapVEu VBP0000646),population_biology,N/A,,,,
The Stegomyia survey and susceptibility status of Aedes aegypti to insecticides in Calcutta India Seaport area,8/6/2014,N/A,S. Biswas,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000099_RSRC,DS_8f1d0b6b01,<br>,3256570,S. Biswas,Insecticide resistance study imported from IRBase. (MapVEu VBP0000099),population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2001 (New Jersey light trap)",2/9/2019,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000390_RSRC,DS_8f9239623a,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000390)",population_biology,N/A,,,,
"Mosquitoes surveillance from Vaca Key, Monroe County, Florida USA",10/4/2020,N/A,Lawrence Hribar,"Florida Keys Mosquito Control District, Florida, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000678_RSRC,DS_8fb1dd952c,<br>,N/A,Lawrence Hribar,Monitoring of the mosquito fauna on Vaca Key began in the late summer of 1998 and continued until the winter of 2017. Collections were intended to be made weekly (MapVEu VBP0000678),population_biology,N/A,,,,
Overexpression of cytochrome P450 genes in pyrethroid-resistant Culex quinquefasciatus,3/21/2012,Apollo,Takashi Tomita,"Department of Medical Entomology, National Institute of Infectious Diseases","VectorBase rel. 48, 2020-AUG-27",48,DNA Microarray Assay,cquiJHB_microarrayExpression_GSE17326_Jpal-Per_vs_Ogasawara_RSRC,DS_8fbaf2fd8c,<i>Culex quinquefasciatus</i> JHB 2020<br>,20080182,Komagata et al.,"A pyrethroid-resistant strain of Culex quinquefasciatus, JPal-per, exhibits 2500-fold greater larval resistance to permethrin than the insecticide-susceptible strain Ogasawara.",transcript_expression,N/A,,,,
A new malaria vector mosquito in South Africa,8/14/2018,N/A,Basil Brooke,"Centre for Opportunistic, Tropical & Hospital Infections, National Institute for Communicable Diseases, Johannesburg, South Africa","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000302_RSRC,DS_900a9b487e,<br>,28262811,Basil Brooke,"In order to identify the underlying causes of residual transmission, an enhanced vector surveillance system has been implemented at selected sites in the Mpumalanga and KwaZulu-Natal provinces. The collection periods for the data presented are March 2015 to April 2016 for Mpumalanga and January 2014 to December 2015 for KZN. (MapVEu VBP0000302)",population_biology,N/A,,,,
Generic RNAseq (part of a study with +8 mosquito species),Jan-20,Apollo,Chris Todd Hittinger,"Department of Biochemistry and Molecular Genetics, University of Colorado Denver Health Sciences Center.","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aquaSANGWE_SRP001532_ebi_rnaSeq_RSRC,DS_904293c5fd,<i>Anopheles quadriannulatus</i> SANGWE<br>,20080632,Hittinger et al 2010,"Eggs from all 10 species were obtained through the Malaria Research and Reference Reagent Resource Center (http://www.mr4.org/), 36-bp Solexa (one biological replicate).",transcript_expression,N/A,,,,
Insecticide susceptibility status of Anopheles gambiae s.l. mosquitoes and the efficacy of a piperonyl butoxide (PBO) synergist in northern Namibia,2024,N/A,Rosalia N. Joseph,University of Namibia (UNAM,"VectorBase rel. 67, 2024-FEB-21",67,N/A,ISATab_VBP0000848_RSRC,DS_9042a4e413,<br>,N/A,Rosalia N. Joseph,"This study, conducted as part of the National Vector-borne Disease Control Program's annual entomological surveillance, assessed the susceptibility of An. gambiae s.l. mosquitoes to WHO tube bioassays with 4% DDT and 0.05% deltamethrin insecticides.",population_biology,N/A,,,,
Indoor Human landing catches from Western Cameroon,4/8/2020,N/A,Tchuinkam Timoléon,University of Dschang,"VectorBase rel. 62, 2023-MAR-09",47,N/A,ISATab_VBP0000626_RSRC,DS_9051cfb76d,<br>,N/A,Tchuinkam Timoléon,Indoor Human landing catches from Western Cameroon (MapVEu VBP0000626),population_biology,N/A,,,,
"Franklin County Public Health data in Franklin county, Ohio, 2014.",7/12/2019,N/A,Sarah Fink,Franklin County Public Health,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000491_RSRC,DS_90acb84680,<br>,N/A,Sarah Fink,"2014 mosquito data from Franklin county, Ohio, collected by the Franklin County Public Health Department. (MapVEu VBP0000491)",population_biology,N/A,,,,
MSQ43 cell line RNA-Seq (aligned to Indian strain),Jan-20,N/A,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VectorBase rel. 47, 2020-APR-07",47,RNASeq,asteIndian_SRP052094_ebi_rnaSeq_RSRC,DS_90f70641c5,<i>Anopheles stephensi</i> Indian<br>,N/A,Daniel E. Neafsey,Unpublished transcriptome sequencing of <i>Anopheles stephensi</i> MSQ43 cell lines.,transcript_expression,N/A,,,,
"Organophosphorous insecticide susceptibility of mosquitos in Maryland, 1985-89",6/17/2014,N/A,K.J. Sweeney,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000031_RSRC,DS_90fd849505,<br>,7682258,K.J. Sweeney,Insecticide resistance study imported from IRBase. (MapVEu VBP0000031),population_biology,N/A,,,,
Resting Behavior of Malaria Vectors in Ghana and Its Implication on Vector Control,2022,N/A,Dounin D Doh,"Institut Pierre Richet, 01 BP 1500, Bouaké, 01, Côte d'Ivoire","VectorBase rel. 57, 2022-APR-21",57,N/A,ISATab_VBP0000796_RSRC,DS_910ce3622d,<br>,32097407,Dounin D Doh,"Indoor and outdoor resting Anopheline mosquitoes were sampled during the dry and rainy seasons in 5 sites that were in 3 ecological landscapes, using pyrethrum spray catches (PSC), mechanical aspiration (Prokopack) for indoor collections, pit shelter and Prokopack for outdoor collections. PCR based molecular diagnostics were used to determine mosquito speciation, genotype for knockdown resistance mutations (L1014S and L1014F), G119S Ace-1 mutation, species host blood meal origins and sporozoite infection.",population_biology,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2008 (New Jersey light trap)",2/2/2019,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000381_RSRC,DS_9133c2405a,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000381)",population_biology,N/A,,,,
"The current insecticide resistance status of Anopheles gambiae (s.l.) (Culicidae) in rural and urban areas of Bouak&#233;, C&#244;te d&#8217;Ivoire",6/20/2018,N/A,Dounin D Doh,"Institut Pierre Richet, Bouaké, Côte d’Ivoire Université Félix Houphouët Boigny, Abidjan, Côte d’Ivoire","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000270_RSRC,DS_914039eb6b,<br>,29499720,Dounin D Doh,"Larvae of Anopheles gambiae (s.l.) were collected from five different study sites and reared to adult stages. The resistance status was assessed using the WHO bioassay test kits for adult mosquitoes, with eight insecticides belonging to pyrethroids, organochlorines, carbamates and organophosphates classes. Molecular assays were performed to identify the molecular forms of An. gambiae (s.l.), the L1014F kdr and the ace-1R alleles in individual mosquitoes. (MapVEu VBP0000270)",population_biology,N/A,,,,
Reduced Insecticide Susceptibility in Aedes vexans (Diptera: Culicidae) Where Agricultural Pest Management Overlaps With Mosquito Abatement,3/27/2018,N/A,Mike Dunbar,"Department of Environmental Sciences, Emory University, Atlanta, GA Department of Agronomy, Horticulture, and Plant Science, South Dakota State University, Brookings, SD","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000234_RSRC,DS_919819bdf7,<br>,29365158,Mike Dunbar,"To determine the impact that agricultural management practices have on mosquito insecticide susceptibility the mortality of Aedes vexans was compared between populations sampled from locations with and without mosquito abatement in South Dakota, a region dominated by agricultural production. (MapVEu VBP0000234)",population_biology,N/A,,,,
"Patterns of Abundance, Host Use, and Everglades Virus Infection in Culex (Melanoconion) cedecei Mosquitoes, Florida, USA",6/17/2019,N/A,Nathan D Burkett-Cadena,"University of Florida, Vero Beach, Florida, USA","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000472_RSRC,DS_91c1b8edad,<br>,N/A,Nathan D Burkett-Cadena,"Field studies investigating spatial and temporal patterns of abundance, host use, and EVEV infection of Cx. cedecei mosquitoes in Everglades National Park (MapVEu VBP0000472)",population_biology,N/A,,,,
Phlebotomine sand flies (Diptera: Psychodidae) in the Greek Aegean Islands: ecological approaches,3/27/2018,N/A,Maria Antoniou,"Laboratory of Clinical Bacteriology, Parasitology, Zoonoses and Geographical Medicine, School of Medicine, University of Crete, Vassilika Vouton, GR-71003 Heraklion, Greece","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000240_RSRC,DS_91ca09290e,<br>,29458398,Maria Antoniou,The aim of this study was to investigate sand fly species in eleven small Aegean islands; to understand species-specific relationships with environmental and climatic factors and to compare sand fly community parameters among islands. (MapVEu VBP0000240),population_biology,N/A,,,,
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2009",5/3/2021,N/A,Stephen Panossian,Maryland Department of Agriculture Mosquito Control Section,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000755_RSRC,DS_922331502f,<br>,N/A,Stephen Panossian,Maryland Dept. of Agriculture weekly mosquito population surveillance performed using various traps in 2009. (MapVEu VBP0000755),population_biology,N/A,,,,
Blood feeding and Plasmodium vinckei petteri 279 BY infection effect on the miRNome,Jan-20,N/A,Raj K. Bhatnagar,International Centre for Genetic Engineering and Biotechnology,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,asteSDA-500_ERP004232_ebi_rnaSeq_RSRC,DS_928fd3b361,<i>Anopheles stephensi</i> SDA-500<br>,24866389,Jain et al 2014,"Sugar fed adult female <i>An. stephensi</i>  mosquitoes 5–6 days old (SF) were collected as control sample. Blood fed (BF 42 h and BF 5d) and parasite (<I>Plasmodium vinckei petteri 279 BY </i>) infected mosquitoes (iBF 42 h and iBF 5d) were collected at two time points, at 42 hours and five days post blood feeding.",transcript_expression,N/A,,,,
Malaria Atlas Project: Global distribution of observed malaria vector species (Americas),4/25/2014,N/A,Marianne E Sinka,University of Oxford,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000027_RSRC,DS_92b14f8fe6,<br>,22475528,Marianne E Sinka,Collection and species identification of various malarial mosquito specimens for generating a global map of the dominant vector species of malaria. (MapVEu VBP0000027),population_biology,N/A,,,,
Fourth instar larvae from a highly permethrin resistant strain (HAmCqG8) and its parental low resistance strain (HAmCqG0),3/13/2012,Apollo,Nannan Liu,"Entomology, Auburn University","VectorBase rel. 58, 2022-JUN-23",58,RNASeq,cquiJHB_SRP009347_ebi_rnaSeq_RSRC,DS_92b30b712e,<i>Culex quinquefasciatus</i> JHB 2020<br>,N/A,"Liu 2012, unpublished",RNA Seq profiling of the mRNA of fourth instar HAmCqG0 (highly permethrin resistant strain) and HAmCqG8 (parental low resistance strain) using whole mosquito pooled samples,transcript_expression,N/A,,,,
<i>Aedes albopictus</i> C6/36 cell line Genome Sequence and Annotation,2/3/2017,N/A,Jason R. Miller,J. Craig Venter Institute,"VectorBase rel. 56, 2022-FEB-15",53,Genomes,aalbC6-36_primary_genome_RSRC,DS_92e55b3591,<i>Aedes albopictus</i> C6/36 cell line<br>,29329394,Jason R. Miller,Genome Sequence and Annotation of <i>Aedes albopictus</i> C6/36 cell line,genome,38743,,,,
Insecticide susceptibility of Aedes aegypti and Aedes albopictus in Central Africa,1/24/2018,N/A,Christophe Paupy,"Institut de Recherche pour le Développement (IRD), UMR 224 MIVEGEC Centre International de Recherches Médicales de Franceville (CIRMF)","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000220_RSRC,DS_93352b8f6f,<br>,21575154,Christophe Paupy,"Throughout Central Africa no recent data are available susceptible/resistant status of either vector species since the introduction/arrival of Ae. albopictus in this area. We therefore studied the level of resistance of these two major vectors to insecticides commonly used in Africa for mosquito control. Aedes aegypti and Ae. albopictus were sampled in six urban localities of Cameroon (Garoua, Bertoua, Yaound&#233;, Bafia, Buea) and Gabon (Libreville). Larval bioassays, carried out to determine the lethal concentrations (LC50 and LC95) and resistance ratios (RR50 and RR95) suggested that both vector species were susceptible to Bti (Bacillus thuringiensis var israeliensis) and temephos. Bioassays were also performed on adults using WHO diagnostic test kits to assess phenotypic resistance to deltamethrin, DDT, fenitrothion and propoxur. (MapVEu VBP0000220)",population_biology,N/A,,,,
Response to Cry11Aa from Bti timecourse,Jan-20,Apollo,Pablo Canton,Instituto de Biotecnologia-UNAM,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP065731_ebi_rnaSeq_RSRC,DS_9351b8afe4,<i>Aedes aegypti</i> LVP_AGWG<br>,26645277,Canton et al 2015,"Transcriptomic analysis of <i>Aedes aegypti</i> mosquito larvae exposed to LC50 of Cry11Aa toxin from Bti at different times (0h, 6h, 9h, 12h) was conducted.",transcript_expression,N/A,,,,
Wild-caught P. kandelakii female salivary glands aligned to P. papatasi,5/14/2020,Apollo,Jesus G Valenzuela,"Vector Molecular Biology Section, Laboratory of Malaria and Vector Research, National Institute of Allergy and Infectious Diseases, National Institutes of Health","VectorBase rel. 67, 2024-FEB-21",67,RNASeq,ppapM1_Oliveira_kandelakii_2020_ebi_rnaSeq_RSRC,DS_9361b2b887,<i>Phlebotomus papatasi</i> M1<br>,32409684,Oliveira et al 2020,"Female salivary glands from wild-caught Phlebotomus kandelakii from Tbilisi, Georgia",transcript_expression,N/A,,,,
"Mosquito surveillance in Marion County, Indiana, USA. 2019.",5/7/2020,N/A,Sinsko Matthew,Marion County Health Department,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000628_RSRC,DS_93ddabf4c3,<br>,N/A,Sinsko Matthew,Mosquito abundance in Mosquito surveillance from the Marion County Health Department surveillance program to survey mosquito populations. (MapVEu VBP0000628),population_biology,N/A,,,,
Tanzania mosquito surveillance dataset,8/23/2021,N/A,Isaac Namango,Swiss Tropical and Public Health Institute,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000774_RSRC,DS_9409b8f3e1,<br>,N/A,Isaac Namango,Mosquito abundance from Tanzania (MapVEu VBP0000774),population_biology,N/A,,,,
