Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
"Acidocalcisome proteome, procyclic form (Tb427)",12/11/2014,Apollo,Roberto Docampo,University of Georgia,"TriTrypDB rel. 25, 2015-JUL-23",25,Protein expression,tbruTREU927_massSpec_Docampo_Acidocalcisome_Proteomics_RSRC,DS_5efa4f8d6f,<i>Trypanosoma brucei</i> brucei TREU927<br>,25503798,N/A,Huang et al.,"Proteome of acidocalcisome fractions from 
                   <i>Trypanosoma brucei</i> Lister 427 procyclic form parasites.",protein_expression,N/A,
Maxicircle gene structural annotation,7/30/2019,Apollo,James Cotton,"Wellcome Sanger Institute, UK","TriTrypDB rel. 46, 2019-NOV-06",46,"Sequence sites, features and motifs",lbraMHOMBR75M2904_2019_maxicircle_gene_model_transcript_sequences_RSRC,DS_5f1d75aac8,<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 2019<br>,N/A,N/A,James Cotton,Maxicircle gene structural annotation,aligned_sequence,N/A,
Sanger siRNA Phenotypes,2016-08-17_gus4/,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,Phenotype,tbruTREU927_phenotype_Sanger_siRNA_RSRC,DS_60a875eda6,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,N/A,Sanger,Sanger siRNA phenotypes,phenotype,N/A,
<i>Trypanosoma cruzi</i> Brazil A4 Genome Sequence and Annotation,8/26/2019,N/A,Rick Tarleton,University of Georgia,"TriTrypDB rel. 52, 2021-MAY-20",46,Genomes,tcruBrazilA4_primary_genome_RSRC,DS_610b8f99b0,<i>Trypanosoma cruzi</i> Brazil A4<br>,33508020,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Rick Tarleton,Genome sequence and annotation for <I>Trypanosoma cruzi</I> Brazil A4 genome sequence and annotation.,genome,18708,
Visceral vs cutaneous isolate transcriptomes,2013_07_02_gus4,Apollo,Greg Matlashewski,"Lyman Duff Medical Building, McGill University","TriTrypDB rel. 25, 2015-JUL-23",25,RNASeq,ldonBPK282A1_Zhang_Visceral_vs_Cutaneous_Leishmaniasis_ebi_rnaSeq_RSRC,DS_614ce17f3f,<i>Leishmania donovani</i> BPK282A1<br>,24992200,N/A,Zhang et al.,"Transcriptome of two <i>L. donovani</i> isolates derived from visceral or 
    cutaneous leishmaniasis patients.",transcript_expression,N/A,
<i>Leishmania major</i> strain SD 75.1 Genome Sequence and Annotation,3/18/2015,N/A,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 61, 2022-DEC-15",0,Genomes,lmajSD75.1_primary_genome_RSRC,DS_61f70dac82,<i>Leishmania major</i> strain SD 75.1<br>,34472979,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Stephen M. Beverley,Genome sequence and annotation for <i>Leishmania major</i> SD 75.1,genome,8931,
Comparative transcriptomes of virulent and avirulent T. cruzi (Esmo aligned),6/9/2017,Apollo,Najib M. El-Sayed and Santuza M.R. Teixeira,University of Maryland and Universidade Federal de Minas Gerais,"TriTrypDB rel. 41, 2018-DEC-13",41,RNASeq,tcruCLBrenerEsmeraldo-like_Teixeira_virulent_avirulent_ebi_rnaSeq_RSRC,DS_639ac245d3,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,29240831,N/A,Belew et al. 2017,Transcriptomes of virulent and avirulent <i>T. cruzi</i> determined by RNA-Seq.,transcript_expression,N/A,
<i>Trypanosoma cruzi</i> Berenice Genome Sequence and Annotation,6/18/2020,N/A,Carlos Robello,"Institut Pasteur de Montevideo, Montevideo, Uruguay","TriTrypDB rel. 62, 2023-MAR-09",62,Genomes,tcruBerenice_primary_genome_RSRC,DS_64ae1208b6,<i>Trypanosoma cruzi</i> Berenice<br>,31218350,N/A,Carlos Robello,Genome Sequence and Annotation of <i>Trypanosoma cruzi</i> Berenice,genome,14352,
Procyclic form Methylarginine Proteome (29-13),4/25/2013,Apollo,Laurie K. Read,"Department of Microbiology and Immunology, School of Medicine and Biomedical Sciences, University at Buffalo","TriTrypDB rel. 8.0, 2014-MAY-08",21,Protein expression,tbruTREU927_massSpec_Lott_MethylArgenine_Proteome_RSRC,DS_64b7b206a5,<i>Trypanosoma brucei</i> brucei TREU927<br>,23872088,N/A,Lott et al.,Methylarginine proteome of mitochondrially enriched procyclic form <i> T. brucei</i> 29-13cells,protein_expression,N/A,
WGS of Trypanosoma brucei RUMP 503,9/16/2017,Apollo,Serap Aksoy,"Yale University, New Haven, CT, USA","TriTrypDB rel. 53, 2021-JUL-21",53,Genetic variation,tbruTREU927_HTS_SNP_Vigneron_TbRUMP503_RSRC,DS_65779f34e0,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,N/A,Vigneron et al.,Illumina sequence analysis of <i>T. brucei</i> brucei RUMP 503 DNA,isolates,N/A,
<i>Leishmania enriettii</i> MCAV/BR/2001/CUR178 Genome Sequence and Annotation,4/15/2021,N/A,Derek Gatherer,"Lancaster University, Lancaster, United Kingdom","TriTrypDB rel. 55, 2021-DEC-02",55,Genomes,lenrMCAVBR2001CUR178_primary_genome_RSRC,DS_65cd931c34,<i>Leishmania enriettii</i> MCAV/BR/2001/CUR178<br>,"34489462, 34498918",N/A,Derek Gatherer,Genome Sequence and Annotation of <i>Leishmania enriettii</i> MCAV/BR/2001/CUR178,genome,8353,
AutoMAGI Annotation,11/19/2010,N/A,Peter Myler,Seattle Biomedical Research Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tbruLister427_unofficialGeneFeature_automagiAnnotation_embl_RSRC,DS_663c3e83cd,<i>Trypanosoma brucei</i> Lister strain 427<br>,N/A,N/A,Peter Myler,"Additional gene predictions for T. brucei strain Lister 427 were carried out using the automated gene prediction software AUTOMAGI (G. Aggarwal, P. J. Myler, in Progress in Bioinformatics, F. Columbus, Ed. (Nova Science Publishers, Inc., Hauppauge, NY, 2005)) by <a href=\http://www.seattlebiomed.org/bio/myler\"" target=\""_blank\"">Dr. Peter Myler's group</a> at  Seattle Biomed.""",feature,N/A,
<i>Leishmania panamensis</i> MHOM/COL/81/L13 Genome Sequence and Annotation,12/16/2014,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,lpanMHOMCOL81L13_primary_genome_RSRC,DS_665cd26f8d,<i>Leishmania panamensis</i> MHOM/COL/81/L13<br>,34472979,N/A,Stephen M. Beverley,<i>Leishmania panamensis</i> L13 Genome sequence and annotation,genome,8778,
Bloodstream and Procyclic Form Transcriptomes,2009-07-29_gus4,Apollo,George A.M. Cross,The Rockefeller University,"TriTrypDB rel. 1.0, 01-JAN-05",0,RNASeq,tbruTREU927_George_Cross_rnaSeq_RSRC,DS_66fdbd45d7,<i>Trypanosoma brucei</i> brucei TREU927<br>,20385579,N/A,Siegel et al.,Transcriptomes of <i>T. brucei</i> Lister 427 bloodstream and procyclic forms assayed by mRNA-Seq,transcript_expression,N/A,
<i>Trypanosoma cruzi</i> strain CL Genome Sequence and Annotation,11/5/2018,N/A,Greg Buck,Virginia Commonwealth University,"TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruCL_primary_genome_RSRC,DS_6820e060c4,<i>Trypanosoma cruzi</i> strain CL<br>,30355302,N/A,Greg Buck,Genome Sequence and Annotation for <i>Trypanosoma cruzi</i> strain CL,genome,34344,
The Database of Expressed Sequence Tags (dbEST),N/A,Apollo,GenBank,NCBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,EST,_dbEST_RSRC$,DS_6889a51dab,<i>Angomonas deanei</i> strain Cavalho ATCC PRA-265<br><i>Blastocrithidia nonstop</i> P57<br><i>Blechomonas ayalai</i> B08-376<br><i>Bodo saltans</i> strain Lake Konstanz<br><i>Crithidia fasciculata</i> strain Cf-Cl<br><i>Endotrypanum monterogeii</i> strain LV88<br><i>Leishmania aethiopica</i> L147<br><i>Leishmania amazonensis</i> MHOM/BR/71973/M2269<br><i>Leishmania arabica</i> strain LEM1108<br><i>Leishmania braziliensis</i> MHOM/BR/75/M2904<br><i>Leishmania donovani</i> BPK282A1<br><i>Leishmania enriettii</i> strain LEM3045<br><i>Leishmania gerbilli</i> strain LEM452<br><i>Leishmania infantum</i> JPCM5<br><i>Leishmania major</i> strain Friedlin<br><i>Leishmania martiniquensis</i> LEM2494<br><i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br><i>Leishmania orientalis</i> MHOM/TH/2014/LSCM4<br><i>Leishmania panamensis</i> MHOM/COL/81/L13<br><i>Leishmania sp.</i> Ghana MHOM/GH/2012/GH5<br><i>Leishmania sp.</i> Namibia MPRO/NA/1975/252/LV425<br><i>Leishmania tarentolae</i> Parrot-TarII<br><i>Leishmania tropica</i> L590<br><i>Leishmania turanica</i> strain LEM423<br><i>Leptomonas pyrrhocoris</i> H10<br><i>Leptomonas seymouri</i> ATCC 30220<br><i>Paratrypanosoma confusum</i> CUL13<br><i>Porcisia hertigi</i> MCOE/PA/1965/C119<br><i>Trypanosoma brucei</i> brucei TREU927<br><i>Trypanosoma congolense</i> IL3000<br><i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma equiperdum</i> OVI<br><i>Trypanosoma evansi</i> strain STIB 805<br><i>Trypanosoma grayi</i> ANR4<br><i>Trypanosoma melophagium</i> St. Kilda<br><i>Trypanosoma rangeli</i> SC58<br><i>Trypanosoma theileri</i> isolate Edinburgh<br><i>Trypanosoma vivax</i> Y486<br>,N/A,N/A,GenBank,ESTs from dbEST.,EST,N/A,
BSF and PCF Surface Proteomics (Tb427),5/11/2015,Apollo,Kent Hill,University of California Los Angeles,"TriTrypDB rel. 35, 2017-DEC-01",35,Protein expression,tbruTREU927_massSpec_Cell_Surface_Stage_Proteomics_RSRC,DS_69232ff593,<i>Trypanosoma brucei</i> brucei TREU927<br>,25963835,N/A,Shimogawa et al.,<i>Trypanosoma brucei</i> proteomics of the cell surface from both PCF and BSF stages,protein_expression,N/A,
<i>Trypanosoma cruzi</i> Bug2148 Genome Sequence,10/3/2017,N/A,Nuria Girones,"Universidad Autónoma de Madrid, Cantoblanco, Madrid, Spain and Instituto Sanitario de Investigación Princesa","TriTrypDB rel. 52, 2021-MAY-20",43,Genomes,tcruBug2148_primary_genome_RSRC,DS_6a49629990,<i>Trypanosoma cruzi</i> Bug2148<br>,"29348355, 30279473",N/A,Nuria Girones,Genomic Sequence of <i>Trypanosoma cruzi</i> Bug2148.,genome,N/A,
<i>Leishmania aethiopica</i> L147 Genome Sequence and Annotation,9/27/2016,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Genomes,laetL147_primary_genome_RSRC,DS_6ad396c3ad,<i>Leishmania aethiopica</i> L147<br>,34472979,N/A,Stephen M. Beverley,Genome Sequence and Annotation of <i>Leishmania aethiopica</i> L147,genome,8722,
Single-cell transcriptomic analysis of bloodstream Trypanosoma brucei: integrated wild-type and ZC3H20 knockout,8/16/2022,Apollo,Emma M Briggs,"Institution for Immunology and Infection Research, University of Edinburgh, Edinburgh, UK","TriTrypDB rel. 59, 2022-AUG-30",59,scRNA-Seq,tbruTREU927_briggs_ZC3H20_KO_cellxgene_RSRC,DS_6ce1b81027,<i>Trypanosoma brucei</i> brucei TREU927<br>,34489460,N/A,Briggs et al.,Single cell transcriptomic analysis of bloodstream <i>Trypanosoma brucei</i> identifies putative regulators of developmental quorum sensing.,transcript_expression,N/A,
<i>Leishmania donovani</i> strain LV9 Genome Sequence and Annotation,2/27/2019,N/A,James Cotton,"Wellcome Sanger Institute, UK","TriTrypDB rel. 46, 2019-NOV-06",43,Genomes,ldonLV9_primary_genome_RSRC,DS_7015be16ab,<i>Leishmania donovani</i> strain LV9<br>,N/A,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation. Please be aware that current Gene IDs are temporary and will change in a subsequent release.,James Cotton,Genome sequence and annotation for <I>Leishmania donovani</I> strain LV9 PacBio genome sequence and annotation.,genome,8387,
Genome wide comparison of Leishmania donovani strains from Ethiopia,5/21/2013,Apollo,Jaffe Charles,"Dept Microbiology and Molecular Genetics, The Kuvin Center for the Study of Infectious and Tropical Diseases, IMRIC, Hebrew University-Hadassah Medical School","TriTrypDB rel. 39, 2018-AUG-30",39,Genetic variation,ldonBPK282A1_HTS_SNP_Zackay_Genome_Comparison_Ethiopia_RSRC,DS_7022bb9d95,<i>Leishmania donovani</i> BPK282A1<br>,29315303,N/A,Zackay et al.,Genome wide comparison of Leishmania donovani strains from Ethiopia,isolates,N/A,
Aligned genomic sequence reads - strains LV39cl5 and Seidman751,3/15/2011,Apollo,Wes Warren,McDonnell Genome Institute at Washington University School of Medicine,"TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,lmajFriedlin_HTS_SNP_WhitePaperNGS_RSRC,DS_7042aff55e,<i>Leishmania major</i> strain Friedlin<br>,N/A,N/A,Wes Warren,"Whole genome resequencing data from <i>Leishmania major</i> strains LV39cl5 and Seidman751 were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
Three Developmental Stages,6/12/2009,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 1.0, 2005-JAN-01",0,DNA Microarray Assay,lmajFriedlin_microarrayExpression_E-MEXP-1864_Beverley_Steve_LifeStages_RSRC,DS_708520717e,<i>Leishmania major</i> strain Friedlin<br>,N/A,N/A,Stephen M. Beverley,"Natalia S. Akopyants, Elizabeth Kruvand, Iris Wong, and Stephen M. Beverley (2010), manuscript in preparation.    Dept of Molecular Microbiology, Washington University School of Medicine, St. Louis 63110 USA.   Please send queries to Stephen M. Beverley (beverley@borcim.wustl.edu).",transcript_expression,N/A,
Quantitative proteomic survey of the Leishmania major Friedlin and null mutants of LPG2 or FUT1.,12/21/2022,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 62, 2023-MAR-09",62,Protein expression,lmajFriedlin_quantitativeMassSpec_Polanco_LPG2_FUT1_RSRC,DS_725c69549b,<i>Leishmania major</i> strain Friedlin<br>,36394313,N/A,Polanco et al 2022,"High coverage proteomes of <i>Leishmania major</i> WT, Δlpg2- and Δfut1s.",protein_expression,N/A,
<i>Trypanosoma cruzi</i> JR cl. 4 Genome Sequence,1/11/2013,N/A,Gregory A. Buck,"Center for the Study of Biological Complexity, Virginia Commonwealth University","TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,tcruJRcl4_primary_genome_RSRC,DS_72f799a558,<i>Trypanosoma cruzi</i> JR cl. 4<br>,N/A,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,Gregory A. Buck,Genome Sequence for  <i>Trypanosoma cruzi</i> JR cl4,genome,N/A,
Maxicircle gene structural annotation,9/6/2019,N/A,James Cotton,"Wellcome Sanger Institute, UK","TriTrypDB rel. 46, 2019-NOV-06",46,"Sequence sites, features and motifs",ldonLV9_maxicircle_gene_model_transcript_sequences_RSRC,DS_730be80396,<i>Leishmania donovani</i> strain LV9<br>,N/A,N/A,James Cotton,Maxicircle gene structural annotation,aligned_sequence,N/A,
<i>Leishmania tarentolae</i> Parrot-TarII Genome Sequence and Annotation,6/22/2011,Apollo,Jacques Corbeil,Laval University,"TriTrypDB rel. 1.0, 2005-JAN-01",0,Genomes,ltarParrotTarII_primary_genome_RSRC,DS_74f0fa44e4,<i>Leishmania tarentolae</i> Parrot-TarII<br>,21998295,N/A,Jacques Corbeil,<i>Leishmania tarentolae</i> Parrot-TarII Sequence and Annotation,genome,8530,
Aligned genomic sequence reads - strain U1103,6/9/2010,Apollo,Jeremy Mottram,"University of Glasgow, UK","TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,lmexMHOMGT2001U1103_HTS_SNP_Mottram_Multiple_HTS_SNPs_RSRC,DS_776abb5d52,<i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br>,22038252,N/A,Jeremy Mottram,"Whole genome resequencing data from  <i>Leishmania mexicana</i> MHOMGT2001U1103 were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
Circadian control of bloodstream and procyclic form transcriptome (AnTat1.1),7/18/2016,Apollo,Luisa M. Figueiredo,"Institute of Molecular Medicine, University of Lisbon","TriTrypDB rel. 35, 2017-DEC-01",35,RNASeq,tbruTREU927_Rijo_Circadian_Regulation_ebi_rnaSeq_RSRC,DS_77b994d105,<i>Trypanosoma brucei</i> brucei TREU927<br>,28288095,N/A,Rijo-Ferreira et al.,"Bloodstream and procyclic form transcriptomes during a 48-hour time-course of alternating temperatures
                      or at constant temperature.",transcript_expression,N/A,
<i>Leishmania orientalis</i> MHOM/TH/2014/LSCM4 Genome Sequence and Annotation,4/15/2021,Apollo,Derek Gatherer,"Lancaster University, Lancaster, United Kingdom","TriTrypDB rel. 55, 2021-DEC-02",55,Genomes,loriMHOMTH2014LSCM4_primary_genome_RSRC,DS_781a03f1a1,<i>Leishmania orientalis</i> MHOM/TH/2014/LSCM4<br>,"34489462, 34498920",N/A,Derek Gatherer,Genome Sequence and Annotation of <i>Leishmania orientalis</i> MHOM/TH/2014/LSCM4,genome,8158,
Spatial proteomics of T. congolense BSF and PCF,3/29/2022,N/A,Paula MacGregor,"University of Bristol, UK","TriTrypDB rel. 65, 2023-SEP-14",65,Cellular Localization,tconIL3000_2019_lopit_hyperLopitTc_RSRC,DS_78c299b169,<i>Trypanosoma congolense</i> IL3000 2019<br>,37479728,N/A,Moloney et al.,Subcellular localization of proteins from bloodstream and procyclic forms of <i>T. congolense</i> based on hyperLOPIT spatial proteomics.,generic_profiles,N/A,
<i>Trypanosoma cruzi</i> strain S154a Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS154a_primary_genome_RSRC,DS_7b5ef868e6,<i>Trypanosoma cruzi</i> strain S154a<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S154a,genome,N/A,
<i>Trypanosoma grayi</i> ANR4 Genome Sequence and Annotation,6/17/2014,Apollo,Mark Field,University of Dundee,"TriTrypDB rel. 8.0, 2014-MAY-08",21,Genomes,tgraANR4_primary_genome_RSRC,DS_7c46a9e964,<i>Trypanosoma grayi</i> ANR4<br>,23337175,N/A,Mark Field,<i>Trypanosoma grayi</i> ANR4 Sequence and Annotation,genome,10676,
Relative protein abundance-changes in three life stages,10/16/2012,Apollo,Torsten Ochsenreiter,University of Bern,"TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,tbruTREU927_massSpec_Gunasekera_Three_Stages_Proteome_RSRC,DS_7f2b4e6b59,<i>Trypanosoma brucei</i> brucei TREU927<br>,23067041,N/A,"Ochsenreiter, et al.","Potein levels in the long slender (LS), short stumpy (SS) mammalian bloodstream form stages relative to the procyclic (PC) insect-form stage.",protein_expression,N/A,
<i>Trypanosoma equiperdum</i> OVI Genome Sequence and Annotation,10/5/2016,Apollo,Laurent Hébert,"ANSES, Laboratory for animal health, Normandy site. Unit Physiopathology & Epidemiology of Equine Diseases (PhEED)","TriTrypDB rel. 59, 2022-AUG-30",59,Genomes,tequOVI_primary_genome_RSRC,DS_7fc2d6f660,<i>Trypanosoma equiperdum</i> OVI<br>,28138343,N/A,Laurent Hébert,Genome Sequence and Annotation of <i>Trypanosoma equiperdum</i> OVI,genome,9135,
"Bloodstream and procyclic form spliced leader transcriptomes (427, Antat)(2010)",2010-07-14_gus,Apollo,Torsten Ochsenreiter,University of Bern,"TriTrypDB rel. 1.0, 01-JAN-05",0,RNASeq,tbruTREU927_Nilsson_Spliced_Leader_rnaSeqSplicedLeaderAndPolyASites_RSRC,DS_7fd66af125,<i>Trypanosoma brucei</i> brucei TREU927<br>,20700444,N/A,Nilsson et al.,<i>T. brucei</i> bloodstream and procyclic form mRNA-Seq transcriptomes and Splice Leader Site mapping.,transcript_expression,N/A,
<i>Bodo saltans</i> strain Lake Konstanz Genome Sequence and Annotation,11/19/2015,Apollo,Andrew Jackson,"Department of Infection Biology, Institute of Infection and Global Health, University of Liverpool","TriTrypDB rel. 52, 2021-MAY-20",42,Genomes,bsalLakeKonstanz_primary_genome_RSRC,DS_801df5b78d,<i>Bodo saltans</i> strain Lake Konstanz<br>,N/A,N/A,Andrew Jackson,"Genome sequence and annotation for <i>Bodo saltans</i> strain Lake Konstanz, the closest known non-parasitic relative of trypanosomatids.",genome,18222,
Promastigote Secretome,1,Apollo,Elisa Cupolillo,"Instituto Oswaldo Cruz, Brazil","TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,lbraMHOMBR75M2904_massSpec_promastigotes_secreted_RSRC,DS_801ec62861,<i>Leishmania braziliensis</i> MHOM/BR/75/M2904<br>,19703603,N/A,Cuervo et al.,Proteomic analysis of conditioned medium from <i>L. braziliensis</i> incubations.,protein_expression,N/A,
Quantitative phosphoproteomes of bloodstream and procyclic forms (Tb427),1.0_gus4,Apollo,Michael Urbaniak,University of Dundee,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Protein expression,tbruTREU927_quantitativeMassSpec_Urbaniak_BSF_PCF_PhosphoProteomics_RSRC,DS_80450f78d8,<i>Trypanosoma brucei</i> brucei TREU927<br>,23485197,N/A,Urbaniak et al.,Quantitative phosphoproteomes of procyclic and bloodstream form <i>Trypanosoma brucei</i> Lister 427 clone 29.13.6,protein_expression,N/A,
Adipose tissue vs bloodstream form proteomes,2/1/2023,Apollo,Luisa M. Figueiredo,"Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa, Lisboa, Portugal","TriTrypDB rel. 62, 2023-MAR-09",62,Protein expression,tbruTREU927_quantitativeMassSpec_Trinidade_Adipose_Bloodstream_RSRC,DS_8046df070f,<i>Trypanosoma brucei</i> brucei TREU927<br>,36481558,N/A,Trinidade et al. 2022,Proteomics comparison of adipose tissue and bloodstream forms of <i>T brucei</i> Lister 427. Quantification of protein synthesis employed L-Homopropargylglycine methods.,protein_expression,N/A,
The Database of Expressed Sequence Tags (dbEST),N/A,Apollo,GenBank,NCBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,N/A,_GenbankEST_RSRC$,DS_815bd9f4dd,<i>Blastocrithidia nonstop</i> P57<br><i>Trypanosoma evansi</i> strain STIB 805<br>,N/A,N/A,GenBank,ESTs from dbEST.,EST,N/A,
Adipose tissue vs bloodstream form transcriptomes,2016-05_27,Apollo,Luisa M. Figueiredo,"Institute of Molecular Medicine, University of Lisbon","TriTrypDB rel. 42, 2019-MAR-07",42,RNASeq,tbruTREU927_AdiposeTissueAndBloodStream_ebi_rnaSeq_RSRC,DS_820537ffae,<i>Trypanosoma brucei</i> brucei TREU927<br>,27237364,N/A,Trindade et al.,Transcriptomes of T brucei parasites isolated from mouse blood on day 4 pi and gonadal fat on day 6 pi.,transcript_expression,N/A,
"Transcriptome of T. brucei rhodesiense from human, rodent, culture",2/23/2018,Apollo,Christine Clayton,University of Heidelberg,"TriTrypDB rel. 41, 2018-DEC-13",41,RNASeq,tbruTREU927_Mulindwa_Human_Rodent_Comparison_ebi_rnaSeq_RSRC,DS_8293b78640,<i>Trypanosoma brucei</i> brucei TREU927<br>,29474390,N/A,Mulindwa et al.,Transcriptome of <i>T. brucei rhodesiense</i> from humans and rodents,transcript_expression,N/A,
Spliced Leader Sites,2011-02-23_gus4,Apollo,Peter Myler,Seattle Biomedical Research Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,RNASeq,ldonBPK282A1_sbri_myler_rnaSeqSplicedLeaderAndPolyASites_RSRC,DS_82d2e9dd6c,<i>Leishmania donovani</i> BPK282A1<br>,N/A,N/A,Peter Myler,L. infantum RNA-Seq Spliced Leader Sites from Myler.,transcript_expression,N/A,
Transcriptome during Infection in Human Fibroblasts (Esmo aligned),4/5/2016,Apollo,Barbara Burleigh,Harvard T.H. Chan School of Public Health,"TriTrypDB rel. 34, 2017-SEP-07",34,RNASeq,tcruCLBrenerEsmeraldo-like_Li_Transcriptome_Remodeling_ebi_rnaSeq_RSRC,DS_8301153952,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,27046031,N/A,Li et al.,"Transcriptome of <i>T. cruzi</i> Y strain during infection of human cells
       mapped against <i>T. cruzi</i> CL Brener Esmeraldo-like.",transcript_expression,N/A,
<i>Leishmania major</i> strain Friedlin Genome Sequence and Annotation,5/28/2016,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 60, 2022-NOV-09",0,Genomes,lmajFriedlin_primary_genome_RSRC,DS_839623217a,<i>Leishmania major</i> strain Friedlin<br>,16020728,N/A,Pathogen Sequencing Unit,Genome sequence and annotation for <i>Leishmania major</i> Friedlin.,genome,9378,
Promastigote Proteome (MHOM/IL/67/JERICHO II (ATCC 50122)),2014-07,Apollo,Akhilesh Pandey,McKusick-Nathans Institute of Genetic Medicine Johns Hopkins University School of Medicine,"TriTrypDB rel. 24, 2015-APR-14",24,Protein expression,lmajFriedlin_massSpec_Pawar_Pro_Proteomes_RSRC,DS_83ecf06a7d,<i>Leishmania major</i> strain Friedlin<br>,24937402,N/A,Pawar et al.,"<i>L. major</i> ATCC 50122 promastigote proteome determined by searching and mapping 
    against <i>Leishmania major</i> strain Fredlin.",protein_expression,N/A,
Promastigote Form Origins of Replication - early S and late S vs G2,9/4/2015,Apollo,Richard McCulloch,The Wellcome Centre for Integrative Parasitology,"TriTrypDB rel. 26, 2015-OCT-10",26,Sequence analysis,lmexMHOMGT2001U1103_originsOfReplication_McCulloch_Origins_RSRC,DS_84d487905c,<i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br>,26481451,N/A,Marques et al.,"Origins of replication in <i>L. mexicana</i> MHOMGT2001U1103 determined by Marker Frequency 
        Analysis, a technique that compares frequency of the marker sequences in replicating and non-replicating cells.
        Whole genome DNA-Seq of FACS sorted promastigotes is presented as the 
        ratio (S- vs G2-phase) of the frequencies of markers (DNA-Seq reads) in 2.5 kb bins.",resequencing,N/A,
Aligned BAC End Sequences (RPCI93 library),12/8/2008,Apollo,GenBank,NCBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tbruTREU927_Genbank_BACEnds_clonedInsertEnds_RSRC,DS_8932ff443b,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,N/A,GenBank,<i>T.brucei</i> BAC End genome sequences from library RPCI93.,aligned_sequence,N/A,
<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 2019 Genome Sequence and Annotation,7/30/2019,Apollo,James Cotton,"Wellcome Sanger Institute, UK","TriTrypDB rel. 46, 2019-NOV-06",46,Genomes,lbraMHOMBR75M2904_2019_primary_genome_RSRC,DS_89b7f58707,<i>Leishmania braziliensis</i> MHOM/BR/75/M2904 2019<br>,N/A,Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.,James Cotton,Genome sequence and annotation for <I>Leishmania braziliensis</I> strain MHOM/BR/75/M2904 2019 genome sequence and annotation.,genome,8599,
<i>Leishmania tropica</i> L590 Genome Sequence and Annotation,12/16/2014,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Genomes,ltroL590_primary_genome_RSRC,DS_8a1198f6e2,<i>Leishmania tropica</i> L590<br>,"19782652, 34472979",N/A,Stephen M. Beverley,Genome Sequence and Annotation of <i>Leishmania tropica</i> L590,genome,8938,
