Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
SNP calls on WGS of Candida albicans clinical isolates (oropharyngeal candidiasis),8/10/2014,Aviv Regev,The Broad Institute of Harvard and MIT,"VEuPathDB rel. 31, 2017-MAR-09",31,Genetic variation,calbSC5314_HTS_SNP_Ford_HTS_SNP_RSRC,DS_a0e51f125a,<i>Candida albicans</i> SC5314<br>,25646566,Ford et al.,"Whole genome sequencing data from multiple <i>C. albicans</i> isolates collected 
from patients with oropharyngeal candidiasis.",isolates,FungiDB,N/A,,,,
Sporozoite Expression Profiles,1,Scott Westenberger,The Scripps Research Institute,"EuPathDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pvivP01_microarrayExpression_Westenberger_array_RSRC,DS_a0e6725e34,<i>Plasmodium vivax</i> P01<br>,20386602,Scott Westenberger,Westenberger P vivax Expression Data,transcript_expression,PlasmoDB,N/A,,,,
"Differential selection of malathion resistance in Anopheles culicifacies A and Anopheles culicifacies B (Diptera, Culicidae) in Haryana State, India",8/6/2014,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000058_RSRC,DS_a0ed92f997,<br>,1495027,Unidentified,Insecticide resistance study imported from IRBase. (MapVEu VBP0000058),population_biology, ,N/A,,,,
Transcriptomic and proteomic analyses of Anopheles gambiae (Ag55) cells: a potential model to study mosquito-pathogen interaction,20-Jan,Ruchir Mishra,"Entomology, University of Georgia","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,agamPEST_SRP082173_ebi_rnaSeq_RSRC,DS_a0edda1332,<i>Anopheles gambiae</i> PEST<br>,N/A,Ruchir Mishra,"The goal of this study is to analyze the gene expression profile of Anopheles gambiae Ag55 cells and compare it with gene expression profile of blood fed female Anopheles gambiae adult to establish Ag55 cells as a potential model to study mosquito-pathogen interactions Methods: The transcript profiles of Ag55 cells were generated by RNA-Seq, in triplicate, using Illumina HiSeq 2000 v3 platform. The 7 samples (paired-end reads, including replicates ( 3 samples from Ag55 cells and 4 samples from blood-fed female adults downloaded from NCBI GEO (Series GSE55453, SRA id : SRP039058))) were independently mapped on to A. gambiae genome (Anopheles-gambiae-PEST_CHROMOSOMES_AgamP4.fa.gz) downloaded from vectorbase by using TopHat followed by Cufflinks to estimate the expression values of the transcripts in FPKM (Fragments Per Kilobase per Million mapped reads) with the cuffdiff2 default geometric normalization. Differentially expressed genes (FDR&lt;0.05 after Benjamini-Hochberg correction for multiple-testing) were identified for Ag55 cells relative to Blood fed female adults Results: We provide detailed gene expression and proteome profiles of Ag55 cells. We further compare the gene expression profiles of Ag55 cells and blood fed female adults. Gene Ontology enrichment analysis of our transcriptomic data suggested that Ag55 cells have phagocytic properties, a hypothesis which we confirmed using confocal imaging. Transcriptomic data further backed by proteomic data suggest that Ag55 cells express hemocyte like properties, and are immune competent. Conclusion: As Ag55 cells are immune competent and express hemocyte like properties they can be used as a model to study vector-pathogen immune response. Furthermore, the availability of transcriptomic and proteomic data of Ag55 cells will help researchers use and engineer the Ag55 cell line in an efficient way, for example by developing strategies to make it more suitable for studies of interactions with Plasmodium and other microbes. Overall design: Gene expression profile of Ag55 cell line was generated by RNA-Seq, in triplicate, using  Illumina HiSeq 2000 v3 platform",transcript_expression,VectorBase,N/A,,,,
SNP calls on WGS of Candida albicans collected from old oaks and NCYC 597 clinical strain,10/25/2018,Douda Bensasson,"Department of Plant Biology and Institute of Bioinformatics, University of Georgia, Athens, Georgia, USA","VEuPathDB rel. 55, 2021-DEC-02",55,Genetic variation,calbSC5314_HTS_SNP_WGS_Calbicans_oaks_RSRC,DS_a104c5de28,<i>Candida albicans</i> SC5314<br>,30463870,Bensasson et al. 2019,Short-read genome data were generated for the type strain of <i>C. albicans</i> (NCYC 597) and three strains isolated from the bark of oak trees in the New Forest in the United Kingdom.,isolates,FungiDB,N/A,,,,
Transcriptomic analysis of different Candida auris clinical isolates,4/14/2021,Karl Kuchler,"Medical University of Vienna, Max Perutz Labs Vienna, Campus Vienna Biocenter","VEuPathDB rel. 64, 2023-JUL-12",64,RNASeq,caurB8441_Jenull_Caur_2021_ebi_rnaSeq_RSRC,DS_a111dbd0ae,<i>Candida auris</i> strain B8441<br>,33937102,Jenull et al. 2021,Transcriptomic analysis of different Candida auris clinical isolates with distinct antifungal susceptibility profiles.,transcript_expression,FungiDB,N/A,,,,
<i>Ordospora colligata</i> GB-EP-1 Genome Sequence and Annotation,3/5/2019,Dieter Ebert,"Zoological Institute, Basel University, 4051 Basel, Switzerland","VEuPathDB rel. 59, 2022-AUG-30",59,Genomes,ocolGBEP1_primary_genome_RSRC,DS_a127bb7b93,<i>Ordospora colligata</i> GB-EP-1<br>,31825473,Dieter Ebert,Genome Sequence and Annotation of <i>Ordospora colligata</i> GB-EP-1,genome,MicrosporidiaDB,1857,,,,
Mosquito surveillance from 2019-06-03 to 2019-07-17 by BG-Counter smart traps owned by Collier Mosquito Control District.,7/24/2019,Keira Lucas,Collier Mosquito Control District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000512_RSRC,DS_a14620c1c6,<br>,N/A,Keira Lucas,Mosquito surveillance from 2019-06-03 to 2019-07-17 by BG-Counter smart traps owned by Collier Mosquito Control District. (MapVEu VBP0000512),population_biology, ,N/A,,,,
Aligned genomic sequence reads - strain TREU927,1/24/2011,Matthew Berriman,"Wellcome Sanger Institute, UK","EuPathDB rel. 1.0, 01-JAN-05",0,Genetic variation,tbruTREU927_HTS_SNP_Foth_HTS_SNPs_RSRC,DS_a1665c1735,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,Matthew Berriman,High throughput sequencing SNP calls for strain TREU927 aligned to the <i>T. brucei</i> TREU927 reference,isolates,TriTrypDB,N/A,,,,
Eggs reared under diapause-inducing and non-diapause conditions,20-Jan,Monica F Poelchau,"Department of Biology, Georgetown University","VEuPathDB rel. 62, 2023-MAR-09",62,RNASeq,aalbFPA_SRP012105_ebi_rnaSeq_RSRC,DS_a17b7535b8,<i>Aedes albopictus</i> Foshan FPA<br>,23516243,Poelchau et al 2013,"Here, we generate transcriptomes of <i>Ae. albopictus</i>  at 72-78 and 135-141 h post-oviposition, from mothers reared under diapause-inducing photoperiod (DI)non-diapause-inducing photoperiods (NDI).",transcript_expression,VectorBase,N/A,,,,
Tachyzoite Ubiquitome,11/11/2015,Kami Kim,University of South Florida,"EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,tgonME49_massSpec_deMonerriUbiquitin_RSRC,DS_a184b311a9,<i>Toxoplasma gondii</i> ME49<br>,26567513,Silmon de Monerri et. al,<i>T. gondii</i> RH tachyzoite ubiquitinated proteome aligned to TgME49.,protein_expression,ToxoDB,N/A,,,,
Insecticide resistance status of malaria vectors in Lao PDR,11/30/2017,Sébastien Marcombe,"Institut Pasteur du Laos, Ministry of Health, Vientiane, Lao PDR","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000210_RSRC,DS_a19610f334,<br>,28437449,Sébastien Marcombe,"Here, the susceptibility of Anopheles species, including several malaria vectors (An. maculatus and An. minimus), to various insecticides was investigated in ten provinces of Lao PDR through a north-south transect. Bioassays were performed on field caught female mosquitoes using the standard WHO susceptibility tests with DDT (4%), deltamethrin (0.05%) and permethrin (0.75%). In addition, the DIIS6 region of the para-type sodium channel gene was amplified and sequenced to identify knockdown resistance mutations (kdr). (MapVEu VBP0000210)",population_biology, ,N/A,,,,
Gene models of Glossina fuscipes IAEA 2018 of build 65,12/3/2020,Norah Saarman,"Utah State University, Logan, UT, USA","VEuPathDB rel. 68, 2024-MAY-07",68,"Sequence sites, features and motifs",gfusIAEA2018_bld65Annotation_GFF_RSRC,DS_a1b7731622,<i>Glossina fuscipes</i> IAEA 2018<br>,N/A,Norah Saarman,Gene models of Glossina fuscipes IAEA 2018 of build 65,feature, ,N/A,,,,
Eimeria tenella transcriptome during infection in chicken macrophage-like cells (Dual RNA-Seq),2/4/2021,Eva Wattrang,"Department of Microbiology, National Veterinary Institute","VEuPathDB rel. 57, 2022-APR-21",57,RNASeq,etenHoughton2021_Eten_infect_chicken_RNASeq_ebi_rnaSeq_RSRC,DS_a20aad37e6,<i>Eimeria tenella</i> Houghton 2021<br>,33536090,Sandholt et al 2021,Transcriptome of <i>E. tenella</i> during infection in macrophage-like cell line HD11 cultures infected <i>in vitro</i>.,transcript_expression,ToxoDB,N/A,,,,
EST library,11/2/2006,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","EuPathDB rel. 1.0, 01-JAN-05",0,EST,pyoeyoelii17X_EST_WatanabePy17XL_EstLibrary_sequences_RSRC,DS_a233fc1aa6,<i>Plasmodium yoelii</i> yoelii 17X<br>,17151081,Junichi Watanabe,<i>P. yoelii</i> 17XL EST library.,EST,PlasmoDB,N/A,,,,
Transcriptome during intraerythrocytic development,03-12-2010_gus4,Henk Stunnenberg,"Radboud University Nijmegen, The Netherlands","EuPathDB rel. 1.0, 01-JAN-05",0,RNASeq,pfal3D7_Stunnenberg_ebi_rnaSeq_RSRC,DS_a239464cb4,<i>Plasmodium falciparum</i> 3D7<br>,21187892,Bartfai et al.,"<i>P. falciparum</i> 3D7 transcriptome during intraerythrocytic development. Synchronized parasites
      were assayed by RNA-Seq at 8 time-points during the iRBC cycle.",transcript_expression,PlasmoDB,N/A,,,,
<i>Eimeria falciformis</i> Bayer Haberkorn 1970 Genome Sequence and Annotation,8/14/2017,Christoph Dieterich,Max Plank Institute for Biology of Ageing,"VEuPathDB rel. 60, 2022-NOV-09",21,Genomes,efalBayerHaberkorn1970_primary_genome_RSRC,DS_a262873bcd,<i>Eimeria falciformis</i> Bayer Haberkorn 1970<br>,25142335,Christoph Dieterich,<i>Eimeria falciformis</i> Bayer Haberkorn 1970 sequence and annotation,genome,ToxoDB,6037,,,,
First report of N1575Y mutation in pyrethroid resistant Anopheles gambiae s.l. in Nigeria,2/5/2021,Ako Victorien Constant Edi,"Molecular Entomology and Vector Control Research Laboratory, Nigerian Institute of Medical Research, Nigeria","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000724_RSRC,DS_a26816fd85,<br>,N/A,Ako Victorien Constant Edi,Insecticide susceptibilty testing and molecular analysis of Anopheles in Nigeria (MapVEu VBP0000724),population_biology, ,N/A,,,,
Transcriptional landscape of Cryptococcus-host response,6/28/2016,Chen Ding,"College of Life and Health Sciences, Northeastern University, Shenyang, China","VEuPathDB rel. 49, 2020-NOV-05",49,RNASeq,mmusC57BL6J_Li_Cryptococcus_Response_ebi_rnaSeq_RSRC,DS_a28e7f6c83,<i>Mus musculus</i> C57BL6J<br>,31329596,Li et al. 2019,Animal infection model using the non-human primate cynomolgus monkey <i>Macaca fascicularis</i> and <i>Mus musculus</i> to study host response to <Cryptococcus neoformans</i> infection.,transcript_expression,HostDB,N/A,,,,
Transcriptome of P. cynomolgi during 100-day infection in M. mulatta,5/8/2017,Mary R Galinski,Emory University,"VEuPathDB rel. 37, 2018-APR-25",37,RNASeq,pcynM_Galinski_infected_Mmulatta_ebi_rnaSeq_RSRC,DS_a2967e5664,<i>Plasmodium cynomolgi</i> strain M<br>,27590312,Joyner et al.,<i>P. cynomolgi</i> transcriptome of whole blood and bone marrow collected during 100-day infection of <i>M. mulatta</i>,transcript_expression,PlasmoDB,N/A,,,,
Signatures of Adaptation to Obligate Biotrophy,8_gus4,John Mc. Dowell,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","VEuPathDB rel. 21, 2014-MAY-08",21,RNASeq,haraEmoy2_McDowell_Adaptation_ebi_rnaSeq_RSRC,DS_a2bd2ba13d,<i>Hyaloperonospora arabidopsidis</i> Emoy2<br>,21148394,John Mc. Dowell,"Illumina sequencing was performed using RNA from four week old Arabidopsis Ws-2 eds1-1 leaves, highly colonized with Emoy2, at 7 days post-inoculation and 60% humidity to promote mycelial growth in the mesophyll over sporulation.",transcript_expression,FungiDB,N/A,,,,
<i>Naganishia albida</i> JCM2334 Genome Sequence,3/1/2016,Kartik Chandran,"Department of Earth and Environmental Engineering, Columbia University","VEuPathDB rel. 51, 2021-MAR-16",43,Genomes,nalbJCM2334_primary_genome_RSRC,DS_a2d340e1d2,<i>Naganishia albida</i> JCM2334<br>,27198024,Kartik Chandran,Genome sequence for <i>Naganishia albida</i> JCM2334.,genome,FungiDB,N/A,,,,
<i>Saccharomycodes ludwigii</i> UTAD17 Genome Sequence and Annotation,9/5/2018,Ana Mendes-Ferreira,"Escola de Ciências da Vida e Ambiente, Universidade de Trás-os-Montes e Alto Douro, Vila Real, Portugal","VEuPathDB rel. 59, 2022-AUG-30",59,Genomes,sludUTAD17_primary_genome_RSRC,DS_a2d60e11ca,<i>Saccharomycodes ludwigii</i> UTAD17<br>,30533777,Ana Mendes-Ferreira,Genome Sequence and Annotation of <i>Saccharomycodes ludwigii</i> UTAD17,genome,FungiDB,4017,,,,
Molecular and cellular components of the mating machinery in Anopheles gambiae females,1/1/2009,Flaminia Catteruccia,"Department of Immunology and Infectious Diseases, Harvard School of Public Health","VEuPathDB rel. 47, 2020-APR-07",47,DNA Microarray Assay,agamPEST_microarrayExpression_E-MEXP-1868_female_bodies_RSRC,DS_a2e7221138,<i>Anopheles gambiae</i> PEST<br>,19036921,Rogers et al.,"Microarray experiments comparing Anopheles gambiae virgins with females at 2 h, 6 h, and 24 h after mating were performed using the Affymetrix Anopheles/Plasmodium array.",transcript_expression,VectorBase,N/A,,,,
"Mosquito surveillance, Norfolk County Mosquito Control, in Massachusetts, USA, 2020",3/17/2021,O'Donnell Kaitlyn,Norfolk County Mosquito Control,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000731_RSRC,DS_a307d519e6,<br>,N/A,O'Donnell Kaitlyn,"Mosquito collections from Norfolk County Mosquito Control, in Massachusetts, USA. Collections have been made in various locations in Norfolk County County, Massachusetts, USA, using CDC light traps and gravid traps. (MapVEu VBP0000731)",population_biology, ,N/A,,,,
T. brucei procyclic cell cycle peptides (clone 29.13.6),3/19/2018,Michael A.J. Ferguson,"Wellcome Centre for Anti-Infectives Research, School of Life Sciences, University of Dundee","VEuPathDB rel. 39, 2018-AUG-30",39,Protein expression,tbruTREU927_massSpec_Procyclic_Cell_Cycle_Peptide_RSRC,DS_a318f71b03,<i>Trypanosoma brucei</i> brucei TREU927<br>,29555687,Crozier et al.,<i>T. brucei</i> procyclic cell cycle peptide sequences,protein_expression,TriTrypDB,N/A,,,,
Protein interaction network,1,Doug LaCount,Purdue University,"EuPathDB rel. 1.0, 01-JAN-05",0,Y2H interactions,pfal3D7_interaction_LaCount_y2h_RSRC,DS_a32b0bf684,<i>Plasmodium falciparum</i> 3D7<br>,16267556,Doug LaCount,Protein interaction network for <i>P. falciparum</i> derived from yeast two-hybrid studies.,interaction,PlasmoDB,N/A,,,,
C6/36 mosquito cell line infected with two Zika virus strains (PRVABC59 and MR 766) with two sample times (24 and 48 hours),20-Jan,T M Lowe,"Department of Genetics, Washington University School of Medicine","VEuPathDB rel. 62, 2023-MAR-09",62,RNASeq,aalbFPA_SRP091668_ebi_rnaSeq_RSRC,DS_a33b3731c2,<i>Aedes albopictus</i> Foshan FPA<br>,29707202,Miller et al 2018,C6/36 mosquito cell line infected with two Zika virus strains (PRVABC59 and MR 766) with two sample times (24 and 48 hours),transcript_expression,VectorBase,N/A,,,,
<i>Rhinocladiella mackenziei</i> CBS 650.93 Genome Sequence and Annotation,2/23/2015,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 53, 2021-JUL-21",53,Genomes,rmacCBS650.93_primary_genome_RSRC,DS_a34899da07,<i>Rhinocladiella mackenziei</i> CBS 650.93<br>,N/A,Christina Cuomo,Genome Sequence and Annotation of <i>Rhinocladiella mackenziei</i> CBS 650.93,genome,FungiDB,11418,,,,
<i>Fusarium oxysporum</i> f. sp. conglutinans Fo5176 Genome Sequence and Annotation,8/11/2020,Clara Sánchez-Rodríguez,"Department of Biology, ETH Zurich, Zurich, Switzerland","VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,foxyf.conglutinansFo5176_primary_genome_RSRC,DS_a363c3f7a3,<i>Fusarium oxysporum</i> f. sp. conglutinans Fo5176<br>,32843521,Clara Sánchez-Rodríguez,Genome Sequence and Annotation of <i>Fusarium oxysporum</i> f. sp. conglutinans Fo5176,genome,FungiDB,17912,,,,
<i>Hyalomma asiaticum</i> Hyas-2018 Genome Sequence and Annotation,11/3/2021,FangQing Zhao,"Computational Genomics Lab, Beijing Institutes of Life Science, Chinese Academy of Sciences, Beijing 100101, P.R. China","VEuPathDB rel. 67, 2024-FEB-21",62,Genomes,hasiHyas2018_primary_genome_RSRC,DS_a3b27929ca,<i>Hyalomma asiaticum</i> Hyas-2018<br>,32814014,FangQing Zhao,Genome Sequence and Annotation of <i>Hyalomma asiaticum</i> Hyas-2018,genome,VectorBase,29657,,,,
<i>Epichloe festucae</i> Fl1 Genome Sequence,11/23/2018,Murray P. Cox,"School of Fundamental Sciences, Massey University, New Zealand","VEuPathDB rel. 51, 2021-MAR-16",51,Genomes,efesFl1_primary_genome_RSRC,DS_a3b881f49b,<i>Epichloe festucae</i> Fl1<br>,30356280,Winter et al. 2018,Genome Sequence for <i>Epichloe festucae</i> Fl1,genome,FungiDB,N/A,,,,
Long-lived merozoite proteome,12/7/2017,David L. Narum,"Laboratory of Malaria Immunology and Vaccinology, NIAID","VEuPathDB rel. 29, 2016-OCT-12",29,Protein expression,pfal3D7_quantitativeMassSpec_Merozoite_Prot_RSRC,DS_a3bd8c5978,<i>Plasmodium falciparum</i> 3D7<br>,29215067,Kumar et al.,Proteomes of P. falciparum FVO wild-type vs long-lived merozoite cell lines.,protein_expression,PlasmoDB,N/A,,,,
Comparative single-cell atlases of Babesia species: B. bigemina,8/16/2022,Kourosh Zarringhalam,"Department of Mathematics, University of Massachusetts Boston, Boston, MA, USA","VEuPathDB rel. 59, 2022-AUG-30",59,scRNA-Seq,bbigBOND_zarringhalam_cellxgene_RSRC,DS_a3e9bcd325,<i>Babesia bigemina</i> strain BOND<br>,36137068,Rezvani et al.,Comparative single-cell atlases of <i>Babesia</i> species in different hosts.,transcript_expression,PiroplasmaDB,N/A,,,,
Comparative transcriptome of Candida parapsilosis wild type and transcription factor mutants,12/22/2011,Geraldine Butler,"UCD School of Biomolecular and Biomedical Science, Conway Institute, University College Dublin","VEuPathDB rel. 52, 2021-MAY-20",52,RNASeq,cparCDC317_Holland_Cparapsilosis_Biofilm_ebi_rnaSeq_RSRC,DS_a3ecdd86a4,<i>Candida parapsilosis</i> CDC317<br>,25233198,Holland et al. 2014,Transcriptomes collected from WT in planktonic growth conditions and WT and seven transcription factor mutants grown in biofilm conditions.,transcript_expression,FungiDB,N/A,,,,
24h post blood feeding,3/27/2016,Albert Mulenga,TEXAS A&M University,"VEuPathDB rel. 61, 2022-DEC-15",61,RNASeq,iscaPalLabHiFi_SRP048733_ebi_rnaSeq_RSRC,DS_a407a45cf7,<i>Ixodes scapularis</i> PalLabHiFi<br>,N/A,"Mulenga et al 2014, unpublished",Project goal is to generate transcripts expressed by 24 hours fed Ixodes scapularis females and to select those encoding immunogenic proteins secreted in saliva,transcript_expression,VectorBase,N/A,,,,
Transcriptional responses to various plant straws,9/10/2014,Bang Wang,"Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences","VEuPathDB rel. 30, 2017-FEB-03",30,RNASeq,ncraOR74A_Wang_fiveCropStraws_ebi_rnaSeq_RSRC,DS_a4188c2dd4,<i>Neurospora crassa</i> OR74A<br>,25691917,Wang et al. 2015,"Comparative transcriptional profiling of cells grown on five crop straws (barley, corn, rice, soybean, and wheat straws).",transcript_expression,FungiDB,N/A,,,,
<i>Trypanosoma cruzi</i> Dm28c 2014 Genome Sequence and Annotation,11/13/2013,Edmundo Carlos Grisard,Universidade Federal de Santa Catarina,"VEuPathDB rel. 52, 2021-MAY-20",23,Genomes,tcruDm28c2014_primary_genome_RSRC,DS_a428584386,<i>Trypanosoma cruzi</i> Dm28c 2014<br>,24482508,Edmundo Carlos Grisard,<i>Trypanosoma cruzi</i> Dm28c Sequence and Annotation,genome,TriTrypDB,11398,,,,
<i>Eimeria praecox</i> Houghton Genome Sequence and Annotation,11/5/2013,Arnab Pain,King Abdullah University of Science and Technology,"VEuPathDB rel. 49, 2020-NOV-05",21,Genomes,epraHoughton_primary_genome_RSRC,DS_a4471a3561,<i>Eimeria praecox</i> Houghton<br>,N/A,Arnab Pain,<i>Eimeria praecox</i> Houghton sequence and annotation,genome,ToxoDB,7635,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2000",7/23/2019,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000510_RSRC,DS_a44a408d49,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2000. (MapVEu VBP0000510),population_biology, ,N/A,,,,
Tachyzoite subcellular fractions,8/6/2008,Silvia Moreno,UGA,"EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,tgonME49_massSpec_Moreno_preprocessed_RSRC,DS_a480aee278,<i>Toxoplasma gondii</i> ME49<br>,N/A,Silvia Moreno,<i>Toxoplasma gondii</i> subcellular fractions analyzed by LC-MS/MS,protein_expression,ToxoDB,N/A,,,,
Comparative ribosome profiling of intracellular and extracellular parasites,5/30/2017,Musa Hassan,The University of Edinburgh,"VEuPathDB rel. 36, 2018-FEB-19",36,RNASeq,tgonME49_Hassan_intra_extra_ribo_profiling_ebi_rnaSeq_RSRC,DS_a48cc7c61e,<i>Toxoplasma gondii</i> ME49<br>,29228904,Hassan et al.,Genome-wide ribosome and mRNA-Seq of intracellualr and extracellular <i>T. gondii</i>.,transcript_expression,ToxoDB,N/A,,,,
Genome-wide HP1 occupancy in Pk A1-C.1 and Pk A1-H.1 schizonts,8/15/2017,Richard Bartfai and Till Voss,Radboud University and University of Basel,"VEuPathDB rel. 42, 2019-MAR-07",42,CHIP Seq,pknoH_Fraschka_Pk_HP1_chipSeq_RSRC,DS_a49c437a4e,<i>Plasmodium knowlesi</i> strain H<br>,29503181,Fraschka et al.,Genome-wide occupancy of HP1 in schizonts from <i>P. knowlesi</i> A1-C.1 and A1-H.1.,transcript_expression,PlasmoDB,N/A,,,,
<i>Puccinia striiformis</i> 93TX-2 Genome Sequence and Annotation,2/6/2018,Jorge Dubcovsky,"Department of Plant Sciences, University of California Davis, Davis, USA","VEuPathDB rel. 68, 2024-MAY-07",53,Genomes,pstr93TX-2_primary_genome_RSRC,DS_a4a5d44eab,<i>Puccinia striiformis</i> 93TX-2<br>,"21909385, 23607900",Jorge Dubcovsky,Genome Sequence and Annotation of <i>Puccinia striiformis</i> 93TX-2,genome,FungiDB,14629,,,,
Transcriptome and Translatome of epimastigote and metacyclic stages (NonEsmo aligned),10/20/2014,Pablo Smircich,"Universidad de la Republica, Uruguay","VEuPathDB rel. 34, 2017-SEP-07",34,RNASeq,tcruCLBrenerNon-Esmeraldo-like_Smircich_ribosome_profiling_ebi_rnaSeq_RSRC,DS_a4b7e3e608,<i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br>,26054634,Smircich et al.,"Transcriptome and Translatome of <i>T. cruzi</i> Dm28c strain 
       mapped against <i>T. cruzi</i> CL Brener non-esmeraldo like.",transcript_expression,TriTrypDB,N/A,,,,
mRNA profiles of induced DHH1 vs DEAD:DQAD mutant,1,Mark Carrington,University of Cambridge,"VEuPathDB rel. 1.0, 2005-JAN-01",0,DNA Microarray Assay,tbruTREU927_microarrayExpression_E-MEXP-2026_DHH1_mutant_pLEW100_24H_RSRC,DS_a4dae129e9,<i>Trypanosoma brucei</i> brucei TREU927<br>,20124414,Kramer et al.,"Microarray analysis of <i>T. brucei</i> Lister 427 procyclics under two conditions: overexpressing wild type DHH1 or 
    expressing mutant DHH1.",transcript_expression,TriTrypDB,N/A,,,,
Transcriptome of Neurospora tetrasperma during sexual development,12/12/2014,Jeffrey Townsend,"School of Public Health, Yale University","VEuPathDB rel. 31, 2017-MAR-09",31,RNASeq,ntetFGSC2508_Lehr_Transcriptome_SexualDevelopment_ebi_rnaSeq_RSRC,DS_a4e0d1f5ac,<i>Neurospora tetrasperma</i> FGSC 2508<br>,25329823,Lehr et al. 2014,Genome-wide transcriptomics of <i>Neurospora tetrasperma</i> across eight stages of sexual development.,transcript_expression,FungiDB,N/A,,,,
Gametocyte Transcriptomes,2/19/2016,Richard Bartfai,"Department of Molecular Biology, Radboud University, ,","VEuPathDB rel. 30, 2017-FEB-03",30,RNASeq,pfal3D7_Lasonder_Bartfai_Gametocytes_ebi_rnaSeq_RSRC,DS_a518f45975,<i>Plasmodium falciparum</i> 3D7<br>,27298255,Lasonder et al.,Directional RNA-Seq data from <i>P. falciparum</i> NF54 for female and male gameocyte samples.,transcript_expression,PlasmoDB,N/A,,,,
Basal body proteome (WB),10/8/2011,Frances D. Gillin,University of California San Diego,"EuPathDB rel. 1.0, 01-JAN-05",0,Protein expression,gassAWB2019_massSpec_Gillin_Proteomics_RSRC,DS_a519fce21e,<i>Giardia Assemblage</i> A isolate WB 2019<br>,21723868,Lauwaet et al.,<i>G. lamblia</i> Assemblage A conserved and unique basal body proteins,protein_expression,GiardiaDB,N/A,,,,
<i>Anopheles ziemanni</i> AzieGA1 Genome Sequence and Annotation,7/21/2023,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VEuPathDB rel. 67, 2024-FEB-21",67,Genomes,azieAzieGA1_primary_genome_RSRC,DS_a52a9d2470,<i>Anopheles ziemanni</i> AzieGA1<br>,N/A,Mara Lawniczak,Genome Sequence and Annotation of <i>Anopheles ziemanni</i> AzieGA1,genome,VectorBase,14085,,,,
Aligned ME49 B7 Genomic BAC Ends,9/19/2001,Pathogen Sequencing Unit,Wellcome Sanger Institute,"EuPathDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tgonME49_Sanger_BAC_ends_clonedInsertEnds_RSRC,DS_a549bb23e4,<i>Toxoplasma gondii</i> ME49<br>,N/A,Pathogen Sequencing Unit,BAC end genome sequences for <i>T. gondii</i> ME49 B7,aligned_sequence,ToxoDB,N/A,,,,
The evolution of small RNA pathways across the arthropods,20-Jan,Samuel Lewis,University of Cambridge,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP107945_ebi_rnaSeq_RSRC,DS_a54effc857,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Samuel Lewis,A comparison of somatic and germline small RNA pathways,transcript_expression,VectorBase,N/A,,,,
Biochemical studies on malathion resistance in Anopheles arabiensis from Sudan.,10/15/2014,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000111_RSRC,DS_a56b04e33a,<br>,6636275,Unidentified,Insecticide resistance study imported from IRBase. (MapVEu VBP0000111),population_biology, ,N/A,,,,
"Mosquito surveillance in Lucas County, Ohio, USA. 2019",5/22/2020,Bauman Paul,Toledo Area Sanitary District,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000637_RSRC,DS_a585e88ff7,<br>,N/A,Bauman Paul,Mosquito surveillance from the Toledo Area Sanitary District program to survey mosquito populations. (MapVEu VBP0000637),population_biology, ,N/A,,,,
